N,L,score,idlePercent
0,0,0,1.0
1,1,28,0.65
0,10,69,0.56875
0,16,120,0.5
0,16,188,0.4125
1,16,268,0.32999999999999996
2,15,348,0.275
0,16,428,0.23571428571428568
0,16,508,0.20625
1,16,588,0.18333333333333332
1,16,668,0.16499999999999998
4,15,748,0.14999999999999997
5,16,828,0.1375
2,16,908,0.12692307692307692
0,16,988,0.11785714285714284
0,16,1068,0.11
1,16,1148,0.103125
0,16,1228,0.09705882352941174
0,15,1308,0.09166666666666666
0,14,1384,0.08947368421052632
0,10,1441,0.099375
0,16,1509,0.10178571428571428
0,16,1568,0.1090909090909091
0,16,1639,0.10923913043478262
0,16,1719,0.1046875
0,16,1798,0.10099999999999999
0,16,1856,0.1076923076923077
1,15,1919,0.11157407407407409
1,16,1996,0.10892857142857143
4,16,2076,0.10517241379310344
1,16,2156,0.10166666666666667
0,16,2236,0.09838709677419355
0,16,2316,0.0953125
1,16,2396,0.09242424242424242
0,16,2476,0.08970588235294116
0,16,2556,0.08714285714285713
0,15,2636,0.08472222222222223
1,16,2716,0.08243243243243244
0,16,2796,0.08026315789473683
1,15,2876,0.0782051282051282
0,16,2951,0.07781249999999999
0,16,3010,0.08231707317073171
0,16,3068,0.0869047619047619
0,16,3134,0.08895348837209302
1,16,3193,0.09289772727272727
0,16,3255,0.09583333333333335
0,15,3314,0.09945652173913043
1,15,3362,0.10585106382978723
5,13,3406,0.11302083333333333
4,15,3461,0.11709183673469385
8,15,3537,0.11575
3,16,3617,0.11348039215686276
0,16,3697,0.11129807692307693
0,16,3777,0.10919811320754716
0,16,3857,0.10717592592592591
0,16,3937,0.10522727272727272
0,16,4017,0.10334821428571428
0,15,4097,0.10153508771929826
0,12,4177,0.0997844827586207
0,8,4256,0.09830508474576272
0,9,4336,0.09666666666666665
0,14,4416,0.09508196721311477
0,10,4494,0.09395161290322582
0,11,4536,0.1
1,16,4576,0.10625
0,15,4627,0.1101923076923077
0,15,4690,0.11174242424242427
0,16,4770,0.11007462686567164
1,16,4850,0.10845588235294121
0,14,4930,0.1068840579710145
0,10,4986,0.10964285714285714
0,6,5045,0.11179577464788734
0,1,5086,0.1170138888888889
2,3,5126,0.12226027397260274
4,4,5169,0.1268581081081081
6,5,5216,0.13066666666666665
3,9,5261,0.13470394736842103
1,16,5302,0.13928571428571426
0,14,5342,0.1439102564102564
0,14,5390,0.1471518987341772
0,15,5449,0.14859375
0,14,5508,0.15000000000000002
1,16,5569,0.1510670731707317
0,15,5649,0.1492469879518072
0,15,5729,0.1474702380952381
1,16,5772,0.1511764705882353
1,16,5812,0.15523255813953488
6,15,5875,0.15589080459770116
6,16,5934,0.15710227272727273
9,15,6006,0.1564606741573034
3,16,6068,0.15722222222222224
0,16,6137,0.1570054945054945
0,16,6217,0.15529891304347826
0,16,6297,0.1536290322580645
0,16,6377,0.15199468085106382
1,16,6457,0.15039473684210528
1,16,6537,0.148828125
4,16,6617,0.1472938144329897
6,15,6693,0.14630102040816328
6,16,6773,0.14482323232323235
5,16,6853,0.143375
7,16,6933,0.14195544554455447
10,16,7013,0.1405637254901961
5,15,7088,0.13980582524271845
5,16,7168,0.13846153846153847
0,16,7248,0.13714285714285712
