N,L,score,idlePercent
0,0,0,1.0
0,0,32,0.68
0,1,82,0.5900000000000001
0,0,132,0.5599999999999999
0,0,182,0.545
0,2,232,0.5359999999999999
0,0,282,0.5299999999999999
0,0,332,0.5257142857142856
0,1,382,0.5225
0,1,432,0.5199999999999999
0,1,482,0.518
0,0,532,0.5163636363636364
0,0,582,0.515
1,0,632,0.5138461538461538
1,0,684,0.5114285714285713
0,0,735,0.51
1,0,788,0.5075000000000001
0,0,839,0.5064705882352941
0,0,889,0.5061111111111111
0,0,939,0.5057894736842105
0,0,989,0.5054999999999998
0,0,1039,0.5052380952380953
0,0,1089,0.5049999999999999
1,0,1143,0.5030434782608697
1,0,1194,0.5025000000000002
8,1,1251,0.49959999999999993
8,0,1309,0.49653846153846154
9,1,1370,0.4925925925925926
11,0,1435,0.48749999999999993
0,1,1489,0.4865517241379309
0,1,1539,0.487
0,0,1589,0.48741935483870974
2,0,1639,0.4878125
0,0,1689,0.48818181818181816
2,1,1739,0.4885294117647058
8,0,1795,0.4871428571428571
0,0,1846,0.48722222222222233
1,0,1897,0.4872972972972973
0,0,1947,0.4876315789473683
0,0,1993,0.48897435897435904
1,0,2000,0.5
0,0,2000,0.5121951219512194
0,0,2000,0.5238095238095237
0,1,2000,0.5348837209302325
0,0,2000,0.5454545454545456
1,0,2000,0.5555555555555555
0,0,2000,0.5652173913043478
0,0,2000,0.5744680851063829
0,0,2000,0.5833333333333333
0,0,2020,0.5877551020408164
1,0,2045,0.591
1,0,2071,0.5939215686274509
1,0,2096,0.5969230769230769
2,0,2123,0.5994339622641509
0,0,2148,0.6022222222222223
0,1,2173,0.6049090909090908
0,0,2198,0.6074999999999999
0,1,2223,0.61
0,0,2248,0.6124137931034482
1,1,2273,0.6147457627118644
0,3,2318,0.6136666666666668
0,0,2368,0.6118032786885246
1,1,2418,0.61
0,1,2468,0.6082539682539683
0,0,2518,0.6065624999999998
0,0,2568,0.6049230769230769
0,0,2618,0.6033333333333333
1,0,2671,0.6013432835820894
1,1,2721,0.5998529411764706
0,0,2771,0.5984057971014493
0,2,2821,0.5969999999999999
1,0,2871,0.5956338028169014
9,0,2928,0.5933333333333334
4,0,2984,0.5912328767123287
10,2,3045,0.5885135135135136
6,0,3102,0.5864
1,0,3156,0.5847368421052632
1,0,3206,0.5836363636363637
0,1,3256,0.5825641025641024
0,1,3304,0.5817721518987342
0,1,3354,0.5807499999999999
0,0,3404,0.5797530864197532
1,1,3479,0.5757317073170731
0,0,3554,0.5718072289156627
0,1,3629,0.5679761904761904
1,0,3704,0.564235294117647
0,0,3779,0.5605813953488373
1,0,3857,0.5566666666666668
0,0,3911,0.5555681818181818
0,0,3961,0.5549438202247191
3,1,4014,0.5539999999999999
9,0,4071,0.5526373626373625
1,0,4148,0.5491304347826087
0,0,4223,0.5459139784946238
1,1,4298,0.5427659574468086
0,0,4373,0.5396842105263158
0,0,4448,0.5366666666666666
0,0,4523,0.5337113402061855
0,0,4598,0.5308163265306123
0,0,4663,0.5289898989898989
1,0,4713,0.5287
0,0,4763,0.5284158415841584
0,0,4838,0.5256862745098039
0,1,4913,0.5230097087378642
0,0,4988,0.5203846153846154
0,0,5060,0.5180952380952382
1,1,5134,0.5156603773584907
0,0,5209,0.513177570093458
2,1,5287,0.5104629629629629
