N,L,score,idlePercent
0,0,0,1.0
0,0,50,0.4999999999999999
0,0,119,0.40499999999999997
0,1,194,0.3533333333333334
1,0,269,0.3275
0,1,344,0.31200000000000006
2,1,419,0.30166666666666664
8,0,497,0.2899999999999999
20,0,580,0.275
20,1,673,0.2522222222222222
19,1,771,0.22899999999999995
20,2,870,0.20909090909090908
18,7,970,0.19166666666666662
19,16,1070,0.1769230769230769
19,20,1170,0.16428571428571426
19,20,1270,0.15333333333333335
17,20,1343,0.16062500000000005
8,20,1404,0.1741176470588235
1,20,1462,0.18777777777777777
0,19,1523,0.19842105263157897
1,20,1598,0.201
6,20,1698,0.1914285714285714
15,19,1798,0.1827272727272727
7,20,1898,0.17478260869565215
3,20,1998,0.16749999999999998
5,20,2092,0.16320000000000004
7,18,2175,0.16346153846153844
7,19,2252,0.16592592592592587
0,20,2330,0.16785714285714287
0,20,2430,0.16206896551724137
1,18,2530,0.15666666666666668
4,14,2630,0.15161290322580645
1,16,2730,0.146875
2,19,2830,0.14242424242424243
1,20,2921,0.14088235294117643
1,20,2975,0.15
1,20,3034,0.1572222222222222
0,20,3082,0.167027027027027
1,20,3157,0.1692105263157895
0,19,3232,0.1712820512820513
0,19,3306,0.17350000000000004
1,19,3381,0.17536585365853666
1,20,3456,0.17714285714285713
0,20,3531,0.17883720930232555
0,20,3616,0.17818181818181822
0,20,3716,0.17422222222222225
1,19,3816,0.17043478260869566
1,20,3916,0.16680851063829788
1,19,4016,0.16333333333333336
0,20,4116,0.15999999999999998
0,20,4216,0.1568
0,20,4316,0.15372549019607845
0,20,4415,0.1509615384615385
0,19,4483,0.15415094339622643
0,20,4552,0.15703703703703703
1,20,4627,0.15872727272727274
5,19,4705,0.15982142857142856
10,14,4784,0.1607017543859649
12,15,4880,0.15862068965517243
20,20,4980,0.15593220338983052
19,19,5046,0.15900000000000003
20,15,5107,0.16278688524590162
19,7,5174,0.16548387096774195
19,5,5260,0.1650793650793651
14,5,5345,0.16484375
10,11,5422,0.16584615384615384
9,11,5501,0.1665151515151515
4,16,5581,0.1670149253731343
0,20,5657,0.16808823529411768
