N,L,score,idlePercent
20,0,0,1.0
20,0,0,1.0
20,0,15,0.925
20,0,54,0.8200000000000001
20,0,114,0.7150000000000001
20,0,182,0.6359999999999998
20,0,252,0.58
20,0,315,0.55
20,0,402,0.49749999999999994
20,0,494,0.4511111111111112
20,0,589,0.4109999999999999
20,0,684,0.3781818181818181
20,0,779,0.3508333333333334
20,0,874,0.32769230769230767
20,0,969,0.30785714285714283
20,0,1064,0.29066666666666674
20,0,1143,0.28562499999999996
20,0,1238,0.271764705882353
20,0,1333,0.2594444444444444
20,0,1428,0.24842105263157893
20,0,1516,0.24200000000000005
20,0,1595,0.24047619047619045
20,0,1684,0.23454545454545453
20,0,1764,0.23304347826086955
20,0,1818,0.24250000000000002
20,0,1851,0.2596
20,0,1882,0.27615384615384614
20,0,1915,0.2907407407407407
20,0,1949,0.30392857142857144
20,0,2010,0.306896551724138
20,0,2053,0.3156666666666666
20,0,2085,0.32741935483870965
20,0,2117,0.33843750000000006
20,0,2180,0.3393939393939394
20,0,2250,0.3382352941176471
20,0,2322,0.3365714285714286
20,0,2390,0.33611111111111114
20,0,2481,0.32945945945945954
20,0,2577,0.3218421052631579
20,0,2673,0.31461538461538463
20,0,2764,0.309
20,0,2841,0.3070731707317074
20,0,2919,0.305
20,0,2999,0.3025581395348837
20,0,3093,0.29704545454545456
20,0,3180,0.2933333333333333
20,0,3247,0.2941304347826087
20,0,3316,0.29446808510638295
20,0,3382,0.29541666666666666
20,0,3451,0.2957142857142857
20,0,3498,0.30039999999999994
20,0,3531,0.30764705882352933
20,0,3562,0.315
20,0,3600,0.32075471698113206
20,0,3629,0.3279629629629629
20,0,3689,0.3292727272727273
20,0,3751,0.33017857142857143
20,0,3821,0.3296491228070174
20,0,3887,0.32982758620689656
20,0,3953,0.32999999999999996
20,0,4021,0.32983333333333337
20,0,4107,0.3267213114754099
20,0,4201,0.32241935483870965
20,0,4299,0.3176190476190476
20,0,4399,0.31265624999999997
20,0,4499,0.3078461538461539
20,0,4599,0.30318181818181816
20,0,4681,0.3013432835820895
20,0,4766,0.2991176470588235
20,0,4866,0.2947826086956521
20,0,4966,0.2905714285714286
20,0,5066,0.28647887323943666
20,0,5166,0.2825
20,0,5266,0.2786301369863013
20,0,5366,0.2748648648648649
20,0,5466,0.2712
20,0,5558,0.26868421052631575
20,0,5639,0.26766233766233766
20,0,5730,0.2653846153846154
20,0,5812,0.2643037974683545
20,0,5899,0.262625
20,0,5995,0.2598765432098766
20,0,6095,0.25670731707317074
20,0,6160,0.25783132530120484
20,0,6229,0.258452380952381
20,0,6303,0.2584705882352941
20,0,6374,0.25883720930232557
20,0,6446,0.25908045977011496
20,0,6521,0.2589772727272727
20,0,6589,0.25966292134831465
20,0,6666,0.2593333333333333
20,0,6748,0.25846153846153846
20,0,6815,0.25923913043478264
20,0,6899,0.2581720430107527
20,0,6992,0.2561702127659574
20,0,7092,0.25347368421052635
20,0,7191,0.2509375000000001
20,0,7291,0.24835051546391754
20,0,7391,0.2458163265306123
20,0,7491,0.24333333333333335
20,0,7591,0.24090000000000006
20,0,7691,0.2385148514851486
20,0,7791,0.2361764705882353
20,0,7891,0.2338834951456311
20,0,7991,0.23163461538461538
20,0,8091,0.22942857142857148
20,0,8183,0.2280188679245283
20,0,8267,0.2273831775700935
20,0,8348,0.227037037037037
20,0,8441,0.22559633027522938
20,0,8538,0.22381818181818186
20,0,8633,0.22225225225225226
20,0,8704,0.2228571428571428
20,0,8771,0.22380530973451326
20,0,8842,0.22438596491228066
20,0,8932,0.22330434782608694
20,0,9030,0.221551724137931
20,0,9127,0.21991452991452992
20,0,9224,0.21830508474576268
20,0,9295,0.2189075630252101
20,0,9380,0.21833333333333335
20,0,9468,0.21752066115702476
20,0,9538,0.21819672131147536
20,0,9625,0.21747967479674793
20,0,9722,0.21596774193548388
20,0,9822,0.21423999999999999
20,0,9918,0.21285714285714286
20,0,10017,0.21125984251968505
20,0,10090,0.21171875000000004
20,0,10162,0.2122480620155039
20,0,10238,0.21246153846153848
20,0,10310,0.21297709923664118
20,0,10407,0.2115909090909091
20,0,10507,0.20999999999999996
20,0,10607,0.2084328358208955
20,0,10705,0.20703703703703705
20,0,10782,0.20720588235294118
20,0,10873,0.20635036496350362
20,0,10973,0.2048550724637681
20,0,11071,0.20352517985611512
20,0,11171,0.20207142857142854
20,0,11271,0.20063829787234044
20,0,11371,0.19922535211267606
20,0,11471,0.1978321678321678
20,0,11571,0.19645833333333335
20,0,11671,0.19510344827586207
20,0,11756,0.1947945205479452
20,0,11807,0.19680272108843538
20,0,11859,0.1987162162162162
20,0,11923,0.19979865771812083
20,0,11991,0.20060000000000003
20,0,12080,0.19999999999999998
20,0,12180,0.19868421052631585
20,0,12280,0.19738562091503267
20,0,12368,0.19688311688311688
20,0,12455,0.19645161290322583
20,0,12548,0.19564102564102565
20,0,12648,0.19439490445859875
20,0,12748,0.19316455696202534
20,0,12848,0.1919496855345912
20,0,12948,0.19075000000000003
20,0,13048,0.18956521739130436
20,0,13148,0.18839506172839507
20,0,13228,0.1884662576687116
20,0,13320,0.1878048780487805
20,0,13412,0.18715151515151512
20,0,13464,0.1889156626506024
20,0,13501,0.1915568862275449
20,0,13568,0.19238095238095237
20,0,13640,0.1928994082840237
20,0,13696,0.1943529411764706
20,0,13742,0.19637426900584792
20,0,13803,0.19749999999999998
20,0,13873,0.19809248554913297
20,0,13938,0.19896551724137934
20,0,14021,0.19880000000000003
20,0,14114,0.1980681818181818
20,0,14207,0.1973446327683616
20,0,14304,0.19640449438202243
20,0,14404,0.19530726256983244
20,0,14504,0.19422222222222227
20,0,14583,0.19430939226519334
20,0,14669,0.19401098901098898
20,0,14761,0.1933879781420765
20,0,14855,0.19266304347826085
20,0,14921,0.19345945945945944
20,0,14998,0.19365591397849463
20,0,15074,0.19390374331550803
20,0,15139,0.19473404255319146
20,0,15204,0.19555555555555554
20,0,15274,0.19610526315789473
20,0,15358,0.19591623036649214
20,0,15424,0.19666666666666663
20,0,15512,0.19626943005181346
20,0,15608,0.19546391752577316
20,0,15703,0.19471794871794867
20,0,15798,0.1939795918367347
20,0,15895,0.1931472081218274
20,0,15994,0.19222222222222224
20,0,16092,0.19135678391959804
20,0,16161,0.19195
20,0,16234,0.19233830845771147
20,0,16309,0.19262376237623768
20,0,16367,0.19374384236453204
20,0,16435,0.19436274509803922
20,0,16498,0.19521951219512199
20,0,16590,0.19466019417475727
20,0,16685,0.19396135265700482
20,0,16778,0.19336538461538458
20,0,16878,0.19244019138755977
20,0,16978,0.1915238095238095
20,0,17078,0.19061611374407586
20,0,17178,0.18971698113207552
20,0,17278,0.1888262910798122
20,0,17378,0.18794392523364484
20,0,17478,0.18706976744186046
20,0,17578,0.1862037037037037
20,0,17678,0.18534562211981565
20,0,17775,0.1846330275229358
20,0,17838,0.18547945205479452
20,0,17900,0.18636363636363637
20,0,17970,0.18687782805429862
20,0,18059,0.1865315315315315
20,0,18153,0.1859641255605381
20,0,18238,0.18580357142857143
20,0,18315,0.186
20,0,18402,0.18575221238938056
20,0,18496,0.18519823788546255
20,0,18587,0.18478070175438596
20,0,18682,0.18419213973799126
20,0,18777,0.18360869565217394
20,0,18872,0.18303030303030307
20,0,18967,0.1824568965517241
20,0,19062,0.18188841201716738
20,0,19157,0.18132478632478632
20,0,19252,0.1807659574468085
20,0,19327,0.18105932203389832
20,0,19414,0.18084388185654007
20,0,19473,0.18180672268907563
20,0,19529,0.18288702928870296
20,0,19596,0.1835
20,0,19671,0.1837759336099585
20,0,19755,0.1836776859504132
20,0,19836,0.1837037037037037
20,0,19927,0.18331967213114758
20,0,20026,0.18261224489795916
20,0,20125,0.1819105691056911
20,0,20224,0.18121457489878542
20,0,20320,0.18064516129032263
20,0,20420,0.17991967871485942
20,0,20520,0.17920000000000003
20,0,20620,0.17848605577689242
20,0,20714,0.17801587301587302
20,0,20798,0.17794466403162054
20,0,20892,0.17748031496062994
20,0,20961,0.178
20,0,21032,0.1784375
20,0,21067,0.18027237354085604
20,0,21112,0.1817054263565891
20,0,21169,0.18266409266409264
20,0,21233,0.18334615384615385
20,0,21313,0.18340996168582374
20,0,21383,0.18385496183206113
20,0,21470,0.1836501901140684
20,0,21570,0.18295454545454543
20,0,21670,0.18226415094339624
20,0,21770,0.18157894736842103
20,0,21870,0.18089887640449437
20,0,21970,0.18022388059701494
20,0,22070,0.17955390334572494
20,0,22170,0.17888888888888885
20,0,22270,0.17822878228782288
20,0,22370,0.17757352941176469
20,0,22448,0.17772893772893775
20,0,22537,0.17748175182481757
20,0,22629,0.17712727272727274
20,0,22719,0.17684782608695654
20,0,22819,0.17620938628158844
20,0,22914,0.1757553956834532
20,0,22999,0.175663082437276
20,0,23092,0.17528571428571427
20,0,23192,0.17466192170818504
20,0,23292,0.17404255319148937
20,0,23392,0.17342756183745586
20,0,23492,0.17281690140845068
20,0,23592,0.1722105263157895
20,0,23692,0.17160839160839156
20,0,23792,0.17101045296167247
20,0,23892,0.1704166666666667
20,0,23992,0.1698269896193772
20,0,24092,0.16924137931034483
20,0,24192,0.168659793814433
20,0,24271,0.16880136986301372
20,0,24365,0.1684300341296928
20,0,24458,0.1680952380952381
20,0,24535,0.1683050847457627
20,0,24609,0.16861486486486485
20,0,24672,0.16929292929292933
20,0,24737,0.1698993288590604
20,0,24817,0.16999999999999998
