N,L,score,idlePercent
0,0,2,1.0
0,2,76,0.2600000000000001
0,0,151,0.25499999999999995
1,1,246,0.1866666666666667
0,0,342,0.14999999999999997
0,0,410,0.18400000000000008
0,1,505,0.16166666666666665
1,0,600,0.14571428571428574
0,0,700,0.1275
0,1,790,0.12444444444444443
0,0,885,0.11700000000000003
0,0,975,0.11545454545454543
1,1,1075,0.10583333333333336
0,0,1149,0.1176923076923077
0,1,1210,0.13714285714285715
0,0,1289,0.142
0,0,1389,0.13312500000000002
1,0,1489,0.12529411764705886
0,2,1580,0.12333333333333334
0,1,1672,0.12105263157894737
0,0,1722,0.13999999999999999
0,1,1817,0.13571428571428573
0,0,1910,0.13272727272727275
1,0,1995,0.1334782608695652
1,1,2095,0.12791666666666668
8,0,2187,0.12600000000000003
11,0,2287,0.12115384615384617
6,1,2375,0.12111111111111109
18,0,2475,0.11678571428571427
16,0,2552,0.12068965517241378
11,1,2633,0.123
18,0,2724,0.12193548387096773
13,1,2805,0.12406249999999999
9,1,2897,0.12272727272727273
13,0,2980,0.12411764705882353
16,0,3062,0.12571428571428572
20,1,3153,0.1247222222222222
19,0,3217,0.13108108108108105
16,2,3313,0.1286842105263158
16,2,3413,0.12538461538461537
18,10,3507,0.12375
17,12,3601,0.12219512195121955
12,3,3678,0.12476190476190474
16,0,3752,0.12790697674418605
20,0,3841,0.1275
19,0,3922,0.1288888888888889
20,0,3982,0.13478260869565215
20,0,4060,0.13659574468085106
20,0,4160,0.13374999999999998
19,0,4260,0.1310204081632653
20,0,4354,0.12960000000000002
20,0,4445,0.1288235294117647
19,1,4545,0.12634615384615383
19,0,4645,0.12396226415094339
19,1,4740,0.12259259259259259
19,1,4817,0.12454545454545451
20,0,4896,0.12607142857142856
19,0,4996,0.123859649122807
20,0,5096,0.1217241379310345
20,1,5179,0.12254237288135594
20,0,5260,0.12366666666666667
20,0,5360,0.12163934426229506
19,1,5460,0.1196774193548387
18,0,5550,0.11936507936507937
20,1,5612,0.12343749999999998
20,5,5670,0.12800000000000003
20,6,5744,0.13
20,6,5828,0.13044776119402984
20,5,5909,0.1313235294117647
20,10,6006,0.1298550724637681
19,10,6106,0.12799999999999997
16,14,6206,0.12619718309859157
15,12,6269,0.12958333333333333
7,13,6303,0.13684931506849313
4,20,6395,0.1360810810810811
1,18,6495,0.13426666666666667
10,19,6595,0.1325
9,20,6682,0.13246753246753246
6,20,6766,0.13282051282051283
9,20,6849,0.1332911392405063
10,20,6949,0.13162500000000002
9,20,7048,0.13012345679012344
10,20,7117,0.13231707317073174
6,20,7196,0.1332530120481928
7,20,7278,0.1338095238095238
14,20,7367,0.1335294117647059
14,18,7462,0.1325581395348837
17,19,7562,0.13103448275862073
15,20,7659,0.1298863636363636
13,19,7754,0.1289887640449438
18,20,7854,0.12755555555555556
20,19,7948,0.12681318681318682
19,19,8048,0.12543478260869564
10,11,8129,0.12612903225806454
9,15,8210,0.12680851063829787
3,10,8299,0.1266315789473684
1,5,8399,0.1253125
0,4,8496,0.12432989690721649
2,5,8581,0.12459183673469391
1,9,8654,0.12606060606060607
1,10,8729,0.1273
0,4,8809,0.12801980198019808
0,0,8906,0.12705882352941175
0,1,8995,0.12689320388349518
1,3,9072,0.12788461538461537
5,1,9158,0.128
9,0,9258,0.12679245283018867
20,0,9330,0.12822429906542054
20,0,9425,0.1275
20,1,9523,0.12651376146788992
19,0,9623,0.12536363636363637
20,0,9714,0.12504504504504504
20,0,9789,0.1261607142857143
19,0,9865,0.12716814159292036
14,1,9953,0.1271052631578947
20,0,10051,0.12617391304347828
20,0,10130,0.12689655172413794
20,0,10188,0.1294017094017094
20,1,10250,0.13152542372881354
20,9,10346,0.1307563025210084
19,8,10446,0.12966666666666665
18,8,10535,0.12950413223140497
20,7,10601,0.13122950819672133
20,5,10638,0.13528455284552846
20,6,10735,0.13443548387096776
19,5,10834,0.13344
20,6,10934,0.13238095238095235
18,7,11028,0.13181102362204725
20,14,11103,0.132734375
20,16,11184,0.1331782945736434
20,20,11279,0.13253846153846155
20,19,11379,0.13152671755725193
19,19,11460,0.131969696969697
20,16,11537,0.13270676691729325
19,14,11615,0.13335820895522388
20,13,11712,0.13259259259259262
20,11,11803,0.13227941176470587
19,6,11891,0.13218978102189782
20,5,11973,0.132536231884058
20,0,12068,0.13194244604316546
19,0,12168,0.13099999999999998
20,1,12257,0.13085106382978723
20,0,12357,0.12992957746478875
19,1,12434,0.1306293706293706
15,0,12513,0.13118055555555558
16,0,12579,0.13262068965517243
20,1,12671,0.1322602739726027
20,0,12754,0.1325170068027211
20,1,12854,0.13162162162162164
20,1,12946,0.1312751677852349
19,0,13041,0.1307333333333333
20,1,13141,0.12986754966887418
18,4,13221,0.13032894736842107
20,0,13302,0.130718954248366
20,0,13367,0.13214285714285717
20,0,13461,0.13167741935483873
20,0,13561,0.1308333333333333
20,2,13639,0.13140127388535033
20,1,13720,0.13177215189873417
20,0,13789,0.13289308176100628
20,1,13884,0.13237500000000002
20,0,13967,0.13260869565217392
19,1,14044,0.13320987654320987
15,0,14106,0.13472392638036812
18,0,14181,0.1354268292682927
17,0,14281,0.13460606060606062
15,0,14381,0.13379518072289157
20,0,14453,0.13467065868263475
19,0,14547,0.13422619047619044
20,2,14617,0.13520710059171598
20,7,14703,0.13523529411764706
19,10,14778,0.13590643274853803
20,17,14852,0.13662790697674415
20,12,14952,0.13583815028901733
20,20,15052,0.13505747126436785
18,19,15138,0.1350857142857143
16,16,15209,0.1359659090909091
20,14,15256,0.13819209039548025
20,15,15346,0.13797752808988767
20,11,15446,0.13720670391061454
20,9,15546,0.13644444444444442
19,9,15638,0.13613259668508287
14,7,15725,0.13609890109890105
20,4,15825,0.13535519125683063
20,10,15914,0.1352173913043478
20,7,16014,0.13448648648648648
20,14,16098,0.13462365591397848
19,10,16181,0.13481283422459894
20,4,16258,0.13531914893617022
19,7,16345,0.13529100529100527
20,10,16433,0.13521052631578948
20,18,16533,0.1345026178010471
20,13,16617,0.13463541666666667
20,14,16698,0.13492227979274612
20,12,16798,0.1342268041237113
20,20,16889,0.13400000000000004
20,19,16979,0.1338265306122449
20,16,17036,0.13532994923857866
20,20,17107,0.13611111111111113
19,20,17196,0.13597989949748743
20,19,17271,0.13655
20,20,17371,0.13587064676616917
20,20,17466,0.13544554455445548
20,19,17566,0.13477832512315271
20,20,17643,0.13524509803921564
20,19,17723,0.13556097560975613
19,20,17803,0.135873786407767
20,20,17886,0.13603864734299514
20,20,17970,0.13615384615384615
19,20,18051,0.13641148325358854
20,20,18151,0.13576190476190478
20,20,18221,0.13654028436018958
20,20,18311,0.13636792452830188
20,20,18400,0.13624413145539907
20,20,18500,0.13560747663551403
20,20,18597,0.13511627906976742
20,19,18679,0.1353240740740741
20,20,18768,0.13520737327188942
19,20,18850,0.13541284403669723
13,20,18935,0.13547945205479453
3,20,19035,0.13486363636363635
11,20,19129,0.13452488687782801
19,20,19214,0.1345945945945946
20,19,19301,0.13457399103139012
20,20,19401,0.13397321428571426
20,20,19495,0.13364444444444443
19,20,19594,0.13309734513274335
20,20,19692,0.1325991189427313
20,20,19788,0.13219298245614036
20,20,19886,0.13170305676855895
20,20,19963,0.1321304347826087
20,19,20051,0.13207792207792207
20,20,20143,0.13185344827586207
19,19,20242,0.13133047210300428
19,15,20342,0.13076923076923075
20,20,20429,0.13076595744680852
20,19,20513,0.1308898305084746
20,19,20604,0.13071729957805905
20,19,20696,0.13050420168067225
20,20,20790,0.1302092050209205
20,19,20890,0.1296666666666667
19,19,20990,0.12912863070539418
13,19,21071,0.1293801652892562
11,20,21133,0.13041152263374486
5,20,21226,0.1301639344262295
4,19,21326,0.12963265306122448
9,20,21426,0.1291056910569106
5,20,21511,0.1291902834008097
3,19,21569,0.13036290322580646
5,20,21669,0.1298393574297189
12,20,21769,0.12932000000000002
11,19,21849,0.129601593625498
6,19,21927,0.12996031746031744
6,19,22002,0.13043478260869562
5,20,22098,0.1300787401574803
5,19,22198,0.12956862745098038
4,19,22281,0.12972656249999998
0,19,22367,0.12976653696498053
0,20,22460,0.12953488372093025
0,20,22547,0.12953667953667952
0,20,22634,0.12953846153846155
1,20,22701,0.1303065134099617
0,20,22773,0.13087786259541984
1,20,22863,0.13076045627376426
0,20,22963,0.1302651515151515
1,19,23055,0.1300754716981132
2,20,23145,0.1299624060150376
4,19,23228,0.1301123595505618
5,20,23328,0.1296268656716418
6,19,23428,0.1291449814126394
20,18,23483,0.13033333333333333
19,12,23538,0.13151291512915128
20,6,23638,0.1310294117647059
19,10,23738,0.13054945054945052
19,19,23824,0.13058394160583942
20,16,23895,0.13116363636363634
19,18,23925,0.1332246376811594
20,19,24020,0.13292418772563175
20,17,24120,0.13244604316546763
19,19,24220,0.13197132616487456
20,19,24290,0.1325714285714286
20,20,24368,0.13288256227758005
20,19,24468,0.13241134751773048
20,20,24568,0.13194346289752648
20,20,24645,0.13228873239436617
20,19,24707,0.1331578947368421
19,20,24779,0.13367132867132867
19,20,24879,0.13320557491289198
19,20,24979,0.13274305555555554
20,18,25068,0.1326643598615917
19,19,25141,0.13313793103448274
15,14,25204,0.13395189003436422
12,11,25304,0.13349315068493153
12,12,25385,0.13368600682593856
17,11,25477,0.13350340136054423
20,7,25575,0.13311864406779664
20,13,25669,0.13287162162162158
20,4,25743,0.1332996632996633
19,0,25825,0.1334563758389262
20,0,25924,0.13304347826086954
18,1,26014,0.13293333333333332
19,1,26112,0.1325581395348837
19,0,26197,0.1326158940397351
20,0,26286,0.13254125412541257
20,0,26361,0.13292763157894738
19,0,26438,0.13324590163934427
20,0,26538,0.13281045751633985
20,0,26638,0.13237785016286643
20,0,26738,0.13194805194805195
20,1,26805,0.13258899676375407
20,0,26856,0.13374193548387095
20,0,26920,0.13446945337620578
19,1,27016,0.13416666666666663
20,0,27106,0.13405750798722044
19,1,27206,0.13363057324840766
19,2,27306,0.13320634920634922
19,0,27394,0.1331645569620253
20,1,27490,0.13287066246056783
20,0,27572,0.1330188679245283
20,0,27666,0.13278996865203763
20,1,27766,0.132375
20,0,27822,0.13333333333333336
20,0,27902,0.13354037267080748
20,0,27991,0.1334674922600619
19,1,28091,0.13305555555555557
19,0,28191,0.13264615384615383
20,1,28268,0.13294478527607362
20,4,28317,0.13409785932721713
20,11,28417,0.1336890243902439
20,8,28517,0.13328267477203648
20,6,28617,0.13287878787878787
19,7,28702,0.1329305135951662
20,7,28774,0.13337349397590365
18,11,28857,0.13348348348348346
20,8,28956,0.13311377245508982
20,11,29037,0.13328358208955224
19,19,29120,0.13339285714285715
20,20,29215,0.1331454005934718
20,19,29302,0.1331360946745562
20,20,29395,0.13294985250737462
19,20,29462,0.13352941176470592
19,19,29553,0.13340175953079178
19,20,29647,0.13318713450292397
19,19,29719,0.13361516034985427
20,19,29808,0.13354651162790698
19,20,29866,0.13437681159420292
20,20,29957,0.1342485549132948
19,20,30052,0.1340057636887608
19,20,30152,0.1336206896551724
18,19,30237,0.13366762177650432
20,19,30316,0.1338857142857143
20,19,30385,0.13438746438746435
18,20,30478,0.13420454545454547
13,20,30557,0.13441926345609062
11,19,30645,0.13437853107344633
8,20,30745,0.13399999999999995
11,20,30830,0.13404494382022475
12,20,30926,0.13378151260504198
14,20,31026,0.13340782122905026
13,20,31126,0.13303621169916433
10,19,31210,0.1331111111111111
8,20,31288,0.1333518005540166
13,20,31388,0.13298342541436464
7,20,31488,0.13261707988980714
11,19,31575,0.13260989010989008
0,18,31663,0.1325753424657534
0,20,31731,0.13308743169398907
1,20,31831,0.132724795640327
0,20,31920,0.13266304347826088
0,19,32017,0.13238482384823852
2,19,32106,0.13232432432432434
0,20,32180,0.13266846361185985
0,19,32238,0.13344086021505377
0,19,32335,0.13316353887399465
0,14,32434,0.1328342245989305
1,15,32512,0.1330666666666667
0,17,32612,0.1327127659574468
0,6,32712,0.13236074270557027
0,6,32800,0.13232804232804235
0,6,32875,0.13263852242744062
1,9,32965,0.13255263157894737
1,4,33044,0.13275590551181105
0,5,33114,0.1331937172774869
0,6,33184,0.13362924281984334
1,10,33284,0.13328125
0,8,33379,0.13306493506493508
1,12,33479,0.132720207253886
0,19,33560,0.1328682170542636
1,20,33624,0.13345360824742264
1,20,33723,0.13313624678663238
6,19,33823,0.13279487179487176
7,20,33919,0.13255754475703324
9,20,34015,0.13232142857142856
7,20,34082,0.132824427480916
0,18,34182,0.13248730964467004
0,17,34282,0.13215189873417718
1,14,34369,0.13214646464646468
0,11,34424,0.13294710327455916
1,14,34478,0.13376884422110552
6,14,34557,0.13395989974937342
0,20,34634,0.1342
1,20,34728,0.13401496259351622
0,20,34822,0.1338308457711443
0,20,34880,0.1345409429280397
0,20,34958,0.13475247524752482
0,20,35043,0.1347901234567901
2,20,35138,0.13458128078817733
0,19,35234,0.13434889434889435
0,19,35332,0.13406862745098036
0,20,35375,0.13513447432762837
0,19,35475,0.13480487804878055
0,14,35558,0.13489051094890508
1,16,35658,0.1345631067961165
2,20,35738,0.13472154963680388
9,20,35825,0.13471014492753625
5,20,35920,0.13450602409638554
7,19,36019,0.1342067307692308
6,20,36106,0.13419664268585135
9,20,36171,0.13471291866028706
9,18,36249,0.1349164677804296
15,20,36344,0.1347142857142857
13,19,36436,0.13458432304038004
6,15,36531,0.13438388625592418
10,14,36621,0.13430260047281323
5,20,36712,0.13419811320754715
4,20,36790,0.13439999999999996
5,20,36862,0.1347417840375587
12,20,36936,0.13503512880562057
12,20,37024,0.13500000000000004
14,18,37121,0.13475524475524475
8,20,37213,0.1346279069767442
2,20,37296,0.13470997679814384
0,19,37368,0.1350462962962963
0,20,37438,0.13542725173210163
0,19,37509,0.13578341013824882
0,20,37589,0.13593103448275864
0,20,37687,0.13566513761467885
1,19,37763,0.13590389016018306
4,20,37861,0.13563926940639268
4,20,37960,0.13535307517084283
0,20,38042,0.13545454545454547
1,20,38139,0.13521541950113378
6,19,38227,0.13518099547511309
13,20,38327,0.1348758465011287
13,20,38426,0.1345945945945946
20,20,38515,0.13453932584269662
19,20,38591,0.13477578475336321
20,20,38682,0.13467561521252797
18,19,38780,0.13441964285714283
20,20,38867,0.1344097995545657
20,20,38960,0.1342666666666667
20,20,39060,0.1339689578713969
20,20,39155,0.13378318584070797
18,20,39238,0.13386313465783667
13,18,39321,0.13394273127753303
9,19,39409,0.13391208791208792
14,20,39509,0.13361842105263158
11,20,39603,0.13345733041575492
9,20,39697,0.13329694323144106
11,20,39795,0.13305010893246189
17,20,39869,0.13332608695652173
9,19,39955,0.13334056399132324
8,20,40039,0.1333982683982684
