N,L,score,idlePercent
0,0,0,1.0
1,0,0,1.0
1,0,0,1.0
0,1,0,1.0
1,0,0,1.0
1,1,10,0.9800000000000001
0,0,35,0.9416666666666668
0,1,60,0.9142857142857143
1,0,85,0.8937499999999998
0,0,110,0.8777777777777779
1,1,136,0.8640000000000001
0,0,161,0.8536363636363637
0,1,186,0.845
0,0,211,0.8376923076923077
0,0,236,0.8314285714285716
0,0,261,0.826
1,0,289,0.819375
0,1,314,0.815294117647059
0,0,339,0.8116666666666668
1,0,364,0.8084210526315789
1,0,391,0.8045
0,0,416,0.8019047619047617
1,0,443,0.7986363636363636
0,0,469,0.796086956521739
0,0,494,0.7941666666666667
0,0,519,0.7924
1,1,544,0.7907692307692307
0,0,569,0.7892592592592594
1,0,594,0.7878571428571429
0,1,640,0.7793103448275864
0,1,700,0.7666666666666664
0,0,775,0.7500000000000001
1,0,851,0.7340625000000001
1,1,926,0.7193939393939394
0,0,1001,0.7055882352941177
1,0,1076,0.6925714285714286
1,0,1151,0.6802777777777778
0,1,1226,0.6686486486486486
0,0,1301,0.6576315789473685
0,1,1376,0.6471794871794869
0,3,1450,0.6375000000000001
1,5,1525,0.6280487804878048
0,6,1600,0.6190476190476188
1,10,1674,0.6106976744186047
1,11,1748,0.6027272727272728
0,16,1822,0.5951111111111111
0,20,1886,0.5900000000000001
0,19,1936,0.5880851063829786
1,20,1986,0.5862500000000002
0,19,2036,0.5844897959183675
3,11,2090,0.5820000000000001
0,14,2141,0.5801960784313724
0,19,2191,0.5786538461538461
0,20,2241,0.5771698113207547
0,19,2291,0.5757407407407407
0,19,2341,0.5743636363636364
0,19,2391,0.5730357142857143
1,20,2440,0.5719298245614035
2,20,2492,0.5703448275862069
10,19,2555,0.5669491525423729
4,20,2611,0.5648333333333333
1,20,2663,0.5634426229508197
1,20,2713,0.5624193548387096
0,20,2763,0.5614285714285715
0,20,2813,0.56046875
0,20,2863,0.5595384615384615
0,20,2937,0.5549999999999999
0,20,2992,0.5534328358208954
