N,L,score,idlePercent
0,0,0,1.0
1,0,96,0.04
0,1,196,0.02
0,0,296,0.013333333333333332
0,0,390,0.024999999999999998
0,0,445,0.11000000000000001
0,0,545,0.09166666666666669
0,0,645,0.07857142857142856
0,0,745,0.06875
0,0,825,0.08333333333333334
0,0,900,0.1
1,1,1000,0.09090909090909087
0,0,1092,0.09
0,1,1172,0.09846153846153846
0,0,1257,0.10214285714285713
1,0,1324,0.11733333333333333
0,0,1419,0.11312499999999999
0,1,1514,0.10941176470588232
1,0,1594,0.11444444444444443
0,0,1683,0.11421052631578947
0,1,1776,0.11200000000000002
1,0,1867,0.11095238095238096
0,1,1930,0.12272727272727271
0,0,2003,0.12913043478260872
0,0,2078,0.13416666666666668
0,0,2150,0.14000000000000004
1,1,2225,0.14423076923076925
0,7,2285,0.15370370370370373
0,3,2384,0.1485714285714286
0,7,2467,0.14931034482758618
1,5,2567,0.14433333333333334
1,12,2662,0.14129032258064514
2,16,2738,0.14437500000000003
0,18,2795,0.153030303030303
0,18,2890,0.15000000000000002
0,19,2979,0.14885714285714283
0,20,3079,0.14472222222222225
1,20,3156,0.14702702702702702
1,20,3256,0.14315789473684212
1,20,3356,0.1394871794871795
4,20,3450,0.1375
5,20,3530,0.13902439024390248
6,20,3586,0.14619047619047618
6,20,3686,0.1427906976744186
6,20,3773,0.14250000000000002
7,20,3860,0.14222222222222222
17,20,3934,0.14478260869565215
20,20,4016,0.145531914893617
19,20,4116,0.14250000000000002
12,20,4211,0.14061224489795915
11,20,4305,0.13900000000000004
13,20,4387,0.13980392156862745
16,20,4466,0.14115384615384613
18,20,4531,0.14509433962264154
15,19,4595,0.14907407407407408
11,20,4690,0.1472727272727273
4,19,4785,0.14553571428571427
0,20,4885,0.14298245614035082
1,20,4972,0.1427586206896552
1,19,5030,0.14745762711864402
5,19,5117,0.14716666666666667
10,19,5214,0.14524590163934423
12,20,5299,0.1453225806451613
10,20,5375,0.14682539682539683
11,20,5454,0.14781249999999999
15,20,5537,0.14815384615384614
14,20,5637,0.1459090909090909
17,20,5726,0.14537313432835824
20,20,5803,0.14661764705882355
20,19,5892,0.14608695652173911
20,20,5983,0.1452857142857143
17,19,6074,0.1445070422535211
15,20,6161,0.14430555555555552
14,20,6261,0.14232876712328765
20,20,6350,0.14189189189189189
19,20,6440,0.14133333333333337
16,20,6516,0.14263157894736844
20,20,6614,0.14103896103896102
19,20,6706,0.14025641025641025
20,19,6789,0.14063291139240505
20,19,6856,0.143
20,20,6950,0.1419753086419753
20,19,7050,0.14024390243902443
19,20,7142,0.13951807228915664
20,20,7230,0.1392857142857143
19,20,7319,0.13894117647058826
20,20,7419,0.1373255813953488
20,20,7517,0.13597701149425287
20,20,7606,0.13568181818181818
19,20,7692,0.13573033707865167
20,20,7792,0.13422222222222221
19,19,7892,0.13274725274725274
16,20,7990,0.13152173913043477
14,20,8089,0.13021505376344086
15,20,8181,0.1296808510638298
13,20,8281,0.12831578947368422
15,20,8374,0.12770833333333334
13,20,8455,0.12835051546391754
16,19,8547,0.12785714285714286
15,20,8647,0.1265656565656566
17,20,8745,0.1255
13,20,8826,0.1261386138613862
8,20,8925,0.125
5,20,9025,0.1237864077669903
3,20,9114,0.12365384615384616
5,20,9201,0.12371428571428571
3,20,9264,0.1260377358490566
0,19,9364,0.12485981308411212
0,19,9464,0.12370370370370369
0,17,9564,0.12256880733944957
0,13,9630,0.12454545454545454
0,13,9730,0.12342342342342343
0,20,9830,0.12232142857142861
0,20,9930,0.12123893805309734
1,19,9993,0.12342105263157896
6,20,10049,0.1261739130434783
0,20,10123,0.12732758620689655
0,19,10194,0.1287179487179487
2,20,10294,0.1276271186440678
8,20,10361,0.12932773109243695
10,19,10437,0.13025
5,20,10521,0.13049586776859504
1,18,10621,0.12942622950819674
0,20,10719,0.12853658536585363
0,17,10786,0.13016129032258067
1,14,10847,0.13223999999999997
1,20,10903,0.13468253968253968
0,20,10976,0.13574803149606302
1,20,11071,0.135078125
0,18,11167,0.13434108527131786
2,20,11251,0.13453846153846155
0,19,11337,0.13458015267175574
1,19,11405,0.13598484848484851
0,20,11493,0.13586466165413533
0,20,11593,0.13485074626865673
0,20,11683,0.13459259259259254
1,19,11779,0.13389705882352942
1,19,11859,0.13437956204379564
0,20,11953,0.13384057971014493
0,20,12047,0.1333093525179856
2,19,12116,0.13457142857142856
10,20,12211,0.13397163120567374
12,20,12311,0.1330281690140845
15,20,12402,0.1327272727272727
20,19,12488,0.1327777777777778
19,14,12568,0.1332413793103448
17,20,12663,0.13267123287671231
13,20,12759,0.1320408163265306
8,19,12837,0.13263513513513514
0,20,12904,0.13395973154362414
0,19,12956,0.13626666666666665
0,20,13028,0.1372185430463576
0,18,13102,0.13802631578947366
0,14,13161,0.13980392156862748
0,17,13208,0.14233766233766235
0,10,13262,0.14438709677419356
0,15,13347,0.14442307692307693
0,20,13447,0.1435031847133758
0,19,13542,0.1429113924050633
0,20,13619,0.14345911949685536
0,20,13710,0.143125
0,20,13806,0.14248447204968945
0,19,13900,0.1419753086419753
1,20,13984,0.14208588957055215
0,20,14079,0.14152439024390245
0,20,14169,0.14127272727272724
0,20,14243,0.14198795180722892
0,19,14308,0.1432335329341317
0,18,14359,0.14529761904761904
1,19,14435,0.14585798816568046
0,20,14535,0.145
1,20,14626,0.1446783625730994
6,19,14719,0.14424418604651162
3,20,14795,0.1447976878612717
0,20,14846,0.14678160919540229
0,19,14919,0.1474857142857143
1,16,15010,0.1471590909090909
0,19,15110,0.14632768361581922
1,18,15204,0.14584269662921348
1,16,15287,0.14597765363128493
0,20,15362,0.14655555555555558
0,20,15442,0.14685082872928176
0,19,15540,0.14615384615384616
0,20,15640,0.14535519125683058
0,20,15727,0.14527173913043476
1,20,15816,0.14508108108108111
2,18,15911,0.1445698924731183
1,20,16003,0.14422459893048128
0,20,16084,0.14446808510638295
0,19,16171,0.1443915343915344
2,19,16245,0.145
0,20,16345,0.14424083769633508
0,20,16429,0.1443229166666667
0,20,16498,0.14518134715025904
1,20,16542,0.14731958762886596
2,20,16611,0.14815384615384616
4,20,16700,0.1479591836734694
5,20,16780,0.14822335025380712
4,20,16849,0.14904040404040403
7,20,16908,0.15035175879396984
8,19,16995,0.15024999999999997
15,16,17091,0.14970149253731344
19,20,17191,0.148960396039604
20,20,17283,0.1486206896551724
19,20,17377,0.1481862745098039
20,20,17473,0.1476585365853659
20,18,17573,0.14694174757281558
20,20,17657,0.14700483091787436
20,20,17738,0.14721153846153848
18,20,17825,0.14712918660287083
16,20,17916,0.14685714285714285
10,20,18016,0.14616113744075832
13,20,18103,0.1460849056603774
15,20,18203,0.14539906103286385
13,20,18303,0.14471962616822429
7,20,18371,0.14553488372093026
9,20,18430,0.14675925925925923
15,20,18485,0.14815668202764978
12,20,18566,0.148348623853211
19,20,18652,0.14831050228310505
19,20,18752,0.14763636363636362
20,19,18829,0.14800904977375565
20,19,18911,0.14815315315315317
19,20,18979,0.1489237668161435
19,18,19068,0.14875000000000002
20,17,19159,0.14848888888888886
20,16,19253,0.14809734513274336
19,17,19345,0.1477973568281938
20,20,19445,0.14714912280701756
20,19,19543,0.1465938864628821
20,20,19628,0.14660869565217388
19,19,19708,0.14683982683982683
20,20,19806,0.14629310344827587
20,20,19899,0.14596566523605148
20,20,19994,0.14555555555555555
20,20,20094,0.14493617021276595
20,20,20181,0.1448728813559322
20,20,20272,0.14464135021097044
20,19,20366,0.1442857142857143
19,14,20466,0.14368200836820083
20,19,20549,0.14379166666666665
19,20,20649,0.14319502074688797
19,20,20733,0.14326446280991734
20,20,20830,0.142798353909465
19,20,20911,0.14299180327868852
19,20,21010,0.14244897959183672
15,20,21102,0.1421951219512195
13,19,21195,0.14190283400809717
7,19,21290,0.14153225806451614
12,16,21368,0.14184738955823292
0,11,21454,0.14184000000000002
0,4,21548,0.14151394422310756
0,15,21648,0.1409523809523809
0,19,21746,0.14047430830039526
1,18,21839,0.1401968503937008
0,20,21936,0.13976470588235293
0,20,22036,0.13921875
0,19,22131,0.13887159533073928
1,20,22188,0.13999999999999999
0,19,22262,0.14046332046332044
0,20,22345,0.1405769230769231
1,19,22404,0.14160919540229883
0,16,22477,0.1420992366412214
0,15,22571,0.14178707224334602
0,13,22663,0.1415530303030303
0,7,22763,0.14101886792452833
0,4,22836,0.14150375939849621
0,2,22899,0.14235955056179778
0,6,22999,0.14182835820895523
0,16,23098,0.14133828996282527
0,11,23189,0.14114814814814813
0,12,23266,0.14147601476014762
1,4,23332,0.14220588235294118
1,7,23421,0.14208791208791205
1,3,23498,0.1424087591240876
3,5,23577,0.14265454545454545
0,6,23659,0.14278985507246378
0,13,23739,0.14299638989169675
2,20,23822,0.14309352517985613
0,19,23922,0.14258064516129035
1,20,24008,0.1425714285714286
1,20,24102,0.14227758007117441
2,20,24199,0.14187943262411346
0,20,24288,0.1417667844522968
0,20,24375,0.1417253521126761
1,19,24464,0.1416140350877193
0,20,24547,0.1417132867132867
0,20,24641,0.1414285714285714
0,19,24728,0.14138888888888887
1,14,24820,0.1411764705882353
