N,L,score,idlePercent
20,0,0,1.0
20,0,87,0.13
20,0,187,0.065
20,0,287,0.04333333333333333
20,0,385,0.037500000000000006
20,0,480,0.039999999999999994
20,0,570,0.05
20,0,670,0.04285714285714286
20,0,750,0.0625
20,0,837,0.06999999999999999
20,0,935,0.06500000000000002
20,0,1035,0.0590909090909091
20,0,1121,0.06583333333333333
20,0,1210,0.06923076923076923
20,0,1308,0.0657142857142857
20,0,1397,0.06866666666666668
20,0,1485,0.07187500000000001
20,0,1575,0.07352941176470587
20,0,1657,0.07944444444444446
20,0,1750,0.07894736842105263
20,0,1842,0.07900000000000001
20,0,1931,0.08047619047619047
20,0,2021,0.08136363636363636
20,0,2100,0.08695652173913042
20,0,2198,0.08416666666666667
20,0,2292,0.08320000000000002
20,0,2392,0.07999999999999999
20,0,2482,0.08074074074074074
20,0,2573,0.08107142857142856
20,0,2661,0.08241379310344825
20,0,2738,0.08733333333333333
20,0,2818,0.09096774193548388
20,0,2906,0.09187500000000001
20,0,3006,0.08909090909090908
20,0,3103,0.0873529411764706
20,0,3188,0.08914285714285715
20,0,3258,0.095
20,0,3350,0.0945945945945946
20,0,3440,0.09473684210526317
20,0,3522,0.09692307692307692
20,0,3610,0.0975
20,0,3687,0.10073170731707319
20,0,3782,0.09952380952380951
20,0,3875,0.09883720930232558
20,0,3955,0.10113636363636362
20,0,4048,0.10044444444444445
20,0,4142,0.09956521739130435
20,0,4242,0.09744680851063828
20,0,4335,0.096875
20,0,4418,0.09836734693877551
20,0,4505,0.099
20,0,4605,0.09705882352941177
20,0,4705,0.0951923076923077
20,0,4801,0.0941509433962264
20,0,4900,0.0925925925925926
20,0,5000,0.09090909090909091
20,0,5100,0.0892857142857143
20,0,5190,0.08947368421052634
20,0,5276,0.09034482758620689
20,0,5359,0.0916949152542373
20,0,5449,0.09183333333333334
20,0,5529,0.09360655737704918
20,0,5618,0.09387096774193548
20,0,5699,0.09539682539682538
20,0,5791,0.09515624999999998
20,0,5880,0.09538461538461539
20,0,5966,0.09606060606060607
20,0,6050,0.09701492537313434
20,0,6141,0.09691176470588235
20,0,6240,0.09565217391304348
20,0,6340,0.09428571428571428
20,0,6431,0.09422535211267605
20,0,6503,0.09680555555555556
20,0,6585,0.09794520547945204
20,0,6685,0.09662162162162163
20,0,6785,0.09533333333333335
20,0,6881,0.09460526315789472
20,0,6967,0.0951948051948052
20,0,7059,0.095
20,0,7158,0.09392405063291139
20,0,7243,0.09462499999999999
20,0,7331,0.09493827160493827
20,0,7431,0.09378048780487805
20,0,7524,0.09349397590361445
20,0,7608,0.09428571428571428
20,0,7689,0.09541176470588233
20,0,7769,0.0966279069767442
20,0,7857,0.09689655172413791
20,0,7941,0.09761363636363636
20,0,8036,0.09707865168539329
20,0,8110,0.09888888888888889
20,0,8205,0.09835164835164836
20,0,8303,0.0975
20,0,8400,0.0967741935483871
20,0,8472,0.09872340425531917
20,0,8551,0.09989473684210529
20,0,8639,0.10010416666666669
20,0,8731,0.09989690721649484
20,0,8792,0.10285714285714284
20,0,8884,0.10262626262626262
20,0,8979,0.10210000000000001
20,0,9074,0.10158415841584159
20,0,9165,0.10147058823529412
20,0,9199,0.10689320388349514
20,0,9242,0.11134615384615384
20,0,9340,0.11047619047619048
20,0,9440,0.10943396226415095
20,0,9539,0.1085046728971963
20,0,9614,0.10981481481481484
20,0,9689,0.11110091743119266
20,0,9776,0.11127272727272727
20,0,9865,0.11126126126126128
20,0,9936,0.11285714285714288
20,0,9996,0.11539823008849556
20,0,10057,0.11780701754385965
20,0,10147,0.11765217391304347
20,0,10241,0.11715517241379311
20,0,10332,0.11692307692307694
20,0,10420,0.1169491525423729
20,0,10503,0.11739495798319328
20,0,10590,0.11749999999999998
20,0,10670,0.1181818181818182
