N,L,score,idlePercent
0,0,0,1.0
0,1,0,1.0
0,0,0,1.0
0,0,0,1.0
0,1,0,1.0
1,1,0,1.0
0,0,20,0.9666666666666668
0,0,45,0.9357142857142857
0,0,70,0.9125
0,0,95,0.8944444444444445
1,1,140,0.86
0,1,190,0.8272727272727272
0,7,240,0.8000000000000002
1,6,291,0.7761538461538461
0,7,342,0.7557142857142857
0,8,392,0.7386666666666668
0,20,442,0.7237499999999998
0,20,492,0.7105882352941177
0,20,542,0.698888888888889
0,20,592,0.688421052631579
0,19,642,0.679
2,20,695,0.6690476190476191
0,20,746,0.6609090909090909
1,19,796,0.653913043478261
0,20,846,0.6475
0,20,896,0.6416000000000001
0,20,946,0.6361538461538461
0,19,996,0.631111111111111
1,17,1046,0.6264285714285716
0,20,1096,0.6220689655172413
1,20,1146,0.6180000000000001
0,20,1196,0.6141935483870968
2,20,1271,0.6028124999999999
0,20,1345,0.5924242424242425
0,20,1419,0.5826470588235295
0,20,1504,0.5702857142857143
0,20,1604,0.5544444444444443
0,20,1704,0.5394594594594595
0,19,1804,0.5252631578947369
2,20,1904,0.5117948717948717
1,20,2004,0.4990000000000001
0,20,2104,0.4868292682926829
0,18,2201,0.47595238095238096
1,19,2296,0.466046511627907
6,18,2396,0.45545454545454545
3,20,2496,0.4453333333333333
10,20,2596,0.43565217391304356
9,20,2696,0.4263829787234041
4,20,2796,0.4175
11,20,2896,0.4089795918367347
17,20,2996,0.4008
20,20,3075,0.3970588235294118
19,20,3167,0.39096153846153847
14,19,3250,0.38679245283018865
20,20,3331,0.3831481481481482
19,19,3418,0.37854545454545463
19,20,3509,0.37339285714285714
19,20,3598,0.3687719298245614
14,19,3688,0.3641379310344827
16,11,3774,0.3603389830508475
14,20,3859,0.35683333333333334
16,19,3948,0.3527868852459016
20,20,4041,0.34822580645161294
20,20,4134,0.3438095238095238
20,20,4223,0.34015625000000005
20,19,4311,0.33676923076923077
19,20,4401,0.3331818181818182
20,20,4491,0.3297014925373134
20,20,4563,0.3289705882352941
20,18,4632,0.32869565217391306
20,19,4704,0.328
19,20,4798,0.324225352112676
20,20,4879,0.322361111111111
20,20,4948,0.32219178082191785
20,19,5017,0.322027027027027
19,19,5088,0.3216
20,20,5161,0.320921052631579
20,20,5229,0.3209090909090909
20,20,5269,0.3244871794871794
20,20,5306,0.3283544303797469
20,20,5340,0.3325
19,20,5376,0.33629629629629626
18,20,5413,0.3398780487804879
19,20,5447,0.3437349397590361
19,19,5486,0.34690476190476194
19,20,5523,0.3502352941176471
17,20,5559,0.3536046511627907
14,20,5598,0.356551724137931
10,20,5632,0.36
8,19,5686,0.36112359550561796
6,20,5738,0.36244444444444446
13,19,5800,0.3626373626373627
11,20,5864,0.362608695652174
20,20,5936,0.36172043010752686
20,20,6022,0.3593617021276595
20,20,6107,0.35715789473684206
20,19,6195,0.35468749999999993
20,14,6288,0.35175257731958764
19,11,6377,0.34928571428571425
19,4,6470,0.3464646464646465
18,9,6550,0.3450000000000001
16,10,6618,0.3447524752475248
13,13,6681,0.34500000000000003
8,17,6739,0.34572815533980583
20,13,6800,0.34615384615384615
20,12,6873,0.3454285714285715
20,10,6940,0.34528301886792456
19,6,7013,0.3445794392523365
20,9,7094,0.34314814814814815
19,11,7159,0.3432110091743119
19,2,7231,0.34263636363636374
18,0,7300,0.34234234234234234
16,0,7362,0.34267857142857144
15,0,7429,0.3425663716814159
10,1,7487,0.3432456140350877
10,6,7545,0.3439130434782608
9,1,7601,0.34474137931034476
3,4,7654,0.3458119658119658
5,0,7706,0.3469491525423729
0,1,7756,0.34823529411764703
3,0,7806,0.3495
