N,L,score,idlePercent
0,0,0,1.0
1,0,29,0.71
0,0,95,0.525
0,0,195,0.35
0,0,290,0.27499999999999997
0,0,380,0.24000000000000007
1,0,450,0.25
0,0,545,0.2214285714285714
0,0,645,0.19375000000000003
0,0,740,0.17777777777777778
0,0,835,0.16500000000000006
0,0,890,0.19090909090909086
0,0,965,0.19583333333333336
1,1,1030,0.2076923076923077
0,6,1117,0.20214285714285712
0,4,1190,0.2066666666666667
0,1,1283,0.19812500000000002
1,0,1378,0.18941176470588234
6,0,1469,0.1838888888888889
10,1,1569,0.17421052631578945
6,0,1646,0.177
12,0,1732,0.1752380952380952
7,3,1826,0.16999999999999998
11,5,1907,0.17086956521739133
20,4,1993,0.1695833333333333
20,7,2086,0.16560000000000002
20,8,2167,0.16653846153846152
19,5,2253,0.16555555555555554
19,5,2342,0.16357142857142856
17,3,2436,0.15999999999999998
20,0,2536,0.15466666666666667
20,0,2628,0.15225806451612905
19,0,2712,0.15250000000000002
14,0,2806,0.14969696969696972
11,0,2886,0.1511764705882353
11,0,2979,0.14885714285714285
9,0,3070,0.14722222222222223
8,0,3137,0.15216216216216216
13,0,3237,0.1481578947368421
19,0,3332,0.14564102564102566
15,2,3432,0.142
15,1,3527,0.13975609756097565
12,2,3613,0.13976190476190478
11,1,3693,0.1411627906976744
15,2,3790,0.13863636363636364
14,0,3890,0.13555555555555557
18,1,3970,0.13695652173913042
14,1,4031,0.14234042553191487
15,0,4117,0.14229166666666665
15,0,4216,0.13959183673469389
13,0,4305,0.13900000000000004
7,0,4400,0.13725490196078433
14,1,4469,0.14057692307692307
6,0,4529,0.14547169811320756
0,0,4618,0.14481481481481479
0,0,4718,0.1421818181818182
0,0,4800,0.14285714285714285
0,0,4886,0.14280701754385963
0,1,4981,0.14120689655172414
1,1,5066,0.14135593220338985
0,0,5151,0.14150000000000001
0,0,5245,0.1401639344262295
0,0,5340,0.13870967741935483
2,0,5440,0.13650793650793652
2,0,5540,0.13437499999999997
1,1,5626,0.13446153846153847
0,0,5716,0.13393939393939394
2,1,5816,0.13194029850746267
0,0,5905,0.13161764705882353
0,2,6005,0.12971014492753621
1,0,6064,0.13371428571428573
3,0,6134,0.13605633802816902
5,1,6229,0.13486111111111113
7,0,6324,0.13369863013698632
7,0,6414,0.13324324324324324
10,0,6493,0.13426666666666667
5,0,6582,0.1339473684210526
14,1,6678,0.13272727272727275
9,0,6778,0.13102564102564102
6,0,6859,0.1317721518987342
3,1,6935,0.133125
8,0,7014,0.13407407407407407
19,0,7101,0.13402439024390247
20,0,7186,0.13421686746987951
20,0,7237,0.13845238095238094
20,1,7323,0.13847058823529407
20,0,7423,0.13686046511627908
20,0,7522,0.1354022988505747
20,1,7622,0.13386363636363635
20,1,7678,0.13730337078651683
20,0,7772,0.13644444444444442
20,1,7859,0.13637362637362638
20,1,7958,0.135
19,0,8054,0.1339784946236559
20,0,8135,0.1345744680851064
19,1,8233,0.13336842105263158
20,0,8333,0.13197916666666665
20,0,8427,0.13123711340206187
20,0,8523,0.13030612244897957
19,0,8618,0.1294949494949495
20,0,8718,0.1282
19,0,8809,0.12782178217821785
20,1,8888,0.12862745098039216
20,2,8968,0.1293203883495146
19,1,9066,0.1282692307692308
20,0,9161,0.1275238095238095
19,0,9254,0.1269811320754717
20,1,9336,0.1274766355140187
20,0,9414,0.12833333333333335
20,0,9513,0.12724770642201835
19,0,9598,0.12745454545454546
19,0,9674,0.12846846846846843
20,2,9767,0.1279464285714286
20,8,9867,0.1268141592920354
20,9,9967,0.12570175438596493
20,13,10057,0.1254782608695652
18,0,10147,0.12525862068965515
13,0,10231,0.12555555555555556
16,0,10318,0.12559322033898304
20,0,10408,0.12537815126050422
20,0,10470,0.1275
20,0,10559,0.12735537190082644
20,0,10655,0.12663934426229506
20,0,10744,0.12650406504065043
20,1,10829,0.12669354838709673
19,1,10920,0.1264
20,6,11015,0.1257936507936508
20,4,11114,0.12488188976377954
20,0,11213,0.123984375
19,1,11292,0.12465116279069766
20,1,11377,0.12484615384615383
20,0,11477,0.12389312977099236
20,0,11577,0.12295454545454546
20,0,11673,0.12233082706766918
19,0,11746,0.12343283582089555
20,0,11831,0.12362962962962962
20,1,11923,0.12330882352941178
20,1,12006,0.12364963503649636
20,0,12097,0.12340579710144925
20,1,12192,0.12287769784172661
20,2,12289,0.12221428571428572
20,0,12387,0.12148936170212762
20,0,12479,0.12119718309859155
20,1,12567,0.12118881118881117
18,5,12644,0.12194444444444445
19,0,12744,0.12110344827586203
20,0,12821,0.12184931506849317
20,0,12911,0.12170068027210885
18,0,12971,0.12358108108108108
20,1,13059,0.12355704697986578
20,0,13145,0.12366666666666666
20,0,13240,0.1231788079470199
20,0,13333,0.12282894736842105
19,0,13407,0.12372549019607844
19,0,13479,0.12474025974025975
19,1,13564,0.1249032258064516
19,1,13657,0.12455128205128205
20,1,13754,0.12394904458598728
19,7,13842,0.12392405063291138
16,1,13931,0.1238364779874214
14,1,14028,0.12325000000000001
12,4,14124,0.12273291925465839
0,19,14214,0.12259259259259263
0,20,14295,0.12300613496932518
0,19,14391,0.12250000000000001
0,20,14484,0.1221818181818182
0,20,14562,0.12277108433734943
0,19,14630,0.12395209580838322
1,20,14689,0.12565476190476194
0,18,14789,0.12491124260355028
1,20,14873,0.12511764705882356
0,20,14967,0.12473684210526315
0,20,15056,0.12465116279069766
0,20,15126,0.12566473988439308
1,20,15226,0.1249425287356322
0,20,15321,0.12451428571428573
3,20,15419,0.12392045454545456
0,20,15511,0.12367231638418077
0,20,15599,0.12365168539325841
1,20,15693,0.12329608938547487
0,19,15793,0.12261111111111112
0,20,15868,0.12331491712707181
0,20,15946,0.12384615384615386
0,20,16044,0.12327868852459016
1,19,16144,0.12260869565217392
0,20,16232,0.12259459459459457
0,20,16317,0.12274193548387098
0,19,16380,0.12406417112299468
1,12,16454,0.12478723404255318
4,19,16547,0.12449735449735448
4,19,16643,0.12405263157894737
0,20,16740,0.12356020942408374
0,20,16832,0.12333333333333334
0,20,16932,0.12269430051813472
1,20,17016,0.12288659793814431
5,20,17088,0.12369230769230768
9,20,17157,0.12464285714285714
14,20,17243,0.12472081218274114
20,19,17343,0.12409090909090907
20,18,17439,0.12366834170854273
20,20,17533,0.12335000000000003
19,20,17625,0.12313432835820896
20,20,17722,0.12267326732673271
19,20,17817,0.12231527093596059
20,19,17912,0.12196078431372548
19,20,17996,0.12214634146341467
20,20,18088,0.12194174757281555
20,19,18175,0.1219806763285024
20,20,18258,0.12221153846153847
18,20,18358,0.1216267942583732
20,20,18444,0.12171428571428575
20,20,18544,0.12113744075829384
20,20,18632,0.1211320754716981
20,20,18719,0.12117370892018779
19,20,18812,0.12093457943925234
20,20,18904,0.12074418604651163
19,20,18997,0.12050925925925926
19,20,19081,0.12069124423963136
19,20,19144,0.12183486238532111
15,20,19238,0.12155251141552512
15,20,19338,0.12100000000000002
20,20,19426,0.12099547511312217
19,20,19517,0.12085585585585583
20,20,19607,0.12076233183856502
20,20,19705,0.1203125
20,20,19803,0.11986666666666668
19,19,19896,0.11964601769911505
17,19,19984,0.11964757709251103
20,20,20066,0.11991228070175437
19,19,20160,0.11965065502183406
10,17,20250,0.11956521739130437
8,20,20337,0.11961038961038958
0,20,20437,0.1190948275862069
0,19,20516,0.11948497854077253
0,19,20600,0.11965811965811965
0,20,20700,0.11914893617021276
1,19,20757,0.12046610169491526
1,20,20838,0.12075949367088609
1,20,20938,0.12025210084033613
1,20,21038,0.11974895397489538
0,18,21129,0.11962500000000001
0,17,21193,0.12062240663900414
0,8,21244,0.1221487603305785
0,11,21314,0.12288065843621399
1,11,21414,0.12237704918032788
1,11,21498,0.12253061224489796
1,15,21581,0.12272357723577235
1,20,21653,0.12336032388663967
1,20,21746,0.1231451612903226
0,19,21846,0.12265060240963857
0,20,21946,0.12215999999999998
2,20,22007,0.12322709163346612
0,20,22076,0.12396825396825395
0,19,22165,0.12391304347826089
0,18,22265,0.1234251968503937
0,19,22361,0.12309803921568627
0,20,22455,0.1228515625
0,19,22542,0.1228793774319066
0,20,22642,0.12240310077519381
0,19,22739,0.12204633204633202
1,14,22829,0.12196153846153845
5,15,22924,0.12168582375478927
5,20,23024,0.12122137404580151
