N,L,score,idlePercent
0,0,0.0,1.0
1,1,90.0,0.82
1,0,215.0,0.7849999999999999
4,0,495.0,0.6699999999999999
8,0,890.0,0.5549999999999999
11,1,1320.0,0.4720000000000001
15,2,1770.0,0.41
16,2,2260.0,0.35428571428571426
15,1,2760.0,0.30999999999999994
16,3,3260.0,0.2755555555555555
16,2,3760.0,0.24800000000000005
16,1,4260.0,0.22545454545454544
17,2,4760.0,0.20666666666666664
19,2,5260.0,0.19076923076923075
20,5,5760.0,0.17714285714285713
18,7,6260.0,0.16533333333333333
19,7,6750.0,0.15624999999999997
19,6,7150.0,0.15882352941176472
19,6,7485.0,0.16833333333333333
20,4,7785.0,0.1805263157894737
19,3,8170.0,0.183
18,5,8615.0,0.17952380952380956
19,4,8975.0,0.18409090909090908
19,7,9330.0,0.18869565217391301
20,8,9740.0,0.1883333333333333
18,9,10200.0,0.18400000000000002
19,7,10700.0,0.1769230769230769
17,8,11200.0,0.17037037037037037
18,13,11700.0,0.16428571428571428
18,15,12200.0,0.15862068965517237
18,16,12700.0,0.15333333333333338
18,15,13200.0,0.14838709677419354
20,17,13700.0,0.14375
20,15,14110.0,0.14484848484848484
20,17,14565.0,0.14323529411764707
19,18,15035.0,0.14085714285714285
19,16,15455.0,0.14138888888888893
20,15,15925.0,0.1391891891891892
19,11,16305.0,0.1418421052631579
18,10,16730.0,0.1420512820512821
19,11,16995.0,0.15025
18,5,17280.0,0.15707317073170737
20,6,17590.0,0.16238095238095235
20,4,17930.0,0.16604651162790696
18,6,18395.0,0.16386363636363635
19,5,18890.0,0.16044444444444447
16,6,19385.0,0.15717391304347825
15,7,19885.0,0.15382978723404256
17,10,20385.0,0.15062499999999998
19,13,20885.0,0.14755102040816329
18,15,21370.0,0.14520000000000005
17,14,21775.0,0.146078431372549
15,12,22185.0,0.14673076923076925
16,16,22540.0,0.14943396226415093
16,14,22955.0,0.14981481481481485
14,18,23400.0,0.1490909090909091
16,19,23850.0,0.14821428571428572
15,17,24305.0,0.14719298245614038
15,18,24730.0,0.1472413793103448
15,17,25115.0,0.14864406779661016
16,17,25500.0,0.15000000000000002
18,18,25935.0,0.149672131147541
19,19,26435.0,0.14725806451612905
20,15,26935.0,0.14492063492063495
19,13,27435.0,0.14265624999999998
18,11,27935.0,0.14046153846153844
18,13,28435.0,0.13833333333333336
18,9,28835.0,0.13925373134328362
18,7,29320.0,0.1376470588235294
15,3,29820.0,0.13565217391304346
15,5,30320.0,0.13371428571428573
17,9,30820.0,0.13183098591549297
18,12,31315.0,0.13013888888888886
19,12,31765.0,0.12972602739726027
18,12,32205.0,0.12959459459459458
18,14,32675.0,0.12866666666666665
17,12,33145.0,0.12776315789473686
14,13,33540.0,0.12883116883116882
15,16,34005.0,0.12807692307692306
13,16,34505.0,0.12645569620253164
14,15,35005.0,0.124875
15,17,35505.0,0.12333333333333336
17,16,36005.0,0.12182926829268295
17,16,36505.0,0.12036144578313253
18,15,36960.0,0.11999999999999997
18,14,37400.0,0.11999999999999997
17,12,37865.0,0.11941860465116279
19,12,38365.0,0.11804597701149425
19,13,38865.0,0.11670454545454548
17,14,39365.0,0.11539325842696628
18,14,39865.0,0.1141111111111111
17,14,40305.0,0.11417582417582414
14,13,40695.0,0.11532608695652176
12,10,41100.0,0.11612903225806448
8,13,41495.0,0.1171276595744681
6,16,41880.0,0.1183157894736842
8,19,42285.0,0.1190625
7,20,42785.0,0.11783505154639173
12,20,43285.0,0.11663265306122447
15,20,43785.0,0.11545454545454543
17,20,44285.0,0.1143
17,19,44785.0,0.11316831683168319
14,16,45175.0,0.1142156862745098
13,19,45590.0,0.11475728155339804
14,19,46030.0,0.1148076923076923
10,19,46530.0,0.11371428571428573
9,20,47030.0,0.11264150943396227
8,20,47530.0,0.11158878504672895
5,18,47910.0,0.1127777777777778
5,17,48290.0,0.11394495412844034
5,15,48640.0,0.11563636363636365
6,17,49070.0,0.11585585585585585
6,17,49570.0,0.11482142857142856
9,19,49960.0,0.11575221238938053
9,17,50380.0,0.11614035087719299
11,16,50880.0,0.11513043478260869
9,16,51380.0,0.11413793103448273
10,18,51880.0,0.11316239316239318
11,19,52380.0,0.11220338983050848
12,19,52860.0,0.11159663865546218
11,19,53260.0,0.11233333333333331
11,19,53710.0,0.1122314049586777
11,19,54105.0,0.11303278688524591
6,18,54580.0,0.11252032520325206
