N,L,score,idlePercent
20,0,0.0,1.0
20,0,0.0,1.0
20,0,0.0,1.0
20,0,0.0,1.0
20,0,0.0,1.0
20,0,0.0,1.0
20,0,0.0,1.0
20,0,25.0,0.9928571428571429
20,0,200.0,0.95
20,0,385.0,0.9144444444444446
20,0,555.0,0.889
20,0,875.0,0.8409090909090906
20,0,1225.0,0.7958333333333334
20,0,1555.0,0.7607692307692308
20,0,1915.0,0.7264285714285714
20,0,2245.0,0.7006666666666667
20,0,2605.0,0.674375
20,0,2975.0,0.65
20,0,3325.0,0.6305555555555555
20,0,3665.0,0.6142105263157894
20,0,4035.0,0.5965
20,0,4390.0,0.5819047619047619
20,0,4735.0,0.5695454545454545
20,0,5075.0,0.558695652173913
20,0,5410.0,0.5491666666666666
20,0,5765.0,0.5388000000000002
20,0,6095.0,0.5311538461538461
20,0,6420.0,0.5244444444444444
20,0,6780.0,0.5157142857142857
20,0,7130.0,0.5082758620689655
20,0,7495.0,0.5003333333333334
20,0,7890.0,0.4909677419354839
20,0,8290.0,0.48187500000000005
20,0,8735.0,0.4706060606060607
20,0,9200.0,0.45882352941176474
20,0,9650.0,0.4485714285714285
20,0,9960.0,0.44666666666666666
20,0,10295.0,0.4435135135135136
20,0,10645.0,0.4397368421052632
20,0,11000.0,0.4358974358974358
20,0,11315.0,0.4342499999999999
20,0,11490.0,0.43951219512195117
20,0,11630.0,0.4461904761904762
20,0,11795.0,0.4513953488372094
20,0,12085.0,0.4506818181818182
20,0,12430.0,0.44755555555555554
20,0,12765.0,0.44499999999999995
20,0,13105.0,0.44234042553191494
20,0,13440.0,0.43999999999999995
20,0,13780.0,0.4375510204081633
20,0,14115.0,0.4353999999999999
20,0,14430.0,0.4341176470588236
20,0,14805.0,0.4305769230769231
20,0,15175.0,0.4273584905660378
20,0,15535.0,0.4246296296296296
20,0,15880.0,0.42254545454545456
20,0,16230.0,0.4203571428571428
20,0,16565.0,0.41877192982456146
20,0,16930.0,0.41620689655172416
20,0,17340.0,0.41220338983050847
20,0,17800.0,0.40666666666666673
20,0,18260.0,0.40131147540983614
20,0,18645.0,0.3985483870967742
20,0,19080.0,0.3942857142857143
20,0,19580.0,0.38812500000000005
20,0,20080.0,0.3821538461538461
20,0,20580.0,0.37636363636363634
20,0,21080.0,0.37074626865671634
20,0,21580.0,0.3652941176470588
20,0,22080.0,0.36
20,0,22580.0,0.35485714285714287
20,0,23080.0,0.3498591549295775
20,0,23580.0,0.34500000000000003
20,0,24080.0,0.3402739726027398
20,0,24580.0,0.3356756756756757
20,0,25080.0,0.33120000000000005
20,0,25580.0,0.3268421052631579
20,0,26080.0,0.32259740259740266
20,0,26515.0,0.3201282051282051
20,0,27000.0,0.31645569620253167
20,0,27500.0,0.31250000000000006
20,0,28000.0,0.308641975308642
20,0,28500.0,0.30487804878048785
20,0,29000.0,0.30120481927710835
20,0,29500.0,0.2976190476190476
20,0,30000.0,0.2941176470588235
20,0,30500.0,0.2906976744186046
20,0,31000.0,0.28735632183908044
20,0,31500.0,0.2840909090909091
20,0,32000.0,0.28089887640449435
20,0,32500.0,0.27777777777777773
20,0,33000.0,0.27472527472527475
20,0,33500.0,0.2717391304347826
20,0,34000.0,0.2688172043010753
20,0,34500.0,0.2659574468085107
20,0,35000.0,0.2631578947368421
20,0,35500.0,0.26041666666666663
20,0,36000.0,0.2577319587628866
20,0,36405.0,0.25704081632653053
20,0,36850.0,0.25555555555555554
20,0,37295.0,0.25410000000000005
20,0,37760.0,0.25227722772277233
20,0,38050.0,0.253921568627451
20,0,38205.0,0.2581553398058253
20,0,38360.0,0.26230769230769235
20,0,38545.0,0.26580952380952383
20,0,38855.0,0.2668867924528302
20,0,39165.0,0.26794392523364485
20,0,39450.0,0.26944444444444443
20,0,39760.0,0.27045871559633033
20,0,40065.0,0.2715454545454545
20,0,40400.0,0.27207207207207207
20,0,40705.0,0.27312499999999995
20,0,41000.0,0.27433628318584075
20,0,41315.0,0.2751754385964913
20,0,41575.0,0.27695652173913043
20,0,41775.0,0.2797413793103448
20,0,42120.0,0.27999999999999997
20,0,42450.0,0.28050847457627115
20,0,42810.0,0.28050420168067225
20,0,43270.0,0.2788333333333334
20,0,43730.0,0.2771900826446281
20,0,44195.0,0.2754918032786885
20,0,44650.0,0.2739837398373984
20,0,45105.0,0.27249999999999996
20,0,45575.0,0.27080000000000004
20,0,46045.0,0.26912698412698416
20,0,46530.0,0.267244094488189
20,0,47030.0,0.26515625000000004
20,0,47530.0,0.26310077519379843
20,0,48030.0,0.2610769230769231
20,0,48530.0,0.2590839694656489
20,0,49030.0,0.2571212121212122
20,0,49530.0,0.25518796992481196
20,0,50030.0,0.25328358208955215
20,0,50530.0,0.25140740740740736
20,0,51030.0,0.2495588235294118
20,0,51530.0,0.24773722627737227
20,0,52030.0,0.24594202898550727
20,0,52530.0,0.24417266187050363
20,0,52960.0,0.2434285714285714
20,0,53415.0,0.2423404255319149
20,0,53875.0,0.2411971830985915
20,0,54340.0,0.23999999999999994
20,0,54795.0,0.23895833333333333
20,0,55240.0,0.23806896551724138
20,0,55705.0,0.23691780821917807
20,0,56185.0,0.23557823129251704
20,0,56650.0,0.23445945945945942
20,0,57120.0,0.2332885906040268
20,0,57590.0,0.23213333333333336
20,0,58045.0,0.23119205298013243
20,0,58385.0,0.2317763157894736
20,0,58765.0,0.2318300653594771
20,0,58985.0,0.23396103896103898
20,0,59130.0,0.23703225806451617
20,0,59280.0,0.24000000000000005
20,0,59440.0,0.24280254777070068
20,0,59640.0,0.24506329113924047
20,0,59970.0,0.2456603773584906
20,0,60300.0,0.24625
20,0,60510.0,0.24832298136645964
20,0,60675.0,0.25092592592592594
20,0,60825.0,0.253680981595092
20,0,60985.0,0.25628048780487805
20,0,61140.0,0.25890909090909087
20,0,61320.0,0.2612048192771085
20,0,61495.0,0.2635329341317365
20,0,61640.0,0.26619047619047614
20,0,61810.0,0.26852071005917166
20,0,62100.0,0.26941176470588235
20,0,62435.0,0.269766081871345
20,0,62860.0,0.26906976744186045
20,0,63290.0,0.2683236994219653
20,0,63780.0,0.26689655172413795
20,0,64255.0,0.2656571428571429
20,0,64700.0,0.26477272727272727
20,0,65175.0,0.2635593220338983
20,0,65615.0,0.262752808988764
20,0,66070.0,0.2617877094972067
20,0,66535.0,0.2607222222222222
20,0,67005.0,0.25961325966850823
20,0,67475.0,0.25851648351648354
20,0,67940.0,0.25748633879781413
20,0,68410.0,0.2564130434782609
20,0,68855.0,0.2556216216216216
20,0,69320.0,0.2546236559139785
20,0,69770.0,0.2537967914438503
20,0,70245.0,0.25271276595744674
20,0,70745.0,0.25137566137566136
20,0,71185.0,0.25068421052631573
20,0,71645.0,0.24979057591623038
20,0,72105.0,0.24890624999999997
20,0,72550.0,0.24818652849740933
20,0,72990.0,0.24752577319587626
20,0,73450.0,0.24666666666666667
20,0,73905.0,0.24586734693877546
20,0,74335.0,0.2453299492385787
20,0,74795.0,0.24449494949494954
20,0,75255.0,0.2436683417085427
20,0,75740.0,0.24260000000000007
20,0,76200.0,0.24179104477611943
20,0,76645.0,0.2411386138613861
20,0,77010.0,0.24128078817733986
20,0,77395.0,0.24122549019607842
20,0,77695.0,0.24200000000000005
20,0,78055.0,0.2421844660194175
20,0,78410.0,0.24241545893719807
20,0,78785.0,0.24245192307692304
20,0,79145.0,0.24263157894736845
20,0,79515.0,0.24271428571428574
20,0,79865.0,0.2429857819905213
20,0,80300.0,0.2424528301886793
20,0,80745.0,0.24183098591549293
20,0,81200.0,0.2411214953271028
20,0,81700.0,0.24
20,0,82195.0,0.23893518518518517
20,0,82695.0,0.23783410138248842
20,0,83185.0,0.2368348623853211
20,0,83660.0,0.23598173515981732
20,0,84135.0,0.23513636363636362
20,0,84610.0,0.23429864253393667
20,0,85085.0,0.23346846846846847
20,0,85505.0,0.23313901345291477
20,0,85960.0,0.23249999999999998
20,0,86415.0,0.23186666666666667
20,0,86900.0,0.23097345132743366
20,0,87380.0,0.23013215859030836
20,0,87870.0,0.22921052631578953
20,0,88335.0,0.22851528384279476
20,0,88805.0,0.22778260869565212
20,0,89265.0,0.22714285714285715
20,0,89720.0,0.22655172413793107
20,0,90180.0,0.22592274678111587
20,0,90655.0,0.22517094017094022
20,0,91135.0,0.22438297872340426
20,0,91605.0,0.2236864406779661
20,0,91985.0,0.22375527426160335
20,0,92385.0,0.223655462184874
20,0,92750.0,0.22384937238493716
20,0,93070.0,0.22441666666666665
20,0,93405.0,0.22485477178423235
20,0,93725.0,0.22541322314049594
20,0,94080.0,0.22567901234567905
20,0,94400.0,0.22622950819672133
20,0,94725.0,0.2267346938775511
20,0,94875.0,0.22865853658536586
