N,L,score,idlePercent
0,0,0.0,1.0
0,1,180.0,0.6399999999999999
0,0,555.0,0.44499999999999995
0,0,1005.0,0.33000000000000007
1,0,1505.0,0.24749999999999997
2,1,1910.0,0.23600000000000004
5,3,2410.0,0.19666666666666668
5,2,2885.0,0.17571428571428566
8,2,3385.0,0.15375
9,2,3805.0,0.15444444444444444
10,1,4110.0,0.17800000000000005
14,3,4550.0,0.17272727272727273
13,4,5040.0,0.15999999999999998
8,5,5535.0,0.14846153846153848
7,8,6025.0,0.13928571428571432
8,6,6480.0,0.13599999999999998
7,7,6890.0,0.13875
11,4,7265.0,0.14529411764705885
8,4,7530.0,0.16333333333333333
10,7,7905.0,0.16789473684210526
8,7,8405.0,0.15950000000000003
11,9,8860.0,0.15619047619047616
7,7,9360.0,0.1490909090909091
10,8,9805.0,0.1473913043478261
11,12,10155.0,0.15375
13,16,10655.0,0.1476
15,18,11085.0,0.1473076923076923
17,16,11480.0,0.1496296296296296
16,16,11865.0,0.1525
14,19,12365.0,0.1472413793103448
17,20,12865.0,0.14233333333333334
19,20,13300.0,0.14193548387096774
19,20,13635.0,0.1478125
19,20,13995.0,0.15181818181818182
16,19,14480.0,0.14823529411764705
16,18,14915.0,0.14771428571428571
16,15,15280.0,0.1511111111111111
17,13,15655.0,0.15378378378378382
17,13,15975.0,0.15921052631578947
15,12,16410.0,0.15846153846153846
18,10,16885.0,0.15575
17,9,17365.0,0.15292682926829274
19,12,17815.0,0.15166666666666667
19,14,18310.0,0.14837209302325582
19,10,18745.0,0.14795454545454545
18,11,19165.0,0.14822222222222223
18,12,19610.0,0.1473913043478261
16,10,20095.0,0.14489361702127662
17,13,20560.0,0.14333333333333337
17,14,21040.0,0.1412244897959184
17,12,21540.0,0.13840000000000002
17,10,22020.0,0.13647058823529412
16,11,22470.0,0.13576923076923073
18,13,22845.0,0.1379245283018868
18,11,23300.0,0.137037037037037
16,9,23750.0,0.13636363636363635
19,9,24250.0,0.1339285714285714
19,11,24650.0,0.13508771929824565
18,12,25055.0,0.13603448275862068
16,12,25505.0,0.13542372881355932
18,12,26005.0,0.13316666666666668
19,15,26455.0,0.13262295081967215
19,14,26920.0,0.13161290322580643
18,13,27175.0,0.13730158730158729
17,13,27640.0,0.13625
19,13,28135.0,0.1343076923076923
19,13,28630.0,0.13242424242424244
16,14,29130.0,0.13044776119402984
16,12,29630.0,0.12852941176470586
13,10,30115.0,0.12710144927536232
12,12,30485.0,0.12900000000000003
11,13,30775.0,0.13309859154929574
10,11,31240.0,0.13222222222222219
8,14,31740.0,0.13041095890410961
9,13,32235.0,0.1287837837837838
6,16,32515.0,0.1329333333333333
8,16,32830.0,0.13605263157894737
12,14,33210.0,0.13740259740259736
16,9,33710.0,0.1356410256410256
13,10,34125.0,0.13607594936708858
11,11,34560.0,0.136
13,10,35050.0,0.1345679012345679
12,12,35495.0,0.13426829268292687
12,15,35955.0,0.1336144578313253
8,17,36425.0,0.1327380952380952
12,16,36925.0,0.1311764705882353
8,17,37320.0,0.1320930232558139
12,18,37630.0,0.1349425287356322
14,19,37940.0,0.13772727272727275
15,19,38440.0,0.13617977528089886
12,19,38940.0,0.13466666666666668
9,20,39365.0,0.1348351648351648
9,20,39770.0,0.13543478260869563
10,20,40270.0,0.1339784946236559
13,19,40770.0,0.13255319148936168
12,20,41235.0,0.13189473684210526
12,20,41645.0,0.13239583333333335
10,19,41870.0,0.136701030927835
10,20,42255.0,0.13765306122448978
12,19,42640.0,0.13858585858585856
7,19,43080.0,0.1384
10,18,43515.0,0.13831683168316836
15,18,43840.0,0.14039215686274503
13,15,44240.0,0.14097087378640777
14,14,44680.0,0.14076923076923073
11,15,45165.0,0.1397142857142857
8,17,45660.0,0.13849056603773585
6,18,46060.0,0.13906542056074764
4,17,46525.0,0.1384259259259259
4,19,46990.0,0.13779816513761473
5,19,47475.0,0.1368181818181818
3,20,47975.0,0.1355855855855856
4,18,48445.0,0.13491071428571427
3,18,48805.0,0.13619469026548675
3,18,49240.0,0.13614035087719295
3,18,49645.0,0.1366086956521739
2,17,50145.0,0.13543103448275864
4,17,50625.0,0.13461538461538458
3,15,51030.0,0.13508474576271187
2,12,51395.0,0.13621848739495795
1,12,51895.0,0.13508333333333333
1,12,52395.0,0.13396694214876034
2,9,52870.0,0.13327868852459016
4,11,53285.0,0.13357723577235772
4,15,53765.0,0.13282258064516128
5,10,54265.0,0.13176000000000002
4,8,54750.0,0.13095238095238093
8,2,55030.0,0.13338582677165353
7,3,55420.0,0.13406250000000003
8,2,55920.0,0.13302325581395347
6,3,56420.0,0.132
7,4,56815.0,0.13259541984732823
8,7,57225.0,0.13295454545454546
7,7,57605.0,0.1337593984962406
7,7,57985.0,0.13455223880597017
9,8,58385.0,0.135037037037037
7,6,58785.0,0.1355147058823529
9,7,59260.0,0.13489051094890508
7,5,59760.0,0.13391304347826086
8,8,60245.0,0.1331654676258993
7,7,60690.0,0.133
5,3,61010.0,0.1346099290780142
4,3,61400.0,0.1352112676056338
2,1,61855.0,0.1348951048951049
1,1,62355.0,0.13395833333333332
1,3,62815.0,0.13358620689655173
2,2,63180.0,0.13452054794520546
7,2,63540.0,0.13551020408163267
5,2,64040.0,0.1345945945945946
5,2,64480.0,0.134496644295302
9,1,64980.0,0.1336
7,1,65355.0,0.13437086092715234
6,2,65710.0,0.13539473684210526
9,3,66195.0,0.13470588235294115
13,6,66695.0,0.13383116883116886
10,8,67145.0,0.13361290322580646
10,8,67555.0,0.1339102564102564
9,11,67940.0,0.13452229299363058
15,7,68440.0,0.13367088607594935
16,4,68885.0,0.13352201257861634
15,6,69340.0,0.13325
13,9,69755.0,0.1334782608695652
16,9,70095.0,0.13462962962962963
15,10,70570.0,0.13411042944785276
17,11,71025.0,0.13384146341463415
18,11,71445.0,0.134
18,8,71935.0,0.13331325301204822
18,10,72360.0,0.13341317365269462
17,12,72855.0,0.1326785714285714
16,11,73350.0,0.1319526627218935
16,10,73745.0,0.1324117647058823
16,7,74090.0,0.13345029239766082
15,5,74530.0,0.13337209302325584
16,3,75030.0,0.13260115606936412
15,5,75530.0,0.1318390804597701
14,7,75930.0,0.13222857142857142
13,10,76255.0,0.1334659090909091
11,8,76755.0,0.13271186440677968
9,11,77255.0,0.13196629213483146
15,8,77740.0,0.13139664804469275
15,6,78000.0,0.13333333333333336
14,4,78285.0,0.13497237569060777
15,7,78785.0,0.1342307692307692
17,6,79285.0,0.13349726775956286
16,8,79770.0,0.13293478260869568
17,5,80140.0,0.1336216216216216
20,4,80490.0,0.13451612903225807
19,10,80990.0,0.13379679144385026
19,11,81465.0,0.1333510638297872
19,11,81890.0,0.13343915343915347
19,10,82390.0,0.13273684210526318
18,5,82805.0,0.13293193717277488
17,5,83265.0,0.13265624999999998
18,8,83645.0,0.13321243523316065
14,8,84110.0,0.1328865979381443
11,7,84550.0,0.13282051282051283
11,5,85015.0,0.1325
15,6,85455.0,0.13243654822335027
11,6,85930.0,0.132020202020202
11,9,86380.0,0.13185929648241207
9,9,86840.0,0.1316
10,9,87340.0,0.13094527363184078
10,10,87775.0,0.130940594059406
10,13,88180.0,0.13123152709359603
11,14,88560.0,0.13176470588235292
8,13,89050.0,0.131219512195122
9,14,89525.0,0.1308252427184466
10,11,89905.0,0.1313526570048309
14,16,90240.0,0.1323076923076923
18,17,90580.0,0.13320574162679424
18,19,90995.0,0.13338095238095238
16,20,91495.0,0.1327488151658768
18,20,91965.0,0.1324056603773585
19,19,92465.0,0.13178403755868542
16,16,92865.0,0.13210280373831773
16,13,93340.0,0.13172093023255815
14,9,93730.0,0.13212962962962965
12,12,94210.0,0.13170506912442398
13,10,94660.0,0.13155963302752297
11,10,95025.0,0.1321917808219178
9,11,95410.0,0.13263636363636364
9,12,95910.0,0.1320361990950226
10,8,96410.0,0.13144144144144143
9,8,96805.0,0.1317937219730942
10,8,97200.0,0.13214285714285715
