N,L,score,idlePercent
0,0,0.0,1.0
0,0,55.0,0.8900000000000002
0,0,330.0,0.67
0,0,805.0,0.4633333333333334
1,0,1305.0,0.34750000000000003
1,1,1755.0,0.2980000000000001
2,1,2060.0,0.31333333333333324
3,4,2500.0,0.2857142857142857
0,2,3000.0,0.25
0,0,3500.0,0.22222222222222224
1,0,3900.0,0.22000000000000003
1,0,4375.0,0.20454545454545453
1,1,4750.0,0.20833333333333334
0,3,5125.0,0.2115384615384615
0,4,5505.0,0.21357142857142858
0,2,5825.0,0.22333333333333338
0,0,6200.0,0.22500000000000003
1,0,6700.0,0.21176470588235294
2,1,7175.0,0.20277777777777778
1,1,7665.0,0.1931578947368421
1,1,8165.0,0.1835
0,2,8650.0,0.1761904761904762
1,2,9150.0,0.16818181818181815
0,1,9485.0,0.1752173913043478
1,1,9875.0,0.17708333333333331
1,2,10335.0,0.17320000000000002
3,2,10835.0,0.16653846153846158
8,3,11280.0,0.16444444444444445
7,2,11780.0,0.15857142857142853
8,0,12135.0,0.1631034482758621
7,0,12635.0,0.15766666666666665
3,0,13035.0,0.1590322580645161
3,1,13485.0,0.15718749999999998
7,2,13965.0,0.15363636363636365
7,3,14435.0,0.15088235294117647
7,4,14900.0,0.14857142857142852
7,4,15235.0,0.1536111111111111
6,4,15590.0,0.1572972972972973
6,5,16000.0,0.15789473684210525
9,6,16460.0,0.1558974358974359
8,1,16945.0,0.15275
3,1,17360.0,0.1531707317073171
4,2,17685.0,0.15785714285714286
3,4,18085.0,0.1588372093023256
4,3,18585.0,0.15522727272727277
2,4,19065.0,0.15266666666666664
1,4,19480.0,0.15304347826086961
0,1,19725.0,0.1606382978723404
0,0,20200.0,0.15833333333333333
1,0,20700.0,0.15510204081632653
2,0,21125.0,0.15500000000000005
6,1,21510.0,0.1564705882352941
6,2,21955.0,0.15557692307692308
10,2,22455.0,0.1526415094339623
14,2,22955.0,0.1498148148148148
15,3,23400.0,0.14909090909090914
12,6,23705.0,0.15339285714285716
12,4,24180.0,0.1515789473684211
10,7,24680.0,0.14896551724137932
9,6,25180.0,0.1464406779661017
14,3,25520.0,0.14933333333333337
12,4,25900.0,0.15081967213114753
6,8,26400.0,0.14838709677419354
5,11,26900.0,0.146031746031746
5,13,27295.0,0.14703125
6,13,27620.0,0.15015384615384617
7,13,28000.0,0.15151515151515152
6,11,28445.0,0.15089552238805973
6,11,28940.0,0.14882352941176472
4,13,29385.0,0.1482608695652174
5,14,29810.0,0.14828571428571427
8,10,30215.0,0.1488732394366197
8,10,30715.0,0.14680555555555558
10,11,31140.0,0.14684931506849314
9,12,31615.0,0.14554054054054053
11,12,32115.0,0.1436
13,15,32615.0,0.14171052631578948
13,16,32870.0,0.14623376623376622
12,13,33155.0,0.14987179487179486
14,14,33595.0,0.14949367088607596
14,15,34095.0,0.14762499999999998
14,18,34595.0,0.14580246913580247
11,16,35065.0,0.14475609756097566
13,18,35355.0,0.1480722891566265
13,17,35855.0,0.14630952380952378
11,15,36335.0,0.14505882352941174
16,17,36805.0,0.14406976744186045
16,18,37220.0,0.14436781609195404
19,19,37630.0,0.14477272727272728
19,19,38105.0,0.1437078651685393
18,18,38585.0,0.14255555555555557
19,19,39045.0,0.14186813186813185
19,20,39545.0,0.14032608695652174
18,20,40045.0,0.1388172043010753
18,18,40510.0,0.1380851063829787
18,19,40845.0,0.14010526315789473
19,19,41250.0,0.14062499999999997
20,19,41715.0,0.1398969072164948
19,18,42205.0,0.1386734693877551
18,17,42670.0,0.13797979797979798
17,17,43070.0,0.1386
15,13,43570.0,0.1372277227722773
13,12,44070.0,0.13588235294117643
16,10,44495.0,0.13601941747572815
12,10,44960.0,0.13538461538461535
13,12,45435.0,0.1345714285714286
14,10,45935.0,0.13330188679245283
10,12,46350.0,0.13364485981308416
12,15,46700.0,0.13518518518518519
15,14,47110.0,0.13559633027522938
13,13,47610.0,0.13436363636363638
11,14,48045.0,0.13432432432432434
12,10,48535.0,0.13330357142857144
6,15,49035.0,0.13212389380530973
2,19,49515.0,0.13131578947368422
4,17,50015.0,0.13017391304347828
7,15,50345.0,0.13198275862068964
6,14,50690.0,0.13350427350427346
9,11,51160.0,0.13288135593220343
7,12,51660.0,0.13176470588235292
9,10,52155.0,0.13074999999999998
10,10,52565.0,0.13115702479338842
6,15,52940.0,0.13213114754098365
5,17,53225.0,0.13455284552845528
6,16,53535.0,0.13653225806451613
5,17,53835.0,0.13864
4,18,54335.0,0.13753968253968255
1,19,54835.0,0.13645669291338583
1,17,55315.0,0.135703125
0,18,55755.0,0.1355813953488372
1,17,56085.0,0.13715384615384613
0,17,56430.0,0.1384732824427481
0,16,56760.0,0.14
2,17,57195.0,0.1399248120300752
2,17,57670.0,0.13925373134328356
1,18,58105.0,0.1391851851851852
0,18,58600.0,0.13823529411764704
1,20,59025.0,0.1383211678832117
2,20,59525.0,0.1373188405797101
3,19,59955.0,0.1373381294964029
3,19,60375.0,0.1375
3,15,60735.0,0.13851063829787233
2,14,61225.0,0.13767605633802818
5,17,61725.0,0.1367132867132867
7,20,62200.0,0.13611111111111113
8,20,62575.0,0.13689655172413792
10,20,63075.0,0.13595890410958905
10,20,63505.0,0.13598639455782313
9,20,64000.0,0.13513513513513514
12,19,64415.0,0.13536912751677854
10,17,64785.0,0.13619999999999996
10,17,65260.0,0.13562913907284768
9,15,65740.0,0.135
11,14,66240.0,0.1341176470588235
12,14,66700.0,0.13376623376623376
10,15,67115.0,0.134
11,13,67465.0,0.13506410256410256
12,13,67885.0,0.13522292993630575
14,14,68295.0,0.13550632911392402
15,14,68675.0,0.13616352201257864
18,12,69055.0,0.13681249999999995
19,13,69555.0,0.13596273291925465
17,17,69995.0,0.13586419753086423
18,15,70465.0,0.13539877300613495
18,15,70965.0,0.13457317073170733
16,14,71315.0,0.13557575757575757
14,16,71720.0,0.13590361445783133
14,18,72175.0,0.13562874251497006
14,18,72675.0,0.13482142857142856
13,17,73175.0,0.13402366863905327
12,15,73430.0,0.1361176470588235
12,15,73865.0,0.1360818713450292
12,15,74360.0,0.13534883720930233
15,15,74860.0,0.1345664739884393
14,14,75235.0,0.13522988505747124
11,11,75555.0,0.1365142857142857
10,7,75890.0,0.13761363636363638
8,7,76305.0,0.13779661016949155
10,9,76740.0,0.13775280898876405
12,10,77240.0,0.1369832402234637
9,10,77725.0,0.1363888888888889
11,11,78100.0,0.13701657458563538
10,12,78480.0,0.13758241758241757
11,12,78925.0,0.137431693989071
11,12,79410.0,0.13684782608695656
11,14,79910.0,0.13610810810810808
12,12,80395.0,0.13553763440860211
12,12,80895.0,0.13481283422459894
11,10,81390.0,0.13414893617021278
12,12,81790.0,0.1344973544973545
9,9,82290.0,0.1337894736842105
6,7,82615.0,0.1349214659685864
7,9,83030.0,0.13510416666666666
6,10,83470.0,0.13502590673575127
5,10,83855.0,0.13551546391752572
7,10,84350.0,0.13487179487179485
5,9,84850.0,0.13418367346938773
5,12,85300.0,0.13401015228426394
9,10,85695.0,0.1343939393939394
10,10,86075.0,0.1349246231155779
8,5,86535.0,0.13465
10,7,87015.0,0.13417910447761194
10,7,87470.0,0.133960396039604
7,9,87870.0,0.13428571428571429
4,14,88305.0,0.1342647058823529
2,18,88790.0,0.13375609756097567
2,19,89290.0,0.13310679611650483
2,17,89715.0,0.13318840579710148
3,17,90075.0,0.13389423076923077
2,17,90370.0,0.13521531100478473
4,16,90850.0,0.13476190476190475
4,16,91345.0,0.1341706161137441
6,14,91760.0,0.13433962264150945
6,12,92150.0,0.13474178403755868
8,8,92650.0,0.13411214953271028
5,9,93080.0,0.13413953488372093
7,6,93575.0,0.13356481481481483
2,5,93975.0,0.1338709677419355
2,7,94475.0,0.13325688073394495
2,6,94965.0,0.13273972602739728
4,8,95445.0,0.13231818181818183
3,9,95750.0,0.13348416289592757
4,10,96150.0,0.1337837837837838
4,9,96650.0,0.13318385650224213
5,9,97095.0,0.13308035714285713
4,6,97385.0,0.13435555555555553
4,9,97650.0,0.13584070796460176
9,9,97945.0,0.13704845814977976
10,10,98445.0,0.13644736842105262
13,14,98945.0,0.13585152838427944
10,12,99315.0,0.13639130434782612
11,14,99800.0,0.13593073593073593
9,12,100190.0,0.1362931034482759
5,11,100690.0,0.13570815450643775
8,11,101075.0,0.13611111111111107
7,10,101440.0,0.1366808510638298
7,11,101650.0,0.1385593220338983
4,11,101910.0,0.13999999999999999
9,14,102385.0,0.13962184873949574
15,14,102855.0,0.13928870292887027
15,14,103245.0,0.139625
16,14,103595.0,0.1402904564315352
16,13,103915.0,0.14119834710743803
13,13,104415.0,0.1406172839506173
17,8,104815.0,0.1408606557377049
18,7,105310.0,0.14032653061224493
18,8,105720.0,0.1404878048780488
18,8,106140.0,0.1405668016194332
19,11,106640.0,0.14
18,12,107125.0,0.13955823293172692
19,12,107555.0,0.13956000000000002
20,15,107950.0,0.1398406374501992
19,16,108415.0,0.139563492063492
19,16,108895.0,0.1391699604743083
19,13,109320.0,0.13921259842519684
18,9,109755.0,0.1391764705882353
19,11,110230.0,0.13882812499999997
20,10,110610.0,0.13922178988326844
20,13,110995.0,0.13957364341085268
20,11,111410.0,0.13969111969111966
18,13,111910.0,0.13915384615384616
20,14,112410.0,0.1386206896551724
20,15,112830.0,0.1387022900763359
19,15,113235.0,0.1388973384030418
18,15,113735.0,0.13837121212121214
18,17,114230.0,0.13788679245283017
17,14,114660.0,0.1378947368421053
17,14,115070.0,0.13805243445692886
15,12,115340.0,0.1392537313432836
18,11,115720.0,0.1396282527881041
18,8,116115.0,0.1398888888888889
18,7,116590.0,0.13955719557195573
20,4,117005.0,0.13966911764705883
20,4,117480.0,0.13934065934065928
19,3,117955.0,0.13901459854014603
18,3,118390.0,0.13898181818181815
16,4,118780.0,0.13927536231884058
17,3,119245.0,0.1390252707581227
17,3,119685.0,0.13895683453237412
19,1,120135.0,0.13881720430107528
20,0,120600.0,0.1385714285714286
20,0,120900.0,0.1395017793594306
19,0,121245.0,0.1401063829787234
18,0,121705.0,0.1398939929328622
18,2,122205.0,0.1394014084507042
19,3,122645.0,0.13933333333333336
18,4,122990.0,0.13993006993006996
16,5,123460.0,0.13965156794425085
16,5,123960.0,0.13916666666666666
15,6,124460.0,0.13868512110726644
17,5,124920.0,0.13848275862068965
17,3,125305.0,0.1387972508591065
17,5,125705.0,0.1390068493150685
14,1,126165.0,0.13880546075085323
16,0,126570.0,0.1389795918367347
15,2,126955.0,0.13928813559322037
16,2,127340.0,0.13959459459459456
12,5,127810.0,0.13932659932659935
13,10,128310.0,0.13885906040268453
14,13,128740.0,0.13886287625418062
14,13,129215.0,0.13856666666666667
11,10,129600.0,0.1388704318936877
12,10,129910.0,0.13966887417218543
14,11,130230.0,0.14039603960396038
14,9,130685.0,0.14023026315789472
15,12,131185.0,0.13977049180327872
15,14,131615.0,0.13977124183006534
19,10,131950.0,0.1403908794788274
19,10,132400.0,0.14025974025974025
19,8,132900.0,0.13980582524271842
20,10,133400.0,0.1393548387096774
20,9,133815.0,0.13945337620578777
20,9,134255.0,0.13939102564102562
19,12,134710.0,0.1392332268370607
19,12,135210.0,0.1387898089171975
20,16,135670.0,0.1386031746031746
18,18,136025.0,0.13908227848101262
18,15,136455.0,0.13908517350157726
17,16,136955.0,0.13864779874213837
16,16,137455.0,0.1382131661442006
15,17,137920.0,0.13800000000000004
13,16,138390.0,0.13775700934579438
10,13,138880.0,0.13739130434782607
