N,L,score,idlePercent
0,0,0.0,1.0
0,1,0.0,1.0
0,1,0.0,1.0
0,0,100.0,0.9333333333333332
0,0,225.0,0.8875000000000002
0,1,350.0,0.86
1,0,475.0,0.8416666666666668
0,1,600.0,0.8285714285714286
0,0,725.0,0.81875
1,0,850.0,0.8111111111111111
0,0,975.0,0.805
0,0,1100.0,0.7999999999999999
1,1,1330.0,0.7783333333333334
1,1,1585.0,0.7561538461538462
0,0,1835.0,0.7378571428571429
1,0,2095.0,0.7206666666666666
1,0,2350.0,0.7062499999999998
0,1,2600.0,0.6941176470588235
0,1,2850.0,0.6833333333333332
0,1,3100.0,0.6736842105263159
1,2,3350.0,0.6649999999999999
0,0,3600.0,0.657142857142857
0,0,3850.0,0.65
1,1,4150.0,0.6391304347826087
1,0,4540.0,0.6216666666666667
0,1,4920.0,0.6064
0,0,5295.0,0.5926923076923077
1,1,5680.0,0.5792592592592593
1,0,6055.0,0.5675000000000001
0,0,6430.0,0.5565517241379311
0,1,6805.0,0.5463333333333333
0,3,7180.0,0.5367741935483872
0,3,7555.0,0.5278124999999999
0,6,8030.0,0.5133333333333333
0,6,8530.0,0.49823529411764705
2,9,9030.0,0.4840000000000001
6,8,9530.0,0.47055555555555556
5,6,10030.0,0.4578378378378378
9,4,10530.0,0.4457894736842105
8,6,11030.0,0.4343589743589743
10,6,11530.0,0.42349999999999993
7,8,12030.0,0.4131707317073171
3,10,12530.0,0.4033333333333333
3,11,12960.0,0.3972093023255813
4,10,13345.0,0.3934090909090909
5,6,13740.0,0.3893333333333333
6,10,14125.0,0.3858695652173913
4,10,14500.0,0.3829787234042554
7,10,14890.0,0.3795833333333333
6,7,15300.0,0.37551020408163266
4,5,15690.0,0.37240000000000006
4,5,16115.0,0.3680392156862745
6,7,16515.0,0.36480769230769233
6,9,16895.0,0.3624528301886793
7,11,17295.0,0.3594444444444445
5,9,17690.0,0.35672727272727284
8,8,18100.0,0.3535714285714286
10,8,18540.0,0.34947368421052627
11,6,19040.0,0.34344827586206905
11,4,19540.0,0.33762711864406775
13,4,20040.0,0.33199999999999996
14,5,20540.0,0.32655737704918025
13,7,20940.0,0.324516129032258
14,6,21355.0,0.32206349206349205
10,4,21780.0,0.319375
12,6,22230.0,0.316
11,4,22685.0,0.3125757575757576
11,2,23095.0,0.31059701492537317
