N,L,score,idlePercent
0,0,0.0,1.0
0,1,95.0,0.8099999999999999
0,1,445.0,0.5549999999999999
0,1,820.0,0.4533333333333333
0,1,1245.0,0.37750000000000006
0,3,1745.0,0.30200000000000005
0,3,2245.0,0.25166666666666665
1,2,2745.0,0.21571428571428566
0,3,3245.0,0.18875000000000003
1,4,3745.0,0.16777777777777778
1,2,4245.0,0.15100000000000002
1,4,4745.0,0.1372727272727272
3,4,5245.0,0.12583333333333332
3,5,5745.0,0.11615384615384614
4,6,6245.0,0.10785714285714283
4,8,6745.0,0.10066666666666665
5,9,7245.0,0.09437500000000001
1,8,7745.0,0.0888235294117647
3,6,8245.0,0.08388888888888889
3,4,8745.0,0.0794736842105263
2,2,9245.0,0.07550000000000001
3,2,9745.0,0.07190476190476192
3,2,10245.0,0.0686363636363636
2,0,10745.0,0.06565217391304347
2,0,11245.0,0.06291666666666666
2,0,11720.0,0.0624
2,1,12215.0,0.060384615384615384
4,0,12715.0,0.058148148148148136
1,0,13215.0,0.056071428571428564
1,0,13715.0,0.05413793103448276
3,0,14215.0,0.05233333333333333
2,0,14715.0,0.05064516129032257
4,0,15215.0,0.0490625
3,1,15715.0,0.04757575757575758
0,2,16215.0,0.04617647058823529
1,2,16715.0,0.04485714285714286
0,5,17215.0,0.043611111111111114
1,4,17715.0,0.04243243243243243
2,5,18215.0,0.0413157894736842
1,3,18715.0,0.04025641025641026
3,6,19215.0,0.03925
1,5,19715.0,0.038292682926829275
0,6,20015.0,0.0469047619047619
1,7,20270.0,0.0572093023255814
4,6,20430.0,0.07136363636363635
5,5,20690.0,0.08044444444444444
4,5,20950.0,0.08913043478260868
6,5,21215.0,0.09723404255319149
8,6,21485.0,0.10479166666666666
7,6,21770.0,0.11142857142857146
8,7,22060.0,0.11760000000000001
8,8,22330.0,0.12431372549019608
10,11,22595.0,0.1309615384615385
10,11,22865.0,0.13716981132075473
10,12,23190.0,0.14111111111111113
7,12,23595.0,0.14199999999999996
7,11,24005.0,0.14267857142857143
7,9,24505.0,0.14017543859649123
3,8,25005.0,0.13775862068965516
0,7,25500.0,0.13559322033898305
1,6,26000.0,0.13333333333333336
1,9,26500.0,0.13114754098360654
2,6,27000.0,0.12903225806451613
1,10,27500.0,0.12698412698412698
2,12,28000.0,0.12499999999999997
4,10,28500.0,0.12307692307692308
3,10,29000.0,0.12121212121212119
4,9,29500.0,0.11940298507462685
3,6,30000.0,0.11764705882352941
3,2,30500.0,0.11594202898550723
4,6,31000.0,0.11428571428571428
3,6,31500.0,0.11267605633802817
3,6,32000.0,0.11111111111111112
3,6,32500.0,0.1095890410958904
7,9,33000.0,0.10810810810810811
6,10,33500.0,0.10666666666666666
6,11,34000.0,0.10526315789473686
8,11,34500.0,0.1038961038961039
8,8,35000.0,0.10256410256410257
8,11,35475.0,0.1018987341772152
11,13,35875.0,0.103125
13,13,36295.0,0.10382716049382716
13,13,36745.0,0.10378048780487806
13,10,37180.0,0.10409638554216868
11,7,37585.0,0.10511904761904763
8,5,38000.0,0.10588235294117647
5,2,38300.0,0.10930232558139534
6,0,38570.0,0.11333333333333331
4,1,38845.0,0.11715909090909093
4,1,39090.0,0.12157303370786518
5,1,39215.0,0.1285555555555556
7,1,39340.0,0.13538461538461538
6,1,39465.0,0.14206521739130432
9,1,39605.0,0.14827956989247312
12,2,39730.0,0.15468085106382984
13,4,39865.0,0.16073684210526315
11,3,40000.0,0.16666666666666669
10,2,40050.0,0.17422680412371128
7,2,40185.0,0.1798979591836735
7,5,40345.0,0.18494949494949497
6,4,40480.0,0.1904
5,4,40605.0,0.19594059405940598
8,6,40740.0,0.2011764705882353
6,6,41020.0,0.20349514563106794
7,7,41290.0,0.20596153846153845
8,6,41585.0,0.2079047619047619
8,8,41885.0,0.20971698113207546
7,8,42165.0,0.21186915887850472
9,7,42480.0,0.21333333333333337
9,6,42760.0,0.21541284403669728
9,4,43070.0,0.21690909090909088
11,5,43435.0,0.21738738738738742
10,3,43840.0,0.21714285714285717
10,8,44240.0,0.21699115044247788
8,9,44630.0,0.21701754385964916
5,15,45005.0,0.21730434782608693
7,16,45405.0,0.2171551724137931
8,16,45905.0,0.2152991452991453
10,14,46405.0,0.21347457627118643
12,13,46905.0,0.21168067226890752
9,14,47405.0,0.2099166666666667
11,12,47905.0,0.20818181818181816
12,11,48405.0,0.20647540983606558
10,11,48905.0,0.20479674796747965
16,8,49405.0,0.20314516129032262
14,8,49905.0,0.20151999999999998
15,7,50405.0,0.1999206349206349
13,8,50905.0,0.1983464566929134
13,8,51405.0,0.19679687499999998
9,11,51905.0,0.19527131782945734
7,12,52405.0,0.19376923076923078
7,15,52905.0,0.19229007633587786
7,16,53405.0,0.19083333333333333
2,13,53905.0,0.1893984962406015
3,14,54300.0,0.18955223880597014
4,14,54675.0,0.19
3,13,55050.0,0.19044117647058822
5,16,55430.0,0.1908029197080292
6,16,55835.0,0.19079710144927536
6,18,56145.0,0.192158273381295
6,16,56410.0,0.19414285714285717
11,17,56690.0,0.19588652482269503
9,14,56955.0,0.1978169014084507
10,12,57265.0,0.19909090909090907
8,10,57565.0,0.2004861111111111
5,7,57845.0,0.20213793103448277
8,6,58145.0,0.20349315068493148
8,4,58530.0,0.2036734693877551
9,2,58915.0,0.20385135135135135
7,4,59295.0,0.2040939597315436
7,5,59690.0,0.20413333333333336
8,6,60000.0,0.2052980132450331
7,6,60275.0,0.20690789473684207
7,5,60530.0,0.20875816993464053
9,5,60795.0,0.2104545454545454
5,3,61055.0,0.21219354838709684
3,3,61240.0,0.21487179487179492
7,6,61400.0,0.2178343949044586
7,4,61555.0,0.2208227848101266
8,3,61710.0,0.2237735849056604
11,3,61895.0,0.22631249999999997
13,3,62060.0,0.22906832298136642
16,5,62240.0,0.23160493827160492
18,6,62430.0,0.2339877300613497
18,8,62585.0,0.2367682926829268
20,9,62745.0,0.23945454545454542
19,7,62940.0,0.24168674698795184
16,12,63115.0,0.2441317365269461
15,17,63300.0,0.24642857142857139
16,14,63455.0,0.2490532544378698
17,13,63630.0,0.2514117647058824
15,13,63780.0,0.2540350877192983
18,10,63930.0,0.2566279069767442
17,11,64100.0,0.2589595375722543
18,12,64265.0,0.26132183908045975
17,11,64480.0,0.2630857142857143
17,11,64785.0,0.26380681818181817
16,14,65125.0,0.2641242937853107
15,16,65460.0,0.2644943820224719
15,14,65830.0,0.26446927374301676
16,10,66175.0,0.2647222222222223
16,9,66510.0,0.2650828729281768
14,11,66850.0,0.26538461538461533
10,14,67150.0,0.26612021857923496
7,14,67425.0,0.2671195652173913
7,16,67760.0,0.2674594594594595
7,15,68145.0,0.26725806451612905
3,18,68520.0,0.2671657754010695
5,20,68910.0,0.2669148936170213
4,20,69300.0,0.2666666666666667
2,19,69685.0,0.2664736842105263
3,16,70055.0,0.2664397905759162
2,17,70450.0,0.26614583333333325
0,15,70830.0,0.26601036269430056
0,16,71195.0,0.2660309278350515
0,17,71565.0,0.26599999999999996
0,15,71935.0,0.26596938775510204
0,11,72310.0,0.26588832487309644
0,13,72685.0,0.2658080808080808
0,13,73060.0,0.2657286432160804
2,14,73440.0,0.26560000000000006
2,10,73835.0,0.2653233830845771
4,10,74265.0,0.2647029702970297
5,9,74765.0,0.2633990147783251
4,11,75265.0,0.2621078431372549
5,11,75765.0,0.26082926829268305
5,9,76265.0,0.2595631067961165
4,9,76765.0,0.2583091787439614
5,8,77265.0,0.2570673076923077
4,7,77765.0,0.25583732057416264
6,5,78235.0,0.25490476190476186
8,6,78645.0,0.25454976303317534
8,5,79045.0,0.25429245283018864
10,5,79475.0,0.25375586854460097
10,6,79900.0,0.2532710280373832
12,7,80305.0,0.25297674418604654
16,9,80650.0,0.25324074074074066
16,8,80975.0,0.2536866359447005
18,10,81305.0,0.2540825688073394
18,9,81625.0,0.2545662100456621
20,13,81935.0,0.25513636363636366
20,15,82260.0,0.2555656108597285
20,12,82565.0,0.2561711711711711
20,11,82845.0,0.2569955156950673
18,8,83260.0,0.25660714285714287
16,7,83630.0,0.25662222222222225
18,6,83995.0,0.25668141592920357
18,9,84435.0,0.256079295154185
18,7,84885.0,0.25539473684210523
17,5,85335.0,0.2547161572052402
17,5,85780.0,0.2540869565217391
18,3,86280.0,0.252987012987013
19,4,86780.0,0.25189655172413794
18,4,87280.0,0.2508154506437768
17,4,87780.0,0.2497435897435897
17,2,88280.0,0.24868085106382973
19,1,88780.0,0.24762711864406786
20,1,89255.0,0.24679324894514765
20,0,89660.0,0.24655462184873947
19,0,90115.0,0.2458995815899582
20,1,90610.0,0.24491666666666667
19,1,91110.0,0.24390041493775932
18,2,91610.0,0.24289256198347106
20,4,92110.0,0.24189300411522635
20,3,92610.0,0.24090163934426229
20,1,93110.0,0.23991836734693872
20,0,93610.0,0.23894308943089432
18,1,94110.0,0.2379757085020243
19,1,94610.0,0.23701612903225805
19,0,95110.0,0.23606425702811248
20,0,95610.0,0.23512000000000005
20,0,96110.0,0.23418326693227093
20,0,96610.0,0.2332539682539682
20,0,97110.0,0.2323320158102767
20,0,97610.0,0.23141732283464572
19,0,98110.0,0.23050980392156864
18,0,98610.0,0.22960937499999998
18,0,99110.0,0.22871595330739297
18,1,99610.0,0.22782945736434104
18,3,100110.0,0.22694980694980696
18,2,100610.0,0.22607692307692306
19,3,101110.0,0.22521072796934863
19,7,101555.0,0.22477099236641224
18,5,101990.0,0.22441064638783267
20,6,102435.0,0.22397727272727272
20,8,102750.0,0.22452830188679246
19,10,103115.0,0.2246992481203008
