N,L,score,idlePercent
0,0,15.0,1.0
1,1,180.0,0.6699999999999999
1,0,440.0,0.5750000000000001
0,1,690.0,0.55
0,0,940.0,0.5375
0,0,1315.0,0.48
0,0,1690.0,0.4416666666666666
0,1,2115.0,0.3999999999999999
1,1,2590.0,0.35625
2,0,3065.0,0.3222222222222222
1,0,3540.0,0.29500000000000004
1,1,4015.0,0.2727272727272727
2,2,4490.0,0.2541666666666666
3,2,4980.0,0.2361538461538461
3,1,5480.0,0.21928571428571422
1,1,5980.0,0.2046666666666667
1,0,6480.0,0.19187500000000002
1,0,6795.0,0.20235294117647057
1,0,7045.0,0.2188888888888889
0,0,7295.0,0.2336842105263158
0,1,7645.0,0.23700000000000002
0,0,8020.0,0.23761904761904762
2,0,8285.0,0.2481818181818182
3,1,8545.0,0.25826086956521743
4,0,8805.0,0.2675
4,0,9065.0,0.2760000000000001
6,1,9395.0,0.27846153846153854
6,0,9770.0,0.27740740740740744
7,0,10205.0,0.27214285714285724
8,0,10705.0,0.26275862068965516
12,0,11205.0,0.25399999999999995
9,2,11705.0,0.2458064516129032
9,1,12205.0,0.23812499999999998
9,3,12705.0,0.2309090909090909
15,5,13205.0,0.22411764705882353
12,3,13705.0,0.21771428571428575
13,4,14145.0,0.21500000000000002
13,3,14610.0,0.2110810810810811
10,2,15010.0,0.21078947368421055
12,1,15305.0,0.21589743589743587
9,5,15585.0,0.22149999999999997
9,5,15750.0,0.23243902439024394
10,5,15955.0,0.24095238095238095
9,5,16370.0,0.23930232558139536
10,7,16770.0,0.23840909090909096
12,9,17215.0,0.23555555555555557
13,13,17655.0,0.23304347826086955
14,11,18080.0,0.2312765957446808
11,10,18490.0,0.2302083333333333
12,12,18885.0,0.22979591836734695
13,8,19300.0,0.2286
15,8,19720.0,0.2272549019607843
16,8,20150.0,0.22557692307692306
15,6,20650.0,0.22132075471698118
15,7,21150.0,0.21722222222222226
17,5,21650.0,0.21327272727272722
16,4,22050.0,0.21303571428571427
14,4,22455.0,0.21263157894736845
15,5,22760.0,0.2156896551724138
13,6,23155.0,0.21559322033898304
13,8,23610.0,0.21349999999999997
12,5,24110.0,0.21000000000000002
14,7,24610.0,0.20661290322580644
13,8,25110.0,0.2033333333333333
8,7,25610.0,0.20015625000000004
7,6,26110.0,0.19707692307692307
6,8,26610.0,0.19409090909090906
2,6,27110.0,0.19119402985074624
0,6,27585.0,0.1891176470588235
1,8,28085.0,0.18637681159420288
1,7,28585.0,0.18371428571428566
2,7,29085.0,0.18112676056338023
2,8,29585.0,0.17861111111111108
2,11,30085.0,0.17616438356164382
1,8,30585.0,0.17378378378378379
1,7,30990.0,0.174
1,11,31310.0,0.17644736842105263
1,10,31560.0,0.18064935064935064
1,7,31910.0,0.18217948717948715
1,6,32295.0,0.18278481012658226
3,6,32750.0,0.181625
3,5,33240.0,0.1796296296296296
4,6,33740.0,0.17743902439024398
7,3,34240.0,0.17530120481927708
5,1,34650.0,0.17535714285714282
6,2,35135.0,0.17364705882352938
5,1,35635.0,0.1716279069767442
2,1,36135.0,0.16965517241379308
2,1,36635.0,0.16772727272727272
3,2,37135.0,0.16584269662921353
5,3,37635.0,0.164
1,1,38075.0,0.1635164835164835
0,0,38450.0,0.16445652173913045
0,2,38785.0,0.16623655913978494
0,5,39135.0,0.16765957446808513
0,7,39510.0,0.1685263157894737
0,3,39750.0,0.17218750000000005
0,4,40000.0,0.17556701030927835
2,4,40250.0,0.1788775510204082
1,4,40505.0,0.182020202020202
0,5,40855.0,0.1832
0,4,41195.0,0.18455445544554464
0,5,41545.0,0.18568627450980393
0,9,41920.0,0.18631067961165046
1,10,42300.0,0.1868269230769231
2,11,42685.0,0.18723809523809526
4,11,43065.0,0.1877358490566038
4,15,43465.0,0.1878504672897196
7,16,43790.0,0.18935185185185185
6,18,44060.0,0.19183486238532116
4,19,44355.0,0.19381818181818183
4,18,44735.0,0.19423423423423425
6,19,45110.0,0.19473214285714285
7,18,45495.0,0.19504424778761065
8,17,45885.0,0.19526315789473686
12,14,46350.0,0.19417391304347828
11,14,46755.0,0.19413793103448274
10,12,47180.0,0.19376068376068376
14,15,47600.0,0.19347457627118642
16,16,48025.0,0.19310924369747898
16,13,48480.0,0.19224999999999998
15,12,48945.0,0.1912396694214876
13,15,49445.0,0.18967213114754097
14,16,49945.0,0.188130081300813
11,14,50445.0,0.18661290322580643
13,17,50885.0,0.18608
13,18,51385.0,0.1846031746031746
18,18,51885.0,0.18314960629921262
16,18,52385.0,0.18171874999999998
16,19,52885.0,0.18031007751937986
17,17,53385.0,0.17892307692307688
18,16,53780.0,0.17916030534351143
19,16,54280.0,0.17780303030303027
19,15,54780.0,0.17646616541353377
19,17,55200.0,0.17634328358208956
18,14,55640.0,0.17592592592592593
18,14,56055.0,0.17588235294117646
17,17,56480.0,0.1756934306569343
15,15,56980.0,0.17442028985507246
14,14,57480.0,0.1731654676258993
13,14,57975.0,0.17200000000000001
13,14,58390.0,0.17198581560283688
12,14,58795.0,0.172112676056338
11,12,59195.0,0.1723076923076923
12,17,59600.0,0.17243055555555553
10,14,60100.0,0.17124137931034483
10,13,60600.0,0.17006849315068492
6,15,61075.0,0.16925170068027212
4,15,61470.0,0.16952702702702702
5,13,61940.0,0.1687919463087248
1,11,62440.0,0.16766666666666669
2,8,62940.0,0.16655629139072844
2,8,63430.0,0.1655921052631579
1,6,63735.0,0.16705882352941176
1,7,64110.0,0.1675974025974026
0,8,64585.0,0.16683870967741934
0,10,65085.0,0.16576923076923075
0,9,65585.0,0.16471337579617837
2,5,66085.0,0.16367088607594937
3,8,66585.0,0.1626415094339623
3,8,67085.0,0.161625
1,9,67545.0,0.16111801242236026
0,6,68045.0,0.1601234567901235
0,5,68545.0,0.15914110429447853
2,8,69045.0,0.15817073170731705
3,5,69500.0,0.15775757575757574
3,6,69875.0,0.15831325301204818
5,5,70275.0,0.15856287425149698
2,6,70670.0,0.15886904761904758
2,5,71085.0,0.15893491124260356
1,2,71530.0,0.15864705882352942
1,2,72030.0,0.157719298245614
2,0,72530.0,0.15680232558139534
3,0,73030.0,0.15589595375722543
2,1,73530.0,0.155
2,1,74030.0,0.1541142857142857
3,2,74525.0,0.15329545454545457
2,1,74900.0,0.1538418079096045
2,1,75280.0,0.15432584269662922
5,2,75685.0,0.15452513966480447
6,3,76135.0,0.1542222222222222
6,3,76620.0,0.15353591160220995
6,3,77115.0,0.1527472527472527
7,3,77615.0,0.1519125683060109
4,7,78075.0,0.1515217391304348
6,5,78445.0,0.1521081081081081
11,3,78885.0,0.15193548387096772
8,6,79165.0,0.15347593582887697
8,8,79500.0,0.15441489361702126
10,7,79980.0,0.1538095238095238
9,10,80480.0,0.15299999999999997
12,8,80980.0,0.15219895287958116
9,10,81480.0,0.15140625000000002
10,11,81980.0,0.15062176165803112
13,13,82470.0,0.14994845360824738
15,13,82970.0,0.1491794871794872
18,8,83405.0,0.14908163265306124
17,6,83840.0,0.14898477157360404
18,6,84325.0,0.14838383838383837
19,4,84825.0,0.14763819095477385
20,3,85325.0,0.1469
20,2,85815.0,0.14626865671641792
20,0,86230.0,0.14638613861386143
20,1,86700.0,0.1459605911330049
19,3,87005.0,0.147156862745098
17,1,87360.0,0.14785365853658541
17,0,87775.0,0.14796116504854365
15,3,88260.0,0.1473913043478261
16,4,88760.0,0.14668269230769232
15,5,89260.0,0.14598086124401913
16,5,89760.0,0.1452857142857143
13,4,90260.0,0.14459715639810428
12,5,90760.0,0.14391509433962263
12,4,91165.0,0.144131455399061
12,1,91575.0,0.14429906542056076
12,1,92020.0,0.14413953488372094
10,3,92470.0,0.1439351851851852
10,3,92970.0,0.14327188940092167
10,4,93455.0,0.14275229357798164
12,6,93870.0,0.14287671232876714
11,7,94290.0,0.14295454545454547
9,8,94680.0,0.14330316742081445
9,10,95095.0,0.14342342342342343
9,12,95570.0,0.14300448430493273
7,8,95970.0,0.14325892857142855
5,5,96355.0,0.14364444444444444
6,6,96750.0,0.1439380530973451
4,3,97165.0,0.14405286343612336
4,3,97545.0,0.1444736842105263
5,3,97920.0,0.1449344978165939
4,1,98295.0,0.14539130434782607
7,1,98610.0,0.1463636363636364
7,0,99025.0,0.1464655172413793
3,0,99430.0,0.14665236051502148
3,0,99810.0,0.14705128205128204
3,0,100190.0,0.1474468085106383
4,1,100625.0,0.14737288135593224
5,0,101005.0,0.14776371308016878
6,0,101465.0,0.14747899159663863
10,1,101965.0,0.14686192468619247
9,3,102465.0,0.14625000000000002
11,5,102965.0,0.14564315352697094
10,4,103465.0,0.1450413223140496
9,8,103965.0,0.14444444444444443
10,7,104465.0,0.14385245901639346
11,5,104965.0,0.14326530612244898
12,5,105465.0,0.14268292682926825
13,3,105870.0,0.14287449392712553
9,3,106280.0,0.1430241935483871
7,4,106665.0,0.14337349397590365
12,5,107065.0,0.1436
14,5,107490.0,0.14362549800796814
11,7,107800.0,0.14456349206349206
11,6,108185.0,0.14490118577075095
13,7,108625.0,0.1448031496062992
14,6,109075.0,0.14462745098039217
10,3,109525.0,0.14445312500000002
8,1,110015.0,0.14396887159533073
10,1,110515.0,0.1434108527131783
9,0,111015.0,0.14285714285714285
7,3,111515.0,0.1423076923076923
4,5,112015.0,0.14176245210727972
6,4,112515.0,0.1412213740458015
8,4,113015.0,0.14068441064638781
7,5,113515.0,0.14015151515151514
10,3,114015.0,0.13962264150943396
6,3,114515.0,0.13909774436090225
6,3,115015.0,0.13857677902621723
8,5,115360.0,0.13921641791044775
6,5,115800.0,0.1391449814126394
7,5,116205.0,0.13933333333333334
6,4,116625.0,0.13940959409594098
8,5,117030.0,0.1395955882352941
7,4,117330.0,0.14054945054945056
6,4,117600.0,0.14171532846715326
6,4,117970.0,0.14214545454545452
9,5,118470.0,0.14163043478260867
11,8,118970.0,0.14111913357400724
13,9,119470.0,0.14061151079136694
11,8,119970.0,0.14010752688172046
10,9,120470.0,0.13960714285714287
11,9,120970.0,0.13911032028469753
10,6,121470.0,0.13861702127659575
11,5,121910.0,0.1385512367491166
11,4,122305.0,0.13880281690140844
10,3,122730.0,0.13884210526315788
12,4,123190.0,0.1386363636363636
9,2,123690.0,0.13815331010452964
11,4,124190.0,0.13767361111111112
12,3,124690.0,0.13719723183391003
10,2,125190.0,0.1367241379310345
11,4,125550.0,0.13721649484536083
6,5,125945.0,0.13746575342465756
9,8,126340.0,0.13771331058020478
13,10,126740.0,0.1379251700680272
11,8,127175.0,0.1378983050847458
9,7,127610.0,0.13787162162162164
9,7,128045.0,0.13784511784511783
11,9,128480.0,0.13781879194630872
11,13,128835.0,0.13832775919732443
14,12,129190.0,0.1388333333333333
13,13,129540.0,0.1393687707641196
9,9,129940.0,0.13956953642384107
8,6,130375.0,0.13953795379537953
10,7,130870.0,0.13911184210526317
15,9,131370.0,0.13865573770491807
15,10,131805.0,0.13862745098039214
13,10,132305.0,0.13817589576547232
16,13,132805.0,0.1377272727272727
15,13,133305.0,0.13728155339805828
16,14,133805.0,0.13683870967741935
16,13,134300.0,0.13643086816720257
19,16,134800.0,0.13599358974358972
18,14,135300.0,0.13555910543130986
18,13,135800.0,0.13512738853503187
19,13,136300.0,0.13469841269841268
20,11,136800.0,0.13427215189873418
20,12,137290.0,0.13391167192429024
20,13,137560.0,0.134937106918239
18,12,137710.0,0.13670846394984332
17,17,137980.0,0.13771875
16,18,138280.0,0.13853582554517135
13,17,138555.0,0.1395031055900621
12,16,138865.0,0.14024767801857588
11,18,139255.0,0.1404938271604938
10,19,139665.0,0.14061538461538461
12,20,140115.0,0.1404907975460123
12,20,140615.0,0.1400611620795107
12,19,141115.0,0.13963414634146343
11,17,141615.0,0.139209726443769
7,17,142115.0,0.1387878787878788
6,18,142615.0,0.13836858006042296
7,16,143115.0,0.13795180722891567
8,14,143615.0,0.13753753753753753
7,14,144115.0,0.13712574850299397
10,13,144580.0,0.13692537313432834
11,15,144930.0,0.13741071428571425
10,16,145335.0,0.13756676557863498
9,17,145725.0,0.13781065088757394
9,17,146095.0,0.13817109144542775
11,15,146395.0,0.1389411764705882
13,17,146700.0,0.13967741935483874
13,18,146930.0,0.14084795321637428
13,17,147235.0,0.14157434402332364
14,15,147715.0,0.14127906976744184
17,15,148215.0,0.1408695652173913
19,16,148715.0,0.14046242774566475
18,15,149215.0,0.14005763688760808
16,15,149715.0,0.1396551724137931
20,16,150215.0,0.13925501432664755
20,17,150715.0,0.13885714285714287
20,17,151160.0,0.13877492877492878
20,19,151650.0,0.13843750000000002
20,19,152150.0,0.13804532577903686
20,20,152650.0,0.13765536723163838
20,20,153150.0,0.13726760563380283
20,20,153650.0,0.13688202247191011
19,19,154115.0,0.13669467787114845
19,20,154580.0,0.13650837988826817
18,20,154970.0,0.1367409470752089
16,20,155250.0,0.1375833333333333
15,20,155680.0,0.13759002770083104
12,20,156125.0,0.13751381215469613
13,20,156530.0,0.13765840220385675
15,20,156945.0,0.13774725274725272
17,20,157355.0,0.13786301369863013
16,19,157825.0,0.13765027322404375
18,19,158230.0,0.13779291553133516
19,20,158660.0,0.13779891304347827
17,20,159105.0,0.1377235772357724
17,20,159590.0,0.13743243243243244
18,18,160090.0,0.1370619946091644
18,19,160590.0,0.1366935483870968
16,19,161060.0,0.13648793565683648
17,18,161465.0,0.13663101604278077
14,18,161915.0,0.13653333333333334
18,19,162365.0,0.13643617021276594
18,18,162865.0,0.1360742705570292
20,17,163365.0,0.1357142857142857
20,16,163865.0,0.13535620052770447
19,17,164365.0,0.13499999999999998
18,19,164865.0,0.1346456692913386
20,17,165365.0,0.13429319371727746
20,17,165810.0,0.13422976501305484
19,12,166270.0,0.13408854166666664
18,11,166695.0,0.13412987012987015
16,9,166985.0,0.13487046632124353
15,6,167300.0,0.1354780361757106
15,7,167730.0,0.13548969072164946
18,6,168030.0,0.13616966580976866
19,8,168365.0,0.13666666666666666
19,9,168605.0,0.1376470588235294
18,9,168855.0,0.1385714285714286
17,8,169190.0,0.13905852417302797
17,12,169545.0,0.13944162436548221
15,11,169970.0,0.13946835443037975
13,12,170410.0,0.13941919191919191
14,12,170840.0,0.1394206549118388
16,15,171300.0,0.1392713567839196
15,14,171745.0,0.13919799498746865
16,16,172075.0,0.1397
18,18,172405.0,0.14019950124688282
18,19,172745.0,0.14064676616915422
20,17,173080.0,0.1411166253101737
20,17,173390.0,0.1417079207920792
19,19,173680.0,0.14239506172839508
19,17,173855.0,0.14364532019704432
20,19,174050.0,0.14479115479115479
19,20,174235.0,0.14598039215686273
20,20,174400.0,0.14726161369193155
19,19,174585.0,0.14843902439024395
19,18,174800.0,0.1494647201946472
20,17,175145.0,0.1498543689320388
20,19,175520.0,0.1500968523002421
19,18,175910.0,0.1502657004830918
18,19,176355.0,0.1501686746987952
19,20,176825.0,0.14995192307692307
19,19,177280.0,0.14980815347721826
17,18,177640.0,0.1501196172248804
15,18,178070.0,0.15009546539379476
16,18,178505.0,0.15004761904761904
18,18,178965.0,0.14988123515439428
16,16,179455.0,0.1495734597156398
16,15,179955.0,0.1492198581560284
18,15,180455.0,0.1488679245283019
19,15,180955.0,0.14851764705882353
20,15,181380.0,0.14852112676056334
19,14,181810.0,0.1485011709601874
19,13,182190.0,0.14871495327102804
20,13,182535.0,0.14909090909090908
20,15,182995.0,0.14893023255813956
20,12,183420.0,0.1489327146171694
19,14,183785.0,0.149212962962963
19,14,184210.0,0.14921478060046192
20,14,184695.0,0.1489400921658986
20,14,185195.0,0.14859770114942528
20,13,185695.0,0.14825688073394497
20,12,186145.0,0.14814645308924485
20,12,186585.0,0.1480821917808219
20,13,187085.0,0.14774487471526196
20,14,187585.0,0.1474090909090909
