N,L,score,idlePercent
20,0,0.0,1.0
19,0,0.0,1.0
18,0,15.0,0.925
18,0,40.0,0.8666666666666666
20,0,75.0,0.8125
20,0,140.0,0.7200000000000001
20,0,205.0,0.6583333333333332
19,1,280.0,0.5999999999999999
19,1,355.0,0.55625
19,3,420.0,0.5333333333333334
20,6,495.0,0.5050000000000001
20,6,570.0,0.48181818181818176
20,7,645.0,0.4625000000000001
19,13,710.0,0.4538461538461539
16,9,785.0,0.4392857142857144
17,4,855.0,0.43000000000000005
16,1,925.0,0.421875
14,0,995.0,0.41470588235294115
14,0,1055.0,0.41388888888888886
16,1,1120.0,0.41052631578947374
19,3,1180.0,0.41
17,2,1245.0,0.4071428571428572
18,1,1330.0,0.39545454545454545
20,0,1415.0,0.3847826086956522
19,2,1495.0,0.3770833333333334
20,3,1585.0,0.36600000000000005
18,8,1680.0,0.35384615384615387
20,13,1780.0,0.34074074074074073
20,7,1870.0,0.33214285714285713
20,6,1965.0,0.3224137931034483
20,1,2060.0,0.31333333333333335
20,0,2155.0,0.3048387096774193
20,1,2250.0,0.296875
20,0,2345.0,0.2893939393939393
20,0,2445.0,0.28088235294117647
20,1,2545.0,0.27285714285714285
18,3,2645.0,0.2652777777777777
18,4,2745.0,0.25810810810810814
19,2,2845.0,0.25131578947368427
20,3,2945.0,0.24487179487179483
19,3,3045.0,0.23875000000000002
19,0,3145.0,0.23292682926829275
18,0,3245.0,0.22738095238095238
16,0,3345.0,0.22209302325581398
16,0,3445.0,0.21704545454545454
12,2,3545.0,0.21222222222222217
11,5,3645.0,0.20760869565217394
9,3,3745.0,0.20319148936170212
10,5,3845.0,0.19895833333333335
9,4,3945.0,0.19489795918367347
11,2,4045.0,0.19100000000000003
10,1,4145.0,0.18725490196078431
8,1,4245.0,0.18365384615384617
8,1,4345.0,0.18018867924528306
10,0,4445.0,0.17685185185185187
12,1,4545.0,0.17363636363636364
16,2,4645.0,0.17053571428571426
15,0,4745.0,0.16754385964912283
16,0,4845.0,0.16465517241379313
17,1,4945.0,0.16186440677966102
17,1,5045.0,0.15916666666666668
17,1,5145.0,0.15655737704918032
17,5,5245.0,0.1540322580645161
19,6,5345.0,0.15158730158730158
19,2,5445.0,0.14921875
20,1,5545.0,0.14692307692307693
20,0,5645.0,0.14469696969696966
20,0,5745.0,0.14253731343283582
17,0,5845.0,0.14044117647058824
17,1,5945.0,0.13840579710144926
19,3,6045.0,0.13642857142857143
19,3,6135.0,0.13591549295774646
19,5,6210.0,0.13749999999999996
20,5,6290.0,0.13835616438356166
20,8,6365.0,0.13986486486486488
20,9,6425.0,0.14333333333333334
20,12,6485.0,0.14671052631578946
