N,L,score,idlePercent
0,0,30.0,1.0
0,0,455.0,0.15
0,0,950.0,0.08
0,0,1450.0,0.05333333333333333
0,0,1905.0,0.06250000000000001
0,0,2150.0,0.15200000000000005
0,0,2475.0,0.185
0,0,2850.0,0.19428571428571428
0,0,3325.0,0.17624999999999996
0,0,3675.0,0.19
0,0,4075.0,0.191
0,0,4575.0,0.17363636363636364
0,0,4975.0,0.17583333333333334
0,0,5400.0,0.17384615384615387
0,0,5775.0,0.1792857142857143
0,0,6150.0,0.184
0,0,6650.0,0.1725
0,0,7100.0,0.1682352941176471
0,0,7425.0,0.17833333333333332
0,0,7750.0,0.1873684210526316
0,0,8125.0,0.1905
0,0,8500.0,0.1933333333333333
0,0,8950.0,0.18909090909090906
0,0,9375.0,0.18739130434782608
0,0,9850.0,0.1816666666666667
0,0,10350.0,0.17440000000000005
0,0,10775.0,0.1734615384615385
0,0,11275.0,0.167037037037037
0,0,11675.0,0.1682142857142857
0,0,12175.0,0.1624137931034483
0,0,12675.0,0.15699999999999997
0,0,13175.0,0.15193548387096775
0,0,13625.0,0.15031250000000002
0,0,14050.0,0.1503030303030303
0,0,14550.0,0.14588235294117646
0,0,14925.0,0.14885714285714283
0,0,15350.0,0.1488888888888889
0,0,15775.0,0.14891891891891892
0,0,16225.0,0.1476315789473684
0,0,16625.0,0.14897435897435898
0,0,17100.0,0.14649999999999996
0,0,17600.0,0.14292682926829273
0,0,18100.0,0.13952380952380952
0,0,18575.0,0.13744186046511625
0,0,18950.0,0.13999999999999999
0,0,19400.0,0.13911111111111113
0,0,19875.0,0.1371739130434783
0,0,20375.0,0.13425531914893618
0,0,20875.0,0.13145833333333334
0,0,21325.0,0.1308163265306122
0,0,21775.0,0.13020000000000004
0,0,22275.0,0.12764705882352942
0,0,22750.0,0.12615384615384617
0,0,23150.0,0.12754716981132075
0,0,23525.0,0.1298148148148148
0,0,24000.0,0.12836363636363632
0,0,24475.0,0.1269642857142857
0,0,24950.0,0.12561403508771932
0,0,25400.0,0.12517241379310345
0,0,25800.0,0.1264406779661017
0,0,26300.0,0.12433333333333334
0,0,26800.0,0.12229508196721313
