N,L,score,idlePercent
0,0,5.0,1.0
0,0,130.0,0.7500000000000001
1,1,430.0,0.575
1,0,905.0,0.4
0,0,1400.0,0.30249999999999994
1,0,1900.0,0.24200000000000005
2,0,2250.0,0.2516666666666666
1,1,2725.0,0.22285714285714278
3,4,3190.0,0.20374999999999996
4,6,3690.0,0.18111111111111114
4,8,4170.0,0.16700000000000004
5,6,4545.0,0.1745454545454545
6,6,4920.0,0.18083333333333332
7,9,5295.0,0.18615384615384614
7,6,5660.0,0.19214285714285714
6,7,5980.0,0.2033333333333333
8,10,6300.0,0.213125
11,13,6750.0,0.20647058823529413
10,15,7225.0,0.19777777777777777
11,16,7725.0,0.18736842105263157
12,16,8205.0,0.18000000000000002
12,17,8645.0,0.17714285714285716
13,18,9060.0,0.17681818181818182
14,15,9555.0,0.16956521739130434
11,18,9975.0,0.16916666666666666
9,19,10330.0,0.17400000000000007
6,17,10750.0,0.17346153846153844
7,16,11250.0,0.167037037037037
7,18,11740.0,0.16178571428571425
8,18,12050.0,0.16931034482758617
4,19,12330.0,0.17833333333333337
2,19,12805.0,0.17419354838709675
1,18,13305.0,0.16875
1,19,13720.0,0.1687878787878788
2,18,14080.0,0.17205882352941174
1,20,14560.0,0.16828571428571426
2,20,14950.0,0.16972222222222225
1,19,15360.0,0.1700000000000001
2,19,15845.0,0.16631578947368425
2,19,16325.0,0.1630769230769231
2,18,16825.0,0.159
1,17,17275.0,0.15756097560975613
1,17,17595.0,0.16238095238095238
2,12,17920.0,0.16674418604651162
3,16,18295.0,0.16863636363636367
4,16,18675.0,0.17022222222222222
5,15,19105.0,0.16956521739130434
4,17,19540.0,0.16872340425531915
2,19,20040.0,0.16520833333333335
3,19,20510.0,0.16306122448979593
3,19,20985.0,0.16080000000000003
2,20,21485.0,0.15764705882352942
2,18,21830.0,0.16057692307692306
5,16,22275.0,0.159622641509434
7,18,22720.0,0.15870370370370374
9,17,23205.0,0.15636363636363632
10,15,23605.0,0.15714285714285714
12,15,24015.0,0.15754385964912276
18,12,24450.0,0.15706896551724137
17,14,24850.0,0.15779661016949154
16,15,25350.0,0.15516666666666665
15,18,25755.0,0.1557377049180328
16,18,26200.0,0.15499999999999997
16,17,26700.0,0.15253968253968253
15,16,27200.0,0.15015624999999996
12,19,27650.0,0.1493846153846154
15,20,28015.0,0.15121212121212121
16,19,28460.0,0.15059701492537314
15,20,28945.0,0.1488235294117647
14,20,29445.0,0.14666666666666667
15,20,29905.0,0.1457142857142857
18,20,30290.0,0.14690140845070424
18,20,30685.0,0.14777777777777776
20,20,31115.0,0.14767123287671233
18,20,31420.0,0.15094594594594596
20,19,31905.0,0.14933333333333332
19,19,32365.0,0.14842105263157895
19,16,32865.0,0.1464935064935065
20,13,33290.0,0.14653846153846156
20,16,33730.0,0.14620253164556962
20,16,34195.0,0.14525
20,18,34670.0,0.14407407407407408
20,16,35080.0,0.1445121951219513
19,16,35475.0,0.14530120481927714
20,16,35935.0,0.14452380952380955
20,16,36395.0,0.14376470588235296
18,14,36850.0,0.14313953488372094
18,14,37340.0,0.1417241379310345
17,13,37745.0,0.14227272727272727
16,19,38205.0,0.14157303370786517
15,19,38610.0,0.1421111111111111
17,19,39035.0,0.1421978021978022
17,17,39535.0,0.14065217391304347
16,17,40030.0,0.139247311827957
16,18,40530.0,0.13776595744680847
17,18,40900.0,0.13905263157894737
19,17,41305.0,0.13958333333333334
19,16,41585.0,0.14268041237113402
19,16,41970.0,0.1435714285714286
20,18,42430.0,0.14292929292929293
20,14,42930.0,0.14150000000000001
20,17,43430.0,0.14009900990099014
19,18,43840.0,0.14049019607843138
18,17,44340.0,0.139126213592233
18,17,44780.0,0.1389423076923077
16,17,45280.0,0.13761904761904764
13,18,45780.0,0.13632075471698113
13,19,46185.0,0.1368224299065421
15,19,46610.0,0.13694444444444442
13,16,47065.0,0.1365137614678899
14,16,47495.0,0.13654545454545453
17,19,47965.0,0.13585585585585586
18,20,48445.0,0.135
18,20,48855.0,0.13539823008849558
16,20,49245.0,0.13614035087719298
15,20,49615.0,0.13721739130434785
17,20,50055.0,0.1370689655172414
18,20,50545.0,0.1360683760683761
18,20,50835.0,0.13847457627118642
17,20,51290.0,0.13806722689075632
16,19,51730.0,0.13791666666666663
19,18,52230.0,0.1367768595041322
20,20,52695.0,0.13622950819672128
19,20,53060.0,0.13731707317073172
20,19,53450.0,0.13798387096774195
20,19,53950.0,0.13687999999999997
19,17,54420.0,0.13626984126984126
20,19,54780.0,0.1374015748031496
18,20,55240.0,0.13695312499999998
17,18,55735.0,0.135968992248062
18,17,56185.0,0.13569230769230772
19,18,56585.0,0.13618320610687024
20,19,57085.0,0.1351515151515152
20,17,57490.0,0.13556390977443608
20,18,57860.0,0.13649253731343286
20,17,58245.0,0.13718518518518524
20,19,58710.0,0.13669117647058826
20,20,59210.0,0.13569343065693432
20,18,59690.0,0.135
20,17,60105.0,0.13525179856115108
20,19,60495.0,0.13585714285714282
19,20,60920.0,0.13595744680851066
20,19,61405.0,0.1352112676056338
20,18,61905.0,0.13426573426573424
20,17,62265.0,0.13527777777777777
20,16,62670.0,0.13565517241379313
19,12,63155.0,0.13493150684931504
17,11,63655.0,0.1340136054421769
20,16,64090.0,0.13398648648648653
20,17,64560.0,0.13348993288590602
20,17,64945.0,0.13413333333333335
20,14,65345.0,0.13456953642384106
20,11,65680.0,0.13585526315789473
20,9,66090.0,0.1361437908496732
20,9,66590.0,0.13525974025974025
19,11,67090.0,0.13438709677419355
18,11,67575.0,0.1337179487179487
19,12,67995.0,0.13388535031847132
17,13,68420.0,0.1339873417721519
20,11,68875.0,0.13371069182389939
20,9,69370.0,0.13293750000000001
19,8,69835.0,0.1325465838509317
20,6,70285.0,0.1323456790123457
20,5,70775.0,0.1316564417177914
20,4,71250.0,0.13115853658536586
19,7,71640.0,0.1316969696969697
18,9,72080.0,0.13162650602409637
18,12,72520.0,0.1315568862275449
17,16,73020.0,0.13077380952380951
18,15,73470.0,0.13059171597633137
18,16,73880.0,0.13088235294117648
20,18,74285.0,0.13122807017543858
18,17,74650.0,0.13203488372093022
19,18,75005.0,0.13294797687861273
19,17,75500.0,0.13224137931034483
19,18,75920.0,0.1324
19,17,76415.0,0.13170454545454546
20,19,76915.0,0.13096045197740114
19,20,77285.0,0.131685393258427
19,20,77680.0,0.13212290502793297
18,20,78180.0,0.13138888888888892
18,20,78620.0,0.1313259668508287
15,20,79120.0,0.13060439560439557
13,19,79530.0,0.1308743169398907
13,18,79875.0,0.13184782608695655
17,18,80250.0,0.13248648648648648
19,18,80730.0,0.13198924731182798
17,18,81165.0,0.13197860962566846
18,18,81590.0,0.1320744680851064
16,17,81990.0,0.1324338624338624
14,17,82275.0,0.13399999999999998
10,15,82775.0,0.13329842931937172
9,17,83265.0,0.13270833333333332
9,14,83765.0,0.13202072538860105
10,13,84245.0,0.1315463917525773
11,12,84635.0,0.13199999999999995
8,15,85110.0,0.13158163265306125
7,12,85515.0,0.13187817258883247
10,10,85975.0,0.13161616161616158
10,15,86430.0,0.13140703517587943
11,15,86905.0,0.13100000000000003
13,11,87395.0,0.13044776119402982
12,9,87775.0,0.130990099009901
15,7,88270.0,0.13039408866995075
13,8,88660.0,0.1308333333333333
14,5,89160.0,0.13019512195121952
12,7,89605.0,0.13009708737864079
11,9,90025.0,0.13024154589371978
16,4,90390.0,0.13091346153846156
14,6,90840.0,0.13076555023923445
15,7,91325.0,0.13028571428571428
15,7,91785.0,0.1300473933649289
11,11,92205.0,0.13018867924528305
9,15,92570.0,0.13084507042253524
9,13,92915.0,0.1316822429906542
8,14,93375.0,0.1314418604651163
11,12,93875.0,0.13083333333333333
13,11,94215.0,0.13170506912442398
12,13,94625.0,0.13192660550458712
10,14,95030.0,0.1321917808219178
12,15,95520.0,0.13168181818181818
12,17,96020.0,0.13108597285067872
12,19,96410.0,0.13148648648648648
11,20,96860.0,0.1313452914798206
7,20,97255.0,0.13169642857142855
6,19,97715.0,0.13146666666666668
8,19,98215.0,0.1308849557522124
8,19,98680.0,0.13061674008810575
8,20,99125.0,0.13052631578947368
9,19,99550.0,0.1306113537117904
11,18,99925.0,0.13113043478260872
13,17,100425.0,0.13056277056277057
9,17,100920.0,0.13004310344827588
9,18,101355.0,0.1300429184549356
9,18,101850.0,0.1295299145299145
8,17,102275.0,0.12961702127659575
7,16,102670.0,0.1299576271186441
7,18,103015.0,0.13071729957805905
12,15,103500.0,0.13029411764705878
12,15,103940.0,0.1302510460251046
11,16,104390.0,0.13012500000000002
8,18,104750.0,0.13074688796680495
9,17,105250.0,0.130206611570248
11,18,105655.0,0.13045267489711934
14,18,105975.0,0.1313934426229508
15,17,106415.0,0.13134693877551018
13,19,106915.0,0.1308130081300813
15,19,107395.0,0.13044534412955464
15,20,107815.0,0.13056451612903225
15,19,108180.0,0.13112449799196785
16,19,108580.0,0.13139999999999996
19,17,109065.0,0.13099601593625496
17,19,109490.0,0.13107142857142853
17,17,109900.0,0.13126482213438734
13,18,110400.0,0.13074803149606298
13,18,110900.0,0.13023529411764706
14,19,111260.0,0.13082031249999998
16,19,111590.0,0.13163424124513615
14,19,112050.0,0.1314341085271318
15,19,112550.0,0.1309266409266409
17,20,113020.0,0.13065384615384615
19,20,113395.0,0.13111111111111112
19,19,113860.0,0.13087786259541984
17,19,114350.0,0.13045627376425856
18,20,114850.0,0.1299621212121212
17,20,115295.0,0.1298867924528302
14,20,115715.0,0.12999999999999998
14,20,116125.0,0.130187265917603
15,20,116625.0,0.12970149253731345
14,19,117025.0,0.1299628252788104
15,16,117395.0,0.13044444444444447
15,18,117765.0,0.13092250922509227
17,15,118265.0,0.13044117647058823
15,14,118765.0,0.12996336996336993
15,15,119235.0,0.1297080291970803
15,17,119685.0,0.1296
12,16,120175.0,0.12920289855072464
8,15,120670.0,0.12877256317689534
11,18,121170.0,0.12830935251798561
12,19,121605.0,0.12831541218637996
10,18,121910.0,0.12925
12,16,122410.0,0.1287900355871886
10,16,122900.0,0.12840425531914895
9,15,123400.0,0.12795053003533569
8,15,123810.0,0.1281338028169014
12,17,124295.0,0.1277894736842105
13,14,124725.0,0.12783216783216783
14,16,125225.0,0.12738675958188156
14,17,125665.0,0.1273611111111111
14,19,125950.0,0.12840830449826987
15,19,126385.0,0.12841379310344828
15,17,126885.0,0.12797250859106526
12,19,127385.0,0.12753424657534246
12,19,127845.0,0.12737201365187714
9,20,128160.0,0.12819727891156463
9,20,128525.0,0.12867796610169488
8,19,129025.0,0.12824324324324324
8,19,129515.0,0.12787878787878787
7,18,129930.0,0.1280201342281879
9,17,130325.0,0.12829431438127092
7,16,130805.0,0.12800000000000003
7,16,131305.0,0.1275747508305648
9,16,131725.0,0.127682119205298
8,15,131995.0,0.1287788778877888
11,14,132310.0,0.12957236842105263
12,17,132790.0,0.12927868852459018
10,18,133290.0,0.12885620915032675
11,19,133740.0,0.12876221498371335
11,20,134170.0,0.1287987012987013
13,20,134495.0,0.12951456310679613
14,20,134920.0,0.12958064516129034
14,18,135385.0,0.12938906752411578
