N,L,score,idlePercent
0,0,0,1.0
0,0,0,1.0
0,2,0,1.0
0,0,4,0.9833333333333334
0,0,24,0.9249999999999999
0,0,44,0.89
0,0,84,0.8250000000000001
1,0,125,0.7767857142857143
0,0,165,0.7421874999999999
0,0,205,0.7152777777777778
1,1,245,0.69375
0,0,285,0.6761363636363636
1,0,329,0.6572916666666666
0,1,369,0.6451923076923077
0,0,409,0.6348214285714286
0,0,449,0.6258333333333334
0,0,489,0.61796875
0,0,529,0.6110294117647059
0,1,569,0.6048611111111112
0,0,609,0.5993421052631579
0,0,649,0.594375
2,0,690,0.5892857142857143
0,1,731,0.5846590909090909
0,0,771,0.5809782608695653
0,0,811,0.5776041666666666
0,1,871,0.5645
0,0,931,0.5524038461538462
0,0,991,0.5412037037037036
0,1,1051,0.5308035714285714
0,0,1111,0.5211206896551724
2,0,1172,0.5116666666666667
0,0,1233,0.5028225806451613
0,1,1293,0.494921875
1,0,1353,0.48749999999999993
0,0,1413,0.480514705882353
0,0,1473,0.4739285714285715
0,1,1533,0.4677083333333334
0,0,1593,0.4618243243243243
0,1,1653,0.45625
0,0,1713,0.4509615384615384
0,0,1773,0.4459375
0,0,1833,0.44115853658536586
1,0,1893,0.4366071428571428
4,0,1956,0.4313953488372093
0,1,2016,0.4272727272727272
0,0,2076,0.4233333333333333
0,1,2136,0.41956521739130437
0,8,2196,0.4159574468085106
0,16,2268,0.409375
0,15,2348,0.40102040816326523
1,16,2428,0.393
0,16,2508,0.3852941176470588
1,16,2588,0.3778846153846154
1,15,2650,0.3750000000000001
1,16,2709,0.3729166666666666
0,15,2768,0.3709090909090909
1,16,2813,0.3720982142857143
0,16,2853,0.374342105263158
0,14,2893,0.3765086206896552
0,14,2947,0.3756355932203389
0,15,3007,0.37354166666666666
0,16,3083,0.36823770491803276
0,15,3163,0.36229838709677414
0,15,3243,0.356547619047619
0,15,3323,0.3509765625
0,10,3402,0.3457692307692308
0,4,3482,0.34053030303030296
0,0,3562,0.3354477611940298
0,0,3642,0.3305147058823529
0,0,3722,0.32572463768115945
1,0,3802,0.32107142857142856
5,0,3882,0.3165492957746478
11,1,3962,0.3121527777777777
16,0,4042,0.3078767123287671
16,3,4122,0.3037162162162162
15,5,4194,0.301
16,4,4268,0.29802631578947364
16,0,4346,0.2944805194805195
15,0,4418,0.2919871794871795
16,0,4491,0.2893987341772152
16,0,4565,0.28671875
16,0,4644,0.2833333333333333
16,1,4720,0.2804878048780488
16,6,4796,0.277710843373494
16,7,4874,0.274702380952381
16,6,4951,0.27191176470588235
15,13,5023,0.2699127906976744
16,15,5093,0.26824712643678156
16,15,5167,0.26605113636363636
16,16,5245,0.2633426966292135
16,16,5319,0.26125000000000004
16,15,5393,0.25920329670329667
16,16,5464,0.2576086956521739
16,16,5527,0.2571236559139785
16,16,5586,0.2571808510638298
16,16,5647,0.2569736842105263
16,16,5720,0.25520833333333337
15,16,5794,0.2533505154639175
16,16,5868,0.2515306122448979
