N,L,score,idlePercent
0,0,0,1.0
1,1,0,1.0
0,0,0,1.0
0,0,0,1.0
0,0,0,1.0
1,0,0,1.0
0,1,0,1.0
0,1,0,1.0
1,0,0,1.0
2,1,0,1.0
1,0,0,1.0
0,0,0,1.0
0,0,0,1.0
0,0,0,1.0
0,0,20,0.9821428571428572
2,0,43,0.9641666666666667
0,1,63,0.9507812499999999
0,0,83,0.9389705882352941
0,1,107,0.9256944444444444
0,0,151,0.9006578947368421
0,0,211,0.8681249999999999
1,0,271,0.8386904761904763
0,0,331,0.8119318181818183
1,0,391,0.7875
0,0,451,0.7651041666666667
1,0,514,0.743
0,1,574,0.7240384615384615
0,6,633,0.7069444444444445
1,14,692,0.6910714285714287
0,8,756,0.6741379310344827
0,7,836,0.6516666666666668
0,5,916,0.6306451612903226
1,14,996,0.6109375000000001
0,11,1076,0.5924242424242424
0,6,1156,0.575
0,1,1236,0.5585714285714287
0,1,1316,0.5430555555555554
0,0,1396,0.5283783783783784
0,0,1476,0.5144736842105263
0,0,1556,0.5012820512820513
0,0,1636,0.48874999999999996
1,0,1716,0.476829268292683
1,0,1796,0.46547619047619054
0,0,1876,0.4546511627906977
0,0,1956,0.4443181818181818
0,1,2036,0.43444444444444436
1,4,2116,0.42499999999999993
0,5,2196,0.41595744680851054
0,0,2276,0.40729166666666666
0,1,2356,0.39897959183673476
1,0,2436,0.39099999999999996
1,0,2516,0.38333333333333325
0,1,2596,0.37596153846153835
0,1,2676,0.3688679245283019
1,1,2756,0.3620370370370371
0,0,2836,0.3554545454545454
0,0,2916,0.3491071428571429
0,1,2996,0.34298245614035083
0,4,3076,0.33706896551724136
0,5,3156,0.33135593220338977
0,3,3236,0.3258333333333334
0,4,3316,0.32049180327868854
0,5,3396,0.3153225806451613
0,3,3476,0.31031746031746027
0,2,3556,0.30546875000000007
0,1,3636,0.3007692307692308
0,0,3716,0.2962121212121212
0,0,3796,0.2917910447761194
0,0,3876,0.2875
0,0,3956,0.2833333333333333
0,0,4036,0.27928571428571436
0,0,4116,0.27535211267605636
0,0,4196,0.2715277777777777
