N,L,score,idlePercent
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,0,1.0
16,0,29,0.9721153846153847
16,0,62,0.9446428571428572
16,0,96,0.9200000000000002
16,0,151,0.88203125
16,0,214,0.8426470588235294
16,0,273,0.8104166666666668
16,0,329,0.7835526315789473
16,0,390,0.7562499999999999
16,0,454,0.7297619047619047
16,0,515,0.7073863636363635
16,0,579,0.6853260869565218
16,0,636,0.6687500000000001
16,0,695,0.6525
16,0,752,0.6384615384615383
16,0,810,0.625
16,0,872,0.6107142857142858
16,0,933,0.5978448275862068
16,0,994,0.5858333333333333
16,0,1071,0.5681451612903224
16,0,1146,0.55234375
16,0,1221,0.5374999999999999
16,0,1295,0.5238970588235294
16,0,1370,0.5107142857142857
16,0,1448,0.4972222222222222
16,0,1521,0.48614864864864865
16,0,1596,0.4749999999999999
16,0,1669,0.46506410256410247
16,0,1744,0.45499999999999996
16,0,1818,0.4457317073170733
16,0,1892,0.43690476190476185
16,0,1969,0.42761627906976746
16,0,2047,0.4184659090909091
16,0,2127,0.4091666666666666
16,0,2207,0.40027173913043484
16,0,2287,0.3917553191489362
16,0,2367,0.38359375000000007
16,0,2447,0.375765306122449
16,0,2527,0.36824999999999997
16,0,2607,0.36102941176470593
16,0,2687,0.3540865384615385
16,0,2767,0.3474056603773585
16,0,2847,0.34097222222222223
16,0,2927,0.3347727272727272
16,0,3007,0.3287946428571429
16,0,3087,0.3230263157894736
16,0,3167,0.3174568965517241
16,0,3247,0.31207627118644077
16,0,3327,0.306875
16,0,3407,0.301844262295082
16,0,3487,0.29697580645161287
16,0,3567,0.29226190476190483
16,0,3647,0.2876953125
16,0,3727,0.2832692307692307
16,0,3807,0.2789772727272727
16,0,3887,0.2748134328358209
16,0,3967,0.27077205882352945
16,0,4047,0.2668478260869565
16,0,4127,0.26303571428571426
16,0,4207,0.259330985915493
16,0,4287,0.2557291666666667
16,0,4367,0.2522260273972603
16,0,4447,0.2488175675675676
16,0,4527,0.2455
16,0,4601,0.24325657894736838
16,0,4678,0.24058441558441557
16,0,4746,0.23942307692307685
16,0,4810,0.23892405063291142
16,0,4870,0.23906250000000004
16,0,4927,0.23966049382716045
16,0,4983,0.24039634146341468
16,0,5047,0.23990963855421688
16,0,5105,0.240327380952381
16,0,5168,0.24000000000000005
16,0,5242,0.23808139534883724
16,0,5319,0.2357758620689655
