N,L,score,idlePercent
0,0,0,1.0
0,1,0,1.0
0,0,20,0.875
1,0,40,0.8333333333333334
0,0,61,0.809375
0,1,81,0.7975
0,2,101,0.7895833333333333
1,0,121,0.7839285714285714
0,1,141,0.7796875
0,0,161,0.7763888888888888
0,1,181,0.7737499999999999
0,0,201,0.7715909090909091
0,0,221,0.7697916666666667
1,0,241,0.7682692307692307
0,1,261,0.7669642857142857
0,0,281,0.7658333333333334
0,0,301,0.76484375
0,0,321,0.7639705882352941
2,0,343,0.7618055555555555
1,1,363,0.7611842105263157
2,0,386,0.75875
0,2,407,0.7577380952380952
0,0,447,0.7460227272727272
1,0,487,0.7353260869565217
0,0,527,0.7255208333333333
0,1,567,0.7164999999999999
0,0,607,0.708173076923077
0,1,647,0.700462962962963
0,0,691,0.6915178571428571
0,0,751,0.6762931034482759
0,0,811,0.6620833333333332
0,0,871,0.6487903225806452
1,0,931,0.636328125
0,1,991,0.6246212121212121
0,0,1051,0.6136029411764706
0,0,1131,0.5960714285714285
1,1,1211,0.5795138888888889
2,9,1291,0.5638513513513513
8,7,1371,0.5490131578947367
9,7,1451,0.5349358974358973
9,9,1531,0.5215625
1,1,1611,0.5088414634146341
1,0,1691,0.4967261904761905
0,0,1771,0.4851744186046511
0,0,1851,0.4741477272727273
0,2,1931,0.4636111111111111
0,12,2011,0.45353260869565215
0,7,2091,0.44388297872340426
0,4,2171,0.43463541666666666
0,3,2251,0.425765306122449
1,1,2331,0.41724999999999995
0,0,2411,0.4090686274509804
0,0,2491,0.4012019230769231
0,0,2571,0.3936320754716981
0,0,2651,0.3863425925925926
0,0,2731,0.37931818181818183
0,0,2811,0.37254464285714284
0,0,2891,0.3660087719298245
2,0,2971,0.359698275862069
8,2,3051,0.3536016949152543
11,0,3131,0.3477083333333333
12,0,3211,0.34200819672131144
15,0,3291,0.336491935483871
16,0,3371,0.33115079365079364
16,1,3451,0.3259765625
16,0,3531,0.32096153846153846
16,0,3611,0.31609848484848485
16,0,3691,0.3113805970149254
16,1,3771,0.3068014705882353
16,3,3851,0.30235507246376814
16,0,3931,0.29803571428571424
16,0,4011,0.29383802816901405
16,1,4091,0.28975694444444444
16,1,4171,0.28578767123287674
16,0,4251,0.28192567567567567
16,0,4331,0.2781666666666666
16,0,4405,0.2754934210526316
16,0,4482,0.2724025974025974
16,1,4557,0.2697115384615384
16,1,4637,0.2662974683544304
16,0,4717,0.26296875000000003
16,1,4797,0.2597222222222222
15,0,4877,0.25655487804878047
13,0,4957,0.25346385542168676
10,1,5037,0.25044642857142857
7,0,5117,0.24750000000000003
9,1,5197,0.2446220930232558
7,4,5277,0.2418103448275862
5,2,5357,0.2390625
0,0,5437,0.23637640449438202
1,0,5517,0.23374999999999999
0,2,5597,0.2311813186813187
0,2,5677,0.22866847826086958
1,0,5757,0.22620967741935483
0,0,5837,0.22380319148936173
0,0,5917,0.2214473684210526
0,0,5980,0.22135416666666663
1,0,6040,0.22164948453608246
1,0,6100,0.2219387755102041
1,0,6160,0.22222222222222218
2,0,6220,0.2225
5,0,6284,0.2222772277227723
3,0,6345,0.22242647058823525
6,0,6409,0.22220873786407763
9,0,6456,0.22403846153846152
1,0,6498,0.22642857142857145
0,0,6539,0.22889150943396228
0,1,6579,0.2314252336448598
0,0,6619,0.23391203703703703
0,1,6650,0.23738532110091745
0,0,6670,0.24204545454545456
2,1,6691,0.246509009009009
0,1,6711,0.25100446428571427
1,1,6731,0.2554203539823009
4,0,6756,0.25921052631578945
6,0,6785,0.26249999999999996
8,0,6812,0.26594827586206893
2,0,6833,0.26997863247863246
0,0,6853,0.2740466101694915
0,0,6873,0.2780462184873949
