N,L,score,idlePercent
0,0,0,1.0
1,1,0,1.0
3,20,0,1.0
0,19,0,1.0
0,20,20,0.95
0,20,70,0.8600000000000001
1,20,121,0.7983333333333332
1,19,172,0.7542857142857142
1,20,220,0.725
2,20,274,0.6955555555555556
1,20,347,0.653
0,20,421,0.6172727272727274
0,20,494,0.5883333333333333
0,20,569,0.5623076923076924
0,20,641,0.5421428571428571
1,19,716,0.5226666666666666
0,12,787,0.5081249999999999
0,16,859,0.4947058823529412
0,17,932,0.4822222222222222
1,19,1005,0.47105263157894744
1,19,1074,0.4630000000000002
1,20,1148,0.4533333333333333
1,19,1218,0.4463636363636363
0,19,1291,0.438695652173913
0,19,1362,0.43249999999999994
0,20,1434,0.4264
1,18,1507,0.42038461538461547
1,20,1584,0.4133333333333334
0,19,1660,0.40714285714285714
0,15,1733,0.40241379310344827
1,15,1805,0.3983333333333333
0,17,1879,0.3938709677419355
0,19,1952,0.39
1,20,2025,0.38636363636363635
0,18,2098,0.3829411764705883
2,20,2173,0.37914285714285717
0,19,2245,0.37638888888888894
0,19,2306,0.3767567567567568
0,20,2352,0.3810526315789474
0,17,2400,0.38461538461538464
0,20,2444,0.389
0,20,2489,0.39292682926829275
0,20,2536,0.3961904761904763
0,20,2584,0.3990697674418605
2,20,2632,0.40181818181818185
0,20,2682,0.404
1,20,2729,0.40673913043478266
1,20,2776,0.40936170212765965
0,19,2823,0.41187500000000005
1,20,2895,0.4091836734693878
7,20,2969,0.4062000000000001
16,20,3046,0.40274509803921577
20,19,3126,0.39884615384615396
19,19,3184,0.399245283018868
20,14,3222,0.4033333333333333
17,19,3259,0.4074545454545454
20,19,3305,0.40982142857142856
20,20,3341,0.41385964912280704
20,19,3377,0.417758620689655
20,20,3414,0.42135593220338985
19,19,3450,0.4250000000000001
20,20,3491,0.4277049180327868
20,20,3526,0.43129032258064515
19,20,3563,0.4344444444444444
14,20,3597,0.43796875
14,20,3632,0.4412307692307692
14,20,3662,0.4451515151515152
15,19,3696,0.4483582089552239
14,20,3727,0.4519117647058823
19,20,3765,0.4543478260869566
