N,L,score,idlePercent
20,0,0,1.0
20,0,0,1.0
20,0,16,0.9199999999999999
20,0,89,0.7033333333333334
20,0,165,0.5875
20,0,253,0.49400000000000005
20,0,344,0.42666666666666664
20,0,432,0.3828571428571429
20,0,529,0.33875
20,0,629,0.3011111111111111
20,0,729,0.271
20,0,829,0.2463636363636364
20,0,929,0.22583333333333333
20,0,1029,0.20846153846153848
20,0,1129,0.19357142857142856
20,0,1229,0.18066666666666667
20,0,1322,0.17375000000000002
20,0,1418,0.16588235294117648
20,0,1518,0.15666666666666668
20,0,1615,0.15
20,0,1715,0.14250000000000002
20,0,1815,0.13571428571428573
20,0,1915,0.12954545454545455
20,0,2015,0.12391304347826086
20,0,2106,0.12250000000000001
20,0,2203,0.11880000000000004
20,0,2303,0.11423076923076925
20,0,2403,0.10999999999999999
20,0,2503,0.10607142857142857
20,0,2603,0.10241379310344827
20,0,2703,0.099
20,0,2803,0.09580645161290322
20,0,2892,0.09625
20,0,2982,0.09636363636363637
20,0,3053,0.10205882352941176
20,0,3125,0.10714285714285712
20,0,3215,0.10694444444444447
20,0,3309,0.10567567567567568
20,0,3403,0.10447368421052632
20,0,3482,0.10717948717948718
20,0,3560,0.11000000000000003
20,0,3648,0.1102439024390244
20,0,3748,0.10761904761904761
20,0,3848,0.10511627906976746
20,0,3948,0.10272727272727274
20,0,4048,0.10044444444444445
20,0,4148,0.09826086956521739
20,0,4248,0.09617021276595746
20,0,4348,0.09416666666666665
20,0,4435,0.09489795918367347
20,0,4515,0.09700000000000003
20,0,4582,0.10156862745098041
20,0,4661,0.10365384615384617
20,0,4753,0.10320754716981131
20,0,4845,0.10277777777777779
20,0,4899,0.10927272727272726
20,0,4936,0.11857142857142858
20,0,5010,0.12105263157894737
20,0,5108,0.11931034482758622
20,0,5208,0.11728813559322035
20,0,5308,0.11533333333333333
20,0,5408,0.11344262295081964
20,0,5508,0.11161290322580644
20,0,5608,0.10984126984126985
20,0,5708,0.108125
20,0,5808,0.1064615384615385
20,0,5905,0.1053030303030303
20,0,6005,0.10373134328358209
20,0,6105,0.10220588235294117
20,0,6205,0.1007246376811594
20,0,6305,0.09928571428571427
20,0,6405,0.09788732394366198
20,0,6500,0.09722222222222222
20,0,6571,0.09986301369863013
20,0,6626,0.10459459459459461
20,0,6663,0.1116
20,0,6693,0.11934210526315787
20,0,6732,0.12571428571428572
20,0,6771,0.13192307692307692
20,0,6800,0.1392405063291139
20,0,6812,0.14850000000000005
20,0,6848,0.1545679012345679
20,0,6901,0.1584146341463415
20,0,6980,0.15903614457831325
20,0,7075,0.15773809523809526
20,0,7166,0.15694117647058825
20,0,7259,0.1559302325581396
20,0,7351,0.1550574712643678
20,0,7447,0.15375
20,0,7547,0.15202247191011237
20,0,7647,0.15033333333333335
20,0,7747,0.1486813186813187
20,0,7847,0.14706521739130438
20,0,7947,0.1454838709677419
20,0,8036,0.1451063829787234
20,0,8130,0.14421052631578948
20,0,8203,0.14552083333333335
20,0,8271,0.14731958762886596
20,0,8360,0.1469387755102041
20,0,8456,0.14585858585858585
20,0,8553,0.1447
20,0,8647,0.1438613861386139
20,0,8720,0.14509803921568626
20,0,8805,0.14514563106796113
20,0,8901,0.14413461538461542
20,0,9001,0.14276190476190473
20,0,9101,0.14141509433962265
20,0,9201,0.14009345794392522
20,0,9301,0.13879629629629628
20,0,9401,0.13752293577981653
20,0,9501,0.13627272727272727
20,0,9596,0.13549549549549547
20,0,9665,0.1370535714285714
20,0,9739,0.13814159292035397
20,0,9829,0.13780701754385963
20,0,9922,0.13721739130434785
20,0,10016,0.136551724137931
20,0,10097,0.13700854700854698
20,0,10166,0.13847457627118648
20,0,10219,0.14126050420168065
20,0,10309,0.14091666666666666
20,0,10405,0.1400826446280992
20,0,10501,0.13926229508196722
20,0,10597,0.1384552845528455
20,0,10697,0.13733870967741935
20,0,10797,0.13624000000000003
20,0,10888,0.13587301587301587
20,0,10983,0.13519685039370077
20,0,11075,0.13476562499999997
20,0,11173,0.13387596899224807
20,0,11268,0.13323076923076924
20,0,11364,0.13251908396946563
20,0,11448,0.13272727272727272
20,0,11530,0.1330827067669173
20,0,11607,0.13380597014925372
20,0,11700,0.13333333333333336
20,0,11795,0.13272058823529412
20,0,11863,0.13408759124087594
20,0,11934,0.13521739130434784
20,0,12025,0.13489208633093527
20,0,12123,0.1340714285714286
20,0,12214,0.13375886524822697
20,0,12307,0.1333098591549296
20,0,12404,0.1325874125874126
20,0,12504,0.13166666666666665
20,0,12594,0.131448275862069
20,0,12692,0.1306849315068493
20,0,12792,0.12979591836734694
20,0,12884,0.12945945945945944
20,0,12972,0.1293959731543624
20,0,13064,0.12906666666666666
20,0,13159,0.1285430463576159
20,0,13257,0.12782894736842104
20,0,13351,0.12738562091503267
20,0,13451,0.12655844155844156
20,0,13551,0.12574193548387097
20,0,13648,0.12512820512820516
20,0,13743,0.12464968152866243
20,0,13832,0.12455696202531645
20,0,13921,0.12446540880503146
20,0,14002,0.12487500000000003
20,0,14068,0.1262111801242236
20,0,14143,0.12697530864197532
20,0,14213,0.12803680981595095
20,0,14295,0.12835365853658537
20,0,14389,0.12793939393939394
20,0,14472,0.12819277108433738
20,0,14533,0.12976047904191618
20,0,14608,0.13047619047619047
20,0,14698,0.13029585798816565
20,0,14791,0.12994117647058825
20,0,14879,0.1298830409356725
20,0,14973,0.12947674418604652
20,0,15069,0.12895953757225434
20,0,15165,0.128448275862069
20,0,15255,0.12828571428571428
20,0,15353,0.12767045454545456
20,0,15443,0.1275141242937853
20,0,15538,0.12707865168539323
20,0,15631,0.12675977653631287
20,0,15699,0.12783333333333333
20,0,15791,0.12756906077348068
20,0,15869,0.1280769230769231
20,0,15953,0.12825136612021862
20,0,16049,0.12777173913043477
20,0,16147,0.12718918918918923
20,0,16242,0.1267741935483871
20,0,16337,0.12636363636363637
20,0,16432,0.12595744680851065
20,0,16520,0.12592592592592594
20,0,16609,0.12584210526315792
20,0,16704,0.1254450261780105
20,0,16799,0.12505208333333334
20,0,16894,0.12466321243523318
20,0,16988,0.12432989690721649
20,0,17081,0.12405128205128205
20,0,17148,0.12510204081632653
20,0,17190,0.12741116751269035
20,0,17200,0.13131313131313133
20,0,17200,0.135678391959799
20,0,17200,0.13999999999999999
20,0,17255,0.14154228855721393
20,0,17341,0.14153465346534658
20,0,17433,0.1412315270935961
20,0,17529,0.14073529411764707
20,0,17623,0.1403414634146342
20,0,17723,0.13966019417475728
20,0,17823,0.13898550724637682
20,0,17923,0.1383173076923077
20,0,18023,0.1376555023923445
20,0,18123,0.137
20,0,18223,0.13635071090047396
20,0,18323,0.13570754716981132
20,0,18423,0.13507042253521126
20,0,18523,0.1344392523364486
20,0,18610,0.1344186046511628
20,0,18691,0.13467592592592595
20,0,18760,0.1354838709677419
20,0,18831,0.1361926605504587
20,0,18900,0.13698630136986298
20,0,18970,0.13772727272727275
20,0,19043,0.1383257918552036
20,0,19118,0.1388288288288288
20,0,19190,0.1394618834080717
20,0,19266,0.13991071428571428
20,0,19351,0.1399555555555556
20,0,19445,0.13960176991150441
20,0,19542,0.13911894273127753
20,0,19634,0.13885964912280702
20,0,19708,0.13938864628820963
20,0,19777,0.1401304347826087
20,0,19817,0.14212121212121215
20,0,19854,0.1442241379310345
20,0,19924,0.14489270386266093
20,0,19991,0.14568376068376065
20,0,20069,0.146
20,0,20164,0.1455932203389831
20,0,20238,0.14607594936708862
20,0,20328,0.14588235294117644
20,0,20428,0.14527196652719668
20,0,20528,0.14466666666666667
20,0,20628,0.14406639004149374
20,0,20728,0.1434710743801653
20,0,20828,0.142880658436214
20,0,20925,0.14241803278688525
20,0,21020,0.1420408163265306
20,0,21111,0.14182926829268291
20,0,21199,0.14174089068825912
20,0,21294,0.14137096774193547
20,0,21389,0.14100401606425703
20,0,21484,0.14064
20,0,21569,0.14067729083665337
20,0,21662,0.14039682539682538
20,0,21755,0.1401185770750988
20,0,21813,0.14122047244094488
20,0,21859,0.14278431372549022
20,0,21928,0.14343750000000002
20,0,22015,0.1433852140077821
20,0,22103,0.14329457364341086
20,0,22196,0.14301158301158304
20,0,22283,0.1429615384615385
20,0,22363,0.14318007662835247
20,0,22437,0.14362595419847327
20,0,22519,0.1437642585551331
20,0,22613,0.1434469696969697
20,0,22708,0.1430943396226415
20,0,22800,0.14285714285714285
20,0,22888,0.14277153558052436
20,0,22966,0.14305970149253727
20,0,23034,0.1437174721189591
20,0,23106,0.1442222222222222
20,0,23180,0.1446494464944649
20,0,23254,0.1450735294117647
20,0,23333,0.1453113553113553
20,0,23422,0.1451824817518248
20,0,23492,0.14574545454545457
20,0,23581,0.14561594202898548
20,0,23674,0.1453429602888087
20,0,23768,0.14503597122302153
20,0,23864,0.14465949820788532
20,0,23958,0.14435714285714282
20,0,24042,0.14441281138790035
20,0,24120,0.14468085106382983
20,0,24192,0.1451590106007067
20,0,24261,0.1457394366197183
20,0,24339,0.14600000000000002
20,0,24399,0.1468881118881119
20,0,24485,0.14686411149825782
20,0,24579,0.14656249999999998
20,0,24679,0.1460553633217993
20,0,24776,0.14565517241379308
20,0,24871,0.14532646048109965
20,0,24966,0.14499999999999996
20,0,25061,0.14467576791808873
20,0,25156,0.14435374149659866
20,0,25251,0.14403389830508476
20,0,25346,0.1437162162162162
20,0,25441,0.1434006734006734
20,0,25536,0.14308724832214767
