N,L,score,idlePercent
0,0,3,1.0
0,0,61,0.42000000000000004
0,0,136,0.335
0,0,231,0.24000000000000005
0,0,327,0.19
0,0,420,0.16600000000000004
0,0,520,0.13833333333333336
0,0,600,0.1471428571428571
0,0,675,0.15999999999999998
0,0,720,0.2033333333333333
0,0,785,0.21800000000000003
0,0,875,0.20727272727272728
0,0,975,0.19000000000000003
0,0,1060,0.18692307692307694
0,0,1150,0.18071428571428574
0,0,1235,0.1786666666666667
0,0,1315,0.18
0,0,1410,0.17235294117647065
0,0,1465,0.1877777777777778
0,0,1535,0.1936842105263158
0,0,1605,0.19899999999999998
0,0,1660,0.21095238095238095
0,0,1740,0.21045454545454545
0,0,1817,0.21130434782608698
0,0,1887,0.215
0,0,1977,0.21040000000000006
0,0,2072,0.20423076923076922
0,0,2160,0.2011111111111111
0,0,2251,0.19714285714285715
0,0,2331,0.19724137931034486
0,0,2406,0.19899999999999998
0,0,2501,0.19419354838709676
0,0,2596,0.18968749999999995
0,0,2677,0.1896969696969697
0,0,2732,0.19735294117647056
0,0,2812,0.19742857142857145
0,0,2907,0.19333333333333333
0,0,3002,0.18945945945945947
0,0,3093,0.18684210526315792
0,0,3178,0.18589743589743593
0,0,3253,0.18750000000000006
0,0,3348,0.18414634146341466
0,0,3443,0.18095238095238095
0,0,3488,0.18953488372093025
0,0,3553,0.19318181818181818
0,0,3623,0.19555555555555557
0,0,3718,0.1923913043478261
0,0,3813,0.1893617021276596
0,0,3880,0.1922916666666667
0,0,3966,0.19122448979591838
0,0,4061,0.18840000000000004
0,0,4156,0.1856862745098039
0,0,4246,0.18403846153846154
0,0,4311,0.18716981132075475
0,0,4376,0.1901851851851852
0,0,4471,0.18763636363636366
0,0,4566,0.18517857142857141
0,0,4656,0.1836842105263158
0,0,4731,0.18482758620689652
0,0,4769,0.19220338983050847
0,0,4864,0.1898333333333333
0,0,4949,0.18918032786885247
0,0,5024,0.1901612903225806
0,0,5114,0.18873015873015872
0,0,5184,0.19046875000000002
0,0,5279,0.18830769230769231
0,0,5369,0.186969696969697
0,0,5454,0.18641791044776118
0,0,5534,0.18661764705882353
0,0,5600,0.18884057971014498
0,0,5675,0.18971428571428567
0,0,5747,0.19098591549295774
0,0,5832,0.19041666666666668
0,0,5927,0.1884931506849315
0,0,6022,0.18662162162162166
0,0,6117,0.18480000000000002
0,0,6175,0.18789473684210525
0,0,6220,0.1925974025974026
0,0,6281,0.1951282051282051
0,0,6376,0.19329113924050634
0,0,6471,0.19149999999999998
0,0,6561,0.19037037037037038
0,0,6646,0.18987804878048786
0,0,6733,0.1891566265060241
0,0,6828,0.1875
0,0,6908,0.1876470588235294
0,0,7003,0.18604651162790697
0,0,7083,0.18620689655172415
0,0,7178,0.18465909090909094
0,0,7273,0.1831460674157303
0,0,7353,0.18333333333333332
0,0,7438,0.18296703296703298
0,0,7533,0.18152173913043476
0,0,7620,0.18096774193548387
0,0,7683,0.1829787234042553
0,0,7753,0.1842105263157895
0,0,7843,0.18333333333333338
0,0,7938,0.18195876288659796
0,0,8033,0.18061224489795918
0,0,8113,0.1808080808080808
0,0,8198,0.1805
0,0,8293,0.17920792079207928
0,0,8388,0.1779411764705882
0,0,8473,0.17766990291262136
0,0,8523,0.18076923076923074
0,0,8603,0.18095238095238098
0,0,8698,0.1797169811320755
0,0,8793,0.17850467289719626
0,0,8888,0.1773148148148148
0,0,8958,0.1784403669724771
0,0,9053,0.1772727272727273
0,0,9148,0.17612612612612616
0,0,9243,0.175
0,0,9338,0.17389380530973453
0,0,9408,0.175
0,0,9503,0.17391304347826086
0,0,9593,0.17327586206896553
0,0,9688,0.1722222222222222
0,0,9783,0.1711864406779661
0,0,9865,0.17126050420168065
0,0,9950,0.17108333333333334
0,0,10035,0.1709090909090909
0,0,10130,0.16991803278688525
0,0,10205,0.1705691056910569
0,0,10285,0.1708064516129032
0,0,10357,0.17168
0,0,10452,0.17071428571428568
0,0,10547,0.16976377952755906
0,0,10632,0.169609375
0,0,10692,0.1713953488372093
0,0,10745,0.17369230769230767
0,0,10817,0.17450381679389315
0,0,10912,0.1735606060606061
0,0,11007,0.17263157894736844
0,0,11077,0.1735820895522388
