N,L,score,idlePercent
0,0,0,1.0
0,0,0,1.0
1,2,15,0.9249999999999998
0,1,45,0.85
1,0,95,0.7625
0,0,145,0.71
0,0,195,0.675
0,2,244,0.6514285714285714
0,0,294,0.6325000000000001
0,0,354,0.6066666666666667
1,0,429,0.571
9,0,515,0.5318181818181819
20,1,612,0.49000000000000005
18,1,711,0.45307692307692304
15,0,808,0.42285714285714276
20,0,903,0.398
20,1,998,0.37625
19,0,1093,0.35705882352941176
20,0,1189,0.33944444444444444
20,2,1278,0.32736842105263164
20,0,1377,0.31149999999999994
20,0,1477,0.2966666666666667
20,0,1577,0.28318181818181815
20,0,1677,0.27086956521739125
20,0,1770,0.2625
19,1,1863,0.2548
20,0,1960,0.24615384615384617
19,2,2054,0.23925925925925934
11,1,2136,0.2371428571428571
10,0,2224,0.2331034482758621
8,0,2313,0.22900000000000004
9,1,2404,0.2245161290322581
6,1,2504,0.21750000000000003
7,0,2588,0.21575757575757576
6,0,2665,0.21617647058823528
5,0,2739,0.21742857142857144
13,0,2830,0.21388888888888888
12,1,2928,0.20864864864864865
10,5,3026,0.20368421052631583
9,12,3125,0.19871794871794873
5,14,3225,0.19375000000000003
7,14,3325,0.18902439024390247
5,14,3425,0.18452380952380956
5,11,3507,0.18441860465116278
10,10,3593,0.18340909090909094
14,6,3685,0.18111111111111114
17,3,3778,0.17869565217391303
13,6,3865,0.1776595744680851
14,3,3962,0.17458333333333334
18,4,4062,0.1710204081632653
20,5,4152,0.16960000000000003
20,5,4238,0.16901960784313724
20,12,4325,0.16826923076923078
19,12,4418,0.16641509433962265
20,15,4514,0.1640740740740741
20,15,4608,0.16218181818181815
20,16,4705,0.15982142857142861
19,9,4804,0.15719298245614036
16,9,4904,0.15448275862068966
13,12,5004,0.151864406779661
15,14,5087,0.15216666666666673
20,19,5186,0.14983606557377047
20,20,5286,0.14741935483870972
20,20,5386,0.14507936507936509
20,20,5477,0.14421875
20,19,5572,0.14276923076923073
20,19,5659,0.14257575757575755
20,19,5748,0.14208955223880598
20,20,5844,0.14058823529411765
20,20,5944,0.13855072463768117
20,18,6044,0.1365714285714286
20,14,6132,0.13633802816901414
20,15,6229,0.13486111111111113
20,20,6329,0.13301369863013696
20,20,6429,0.1312162162162162
20,20,6529,0.12946666666666667
20,19,6618,0.1292105263157895
20,20,6708,0.12883116883116885
20,20,6793,0.1291025641025641
20,20,6893,0.12746835443037977
20,20,6993,0.12587500000000001
19,20,7083,0.12555555555555556
20,19,7183,0.12402439024390247
19,19,7276,0.12337349397590362
14,19,7365,0.12321428571428568
19,19,7462,0.12211764705882351
14,19,7549,0.12220930232558136
16,18,7607,0.12563218390804598
16,20,7697,0.12534090909090911
10,20,7787,0.12505617977528088
16,20,7887,0.12366666666666667
15,20,7987,0.12230769230769227
20,20,8087,0.1209782608695652
20,19,8187,0.11967741935483873
19,15,8279,0.1192553191489362
19,16,8377,0.11821052631578946
19,15,8468,0.11791666666666667
