N,L,score,idlePercent
0,0,0,1.0
0,1,8,0.9200000000000002
0,1,97,0.5149999999999999
0,2,197,0.3433333333333333
1,0,297,0.25749999999999995
0,1,391,0.2180000000000001
0,0,440,0.26666666666666666
0,1,535,0.2357142857142857
1,0,635,0.20625
6,0,735,0.18333333333333335
12,1,810,0.19000000000000006
11,0,892,0.18909090909090912
0,0,988,0.17666666666666667
0,0,1088,0.1630769230769231
0,0,1173,0.16214285714285712
0,0,1245,0.16999999999999998
0,0,1325,0.17187500000000003
0,0,1425,0.16176470588235295
1,1,1525,0.15277777777777776
0,0,1604,0.15578947368421053
1,0,1690,0.155
1,1,1790,0.14761904761904762
0,0,1885,0.1431818181818182
0,1,1985,0.13695652173913042
0,2,2059,0.14208333333333328
0,0,2139,0.14440000000000003
1,1,2237,0.13961538461538459
0,0,2337,0.13444444444444442
1,0,2428,0.13285714285714284
0,0,2500,0.13793103448275862
0,1,2575,0.14166666666666666
0,0,2650,0.14516129032258066
0,1,2750,0.140625
0,4,2827,0.1433333333333333
2,1,2905,0.14558823529411763
6,1,2976,0.14971428571428574
3,7,3061,0.14972222222222223
7,4,3155,0.1472972972972973
10,0,3255,0.14342105263157895
9,1,3344,0.14256410256410257
4,0,3434,0.14150000000000001
9,0,3529,0.13926829268292687
1,0,3619,0.13833333333333334
0,0,3710,0.1372093023255814
0,0,3760,0.14545454545454545
0,0,3815,0.15222222222222223
2,0,3870,0.15869565217391302
0,0,3930,0.16382978723404257
0,0,4030,0.16041666666666668
3,0,4111,0.1610204081632653
5,0,4196,0.16080000000000005
9,1,4284,0.15999999999999998
9,0,4364,0.16076923076923072
14,0,4459,0.15867924528301888
14,1,4554,0.15666666666666665
14,1,4645,0.15545454545454546
14,3,4719,0.15732142857142856
5,5,4814,0.1554385964912281
5,0,4914,0.15275862068965518
10,1,5006,0.15152542372881359
6,1,5106,0.14900000000000002
1,6,5175,0.15163934426229506
7,7,5259,0.1517741935483871
4,4,5346,0.1514285714285714
9,4,5441,0.14984375
10,5,5532,0.14892307692307694
6,13,5620,0.14848484848484847
0,19,5720,0.14626865671641792
0,19,5810,0.14558823529411763
0,20,5909,0.1436231884057971
1,20,6005,0.14214285714285715
0,17,6092,0.14197183098591548
0,19,6178,0.14194444444444443
1,20,6250,0.14383561643835618
0,19,6339,0.14337837837837836
1,20,6414,0.14479999999999998
0,20,6514,0.14289473684210524
1,18,6606,0.14207792207792208
0,20,6665,0.1455128205128205
0,19,6764,0.14379746835443039
0,20,6864,0.14200000000000002
0,19,6964,0.1402469135802469
0,18,7055,0.13963414634146348
1,15,7143,0.13939759036144578
0,20,7204,0.14238095238095236
0,19,7304,0.14070588235294118
1,18,7404,0.13906976744186045
0,20,7504,0.13747126436781612
2,20,7604,0.13590909090909092
0,20,7676,0.13752808988764043
0,20,7748,0.13911111111111113
1,20,7827,0.13989010989010983
8,20,7927,0.1383695652173913
10,20,8022,0.13741935483870968
5,19,8095,0.13882978723404255
6,20,8163,0.14073684210526313
9,20,8255,0.14010416666666667
15,20,8355,0.13865979381443294
13,19,8443,0.13846938775510206
15,20,8537,0.13767676767676768
16,19,8627,0.13730000000000003
16,20,8727,0.135940594059406
18,20,8822,0.13509803921568625
20,20,8905,0.1354368932038835
20,20,8992,0.13538461538461535
20,18,9092,0.1340952380952381
20,18,9188,0.13320754716981134
20,13,9278,0.13289719626168223
20,5,9365,0.13287037037037036
20,5,9447,0.133302752293578
19,6,9537,0.13299999999999998
20,11,9630,0.1324324324324324
20,14,9708,0.13321428571428567
20,14,9804,0.13238938053097343
20,15,9885,0.13289473684210523
20,13,9985,0.1317391304347826
20,8,10058,0.13293103448275861
20,4,10145,0.13290598290598288
20,1,10242,0.13203389830508475
20,0,10342,0.13092436974789914
18,1,10442,0.12983333333333333
20,0,10495,0.13264462809917354
19,1,10580,0.13278688524590165
16,0,10680,0.13170731707317077
9,0,10780,0.13064516129032258
17,0,10869,0.13047999999999998
19,0,10929,0.13261904761904758
20,1,11020,0.13228346456692913
20,1,11115,0.131640625
19,0,11215,0.1306201550387597
19,0,11296,0.13107692307692306
15,0,11371,0.13198473282442746
20,0,11471,0.13098484848484845
19,1,11571,0.12999999999999998
20,1,11664,0.12955223880597017
19,7,11732,0.13096296296296298
20,5,11828,0.1302941176470588
20,1,11928,0.12934306569343065
20,0,12028,0.12840579710144925
20,0,12110,0.12877697841726618
19,0,12189,0.12935714285714284
20,1,12276,0.12936170212765957
20,0,12372,0.12873239436619718
19,0,12445,0.12972027972027975
19,2,12511,0.13118055555555555
14,5,12594,0.13144827586206898
13,8,12683,0.13130136986301372
11,10,12764,0.13170068027210885
17,12,12858,0.1312162162162162
13,6,12939,0.13161073825503355
11,9,13025,0.13166666666666665
14,5,13125,0.13079470198675497
14,6,13217,0.13046052631578947
15,5,13313,0.12986928104575163
2,18,13392,0.1303896103896104
0,20,13464,0.13135483870967743
0,20,13543,0.13185897435897434
0,20,13631,0.13178343949044585
0,20,13709,0.1323417721518987
0,19,13806,0.13169811320754718
1,20,13901,0.1311875
0,19,13996,0.1306832298136646
1,19,14067,0.13166666666666665
0,14,14147,0.13208588957055217
0,13,14215,0.13323170731707318
0,18,14290,0.13393939393939394
0,19,14362,0.13481927710843372
1,19,14425,0.13622754491017963
0,13,14494,0.13726190476190472
0,7,14569,0.13792899408284026
2,1,14641,0.13876470588235296
1,1,14716,0.1394152046783626
1,1,14787,0.1402906976744186
0,1,14876,0.1401156069364162
0,6,14975,0.13936781609195403
0,20,15075,0.13857142857142857
0,20,15161,0.13857954545454548
0,18,15252,0.1383050847457627
0,20,15349,0.13769662921348316
1,20,15426,0.1382122905027933
6,20,15524,0.13755555555555557
10,20,15624,0.13679558011049725
16,20,15724,0.136043956043956
8,20,15815,0.13579234972677595
12,20,15909,0.1353804347826087
9,18,15988,0.13578378378378378
11,18,16084,0.13526881720430106
12,20,16182,0.1346524064171123
15,20,16255,0.1353723404255319
20,19,16331,0.1359259259259259
19,20,16371,0.13836842105263156
15,20,16461,0.1381675392670157
11,20,16539,0.13859375000000002
12,19,16620,0.138860103626943
9,20,16686,0.1398969072164948
6,20,16736,0.14174358974358975
5,19,16826,0.14153061224489796
10,19,16926,0.1408121827411167
13,20,17025,0.14015151515151514
7,20,17087,0.14135678391959802
4,20,17139,0.14304999999999998
12,20,17217,0.14343283582089555
18,20,17313,0.14292079207920794
19,20,17409,0.14241379310344832
20,19,17496,0.14235294117647052
19,20,17584,0.1422439024390244
19,20,17667,0.142378640776699
19,19,17764,0.1418357487922705
20,20,17845,0.1420673076923077
20,19,17938,0.1417224880382775
20,19,18038,0.14104761904761906
20,20,18135,0.140521327014218
20,20,18222,0.14047169811320753
19,19,18318,0.13999999999999996
18,19,18395,0.14042056074766357
10,20,18492,0.13990697674418603
2,19,18584,0.13962962962962963
1,20,18660,0.14009216589861753
1,20,18756,0.13963302752293583
8,20,18856,0.13899543378995433
17,20,18935,0.1393181818181818
20,18,19021,0.13932126696832575
20,20,19103,0.13950450450450452
19,20,19201,0.13896860986547088
18,19,19281,0.13924107142857142
20,17,19373,0.13897777777777778
20,20,19444,0.13964601769911505
19,20,19539,0.13925110132158586
20,19,19600,0.14035087719298242
19,19,19691,0.14013100436681225
19,20,19783,0.1398695652173913
20,20,19874,0.1396536796536797
19,19,19953,0.13995689655172414
20,20,20017,0.14090128755364806
20,20,20095,0.14123931623931618
20,20,20190,0.1408510638297872
19,19,20278,0.14076271186440675
20,20,20367,0.14063291139240505
20,20,20465,0.140126050420168
20,20,20549,0.14020920502092052
20,20,20648,0.13966666666666666
20,20,20737,0.13954356846473023
19,20,20837,0.13896694214876032
10,20,20937,0.13839506172839508
14,19,21029,0.138155737704918
19,20,21119,0.13799999999999998
19,18,21219,0.1374390243902439
16,20,21309,0.1372874493927125
14,18,21380,0.13790322580645162
12,17,21450,0.13855421686746983
16,12,21527,0.13892000000000004
14,16,21608,0.13912350597609563
17,19,21705,0.13869047619047614
20,20,21791,0.13869565217391305
19,19,21877,0.13870078740157482
20,20,21970,0.1384313725490196
20,20,22061,0.1382421875
20,19,22161,0.13770428015564198
20,20,22261,0.13717054263565892
19,20,22358,0.13675675675675675
14,18,22442,0.13684615384615384
16,19,22512,0.13747126436781607
19,20,22612,0.13694656488549622
17,20,22712,0.13642585551330796
20,18,22793,0.1366287878787879
20,18,22867,0.13709433962264156
20,20,22962,0.1367669172932331
20,19,23060,0.1363295880149813
19,19,23160,0.13582089552238802
20,20,23257,0.1354275092936803
20,20,23307,0.13677777777777778
19,20,23384,0.13712177121771219
20,19,23484,0.13661764705882354
19,17,23584,0.13611721611721608
19,20,23683,0.13565693430656933
20,20,23763,0.1358909090909091
20,18,23836,0.1363768115942029
19,20,23914,0.13667870036101085
20,20,23994,0.1369064748201439
20,19,24091,0.13652329749103945
18,19,24186,0.13621428571428568
20,19,24260,0.13665480427046267
19,20,24350,0.13652482269503546
20,19,24447,0.1361484098939929
20,19,24521,0.1365845070422535
