N,L,score,idlePercent
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,0,1.0
20,0,22,0.9884210526315791
20,0,75,0.9625
20,0,155,0.9261904761904762
20,0,246,0.8881818181818183
20,0,340,0.8521739130434781
20,0,438,0.8174999999999999
20,0,537,0.7852
20,0,635,0.755769230769231
20,0,730,0.7296296296296296
20,0,821,0.7067857142857142
20,0,919,0.6831034482758621
20,0,1017,0.6610000000000001
20,0,1116,0.64
20,0,1216,0.6199999999999999
20,0,1316,0.6012121212121212
20,0,1416,0.5835294117647057
20,0,1516,0.5668571428571428
20,0,1616,0.551111111111111
20,0,1716,0.5362162162162163
20,0,1816,0.5221052631578946
20,0,1916,0.5087179487179487
20,0,2016,0.4959999999999999
20,0,2116,0.48390243902439023
20,0,2216,0.4723809523809524
20,0,2316,0.46139534883720934
20,0,2416,0.45090909090909087
20,0,2516,0.4408888888888889
20,0,2616,0.43130434782608684
20,0,2716,0.4221276595744682
20,0,2816,0.4133333333333333
20,0,2916,0.40489795918367344
20,0,3016,0.39680000000000004
20,0,3116,0.3890196078431372
20,0,3216,0.3815384615384615
20,0,3316,0.37433962264150944
20,0,3410,0.3685185185185184
20,0,3491,0.3652727272727273
20,0,3577,0.36124999999999996
20,0,3642,0.3610526315789474
20,0,3712,0.36
20,0,3782,0.35898305084745763
20,0,3850,0.3583333333333334
20,0,3921,0.3572131147540983
20,0,3990,0.3564516129032258
20,0,4057,0.35603174603174603
20,0,4125,0.35546874999999994
20,0,4192,0.35507692307692307
20,0,4265,0.35378787878787876
20,0,4328,0.3540298507462686
20,0,4367,0.3577941176470588
20,0,4417,0.3598550724637681
20,0,4481,0.35985714285714276
20,0,4545,0.35985915492957754
20,0,4613,0.3593055555555556
20,0,4680,0.35890410958904106
20,0,4744,0.3589189189189189
20,0,4813,0.3582666666666667
20,0,4889,0.3567105263157895
20,0,4958,0.3561038961038961
20,0,5028,0.35538461538461535
20,0,5098,0.3546835443037975
20,0,5175,0.353125
20,0,5246,0.3523456790123457
20,0,5323,0.3508536585365854
20,0,5393,0.35024096385542175
20,0,5471,0.34869047619047616
20,0,5542,0.348
20,0,5593,0.34965116279069763
20,0,5622,0.3537931034482759
20,0,5656,0.35727272727272724
20,0,5689,0.3607865168539327
20,0,5722,0.3642222222222222
20,0,5755,0.36758241758241755
20,0,5787,0.37097826086956526
20,0,5826,0.3735483870967742
20,0,5858,0.37680851063829784
20,0,5887,0.3803157894736842
20,0,5924,0.3829166666666667
20,0,5956,0.3859793814432989
20,0,5988,0.3889795918367348
20,0,6000,0.3939393939393939
20,0,6000,0.39999999999999997
20,0,6000,0.40594059405940597
20,0,6000,0.4117647058823529
20,0,6000,0.4174757281553398
20,0,6015,0.42163461538461544
20,0,6046,0.4241904761904761
20,0,6093,0.4251886792452829
20,0,6156,0.4246728971962616
20,0,6226,0.4235185185185185
20,0,6299,0.4221100917431192
20,0,6370,0.4209090909090909
20,0,6443,0.41954954954954954
20,0,6525,0.4174107142857143
20,0,6600,0.415929203539823
20,0,6673,0.4146491228070176
20,0,6743,0.41365217391304343
20,0,6812,0.41275862068965524
20,0,6887,0.4113675213675213
20,0,6972,0.4091525423728813
20,0,7066,0.40621848739495797
20,0,7159,0.40341666666666665
20,0,7253,0.4005785123966942
20,0,7345,0.3979508196721312
20,0,7440,0.3951219512195122
20,0,7539,0.392016129032258
20,0,7637,0.38903999999999994
20,0,7737,0.38595238095238094
20,0,7834,0.3831496062992125
20,0,7930,0.38046874999999997
20,0,8030,0.3775193798449613
20,0,8125,0.3749999999999999
20,0,8222,0.37236641221374045
20,0,8322,0.36954545454545457
20,0,8422,0.3667669172932331
20,0,8522,0.3640298507462686
20,0,8602,0.36281481481481487
20,0,8665,0.3628676470588235
20,0,8736,0.36233576642335763
20,0,8807,0.3618115942028986
20,0,8875,0.36151079136690645
20,0,8941,0.3613571428571428
20,0,9003,0.36148936170212764
20,0,9063,0.36176056338028173
20,0,9133,0.3613286713286713
20,0,9209,0.3604861111111112
20,0,9280,0.36
20,0,9357,0.3591095890410959
20,0,9437,0.35802721088435374
20,0,9515,0.3570945945945946
20,0,9591,0.35630872483221476
20,0,9634,0.35773333333333324
20,0,9667,0.35980132450331126
20,0,9706,0.36144736842105263
20,0,9760,0.3620915032679738
20,0,9819,0.3624025974025974
20,0,9880,0.36258064516129035
20,0,9944,0.36256410256410254
20,0,10015,0.36210191082802556
20,0,10092,0.36126582278481
20,0,10164,0.3607547169811321
20,0,10238,0.3601249999999999
20,0,10305,0.3599378881987577
20,0,10387,0.3588271604938271
20,0,10478,0.3571779141104293
20,0,10574,0.3552439024390243
20,0,10669,0.35339393939393937
20,0,10764,0.35156626506024097
20,0,10859,0.34976047904191615
20,0,10955,0.3479166666666667
20,0,11051,0.3460946745562131
20,0,11148,0.3442352941176471
20,0,11246,0.3423391812865496
20,0,11342,0.34058139534883725
20,0,11442,0.3386127167630058
20,0,11542,0.3366666666666666
20,0,11642,0.3347428571428572
20,0,11742,0.3328409090909091
20,0,11842,0.3309604519774011
20,0,11942,0.32910112359550564
20,0,12042,0.3272625698324022
20,0,12142,0.3254444444444445
20,0,12242,0.323646408839779
20,0,12342,0.3218681318681319
20,0,12442,0.32010928961748636
20,0,12542,0.3183695652173912
20,0,12642,0.3166486486486486
20,0,12742,0.31494623655913984
20,0,12839,0.31342245989304807
20,0,12920,0.3127659574468085
20,0,13009,0.3116931216931217
20,0,13104,0.31031578947368427
20,0,13201,0.308848167539267
20,0,13300,0.30729166666666663
20,0,13400,0.30569948186528495
20,0,13500,0.30412371134020616
20,0,13600,0.30256410256410254
20,0,13700,0.3010204081632653
20,0,13776,0.30071065989847723
20,0,13842,0.3009090909090909
20,0,13912,0.3009045226130652
20,0,13982,0.3009
20,0,14049,0.301044776119403
20,0,14117,0.3011386138613862
20,0,14183,0.3013300492610837
20,0,14256,0.30117647058823527
20,0,14325,0.30121951219512205
20,0,14392,0.3013592233009709
20,0,14443,0.30227053140096605
20,0,14483,0.303701923076923
20,0,14523,0.3051196172248804
20,0,14559,0.3067142857142857
20,0,14593,0.308388625592417
20,0,14628,0.30999999999999994
20,0,14661,0.31169014084507035
20,0,14695,0.3133177570093458
20,0,14730,0.31488372093023254
20,0,14768,0.31629629629629624
20,0,14802,0.3178801843317972
20,0,14835,0.3194954128440367
20,0,14869,0.3210502283105023
20,0,14906,0.32245454545454544
20,0,14942,0.32389140271493205
20,0,14978,0.32531531531531527
20,0,15000,0.3273542600896861
20,0,15000,0.3303571428571428
20,0,15000,0.33333333333333337
20,0,15000,0.336283185840708
20,0,15000,0.33920704845814975
20,0,15010,0.3416666666666667
20,0,15042,0.34314410480349344
20,0,15077,0.34447826086956523
20,0,15134,0.34484848484848485
20,0,15220,0.3439655172413793
20,0,15312,0.3428326180257511
20,0,15412,0.34136752136752124
20,0,15512,0.33991489361702126
20,0,15612,0.3384745762711864
20,0,15712,0.33704641350210973
20,0,15812,0.33563025210084024
20,0,15912,0.3342259414225942
20,0,16012,0.33283333333333326
20,0,16112,0.3314522821576763
20,0,16212,0.33008264462809916
20,0,16312,0.32872427983539093
20,0,16412,0.32737704918032795
20,0,16512,0.3260408163265306
20,0,16612,0.3247154471544716
20,0,16712,0.3234008097165991
20,0,16812,0.32209677419354843
20,0,16912,0.3208032128514057
20,0,17012,0.31952
20,0,17112,0.31824701195219124
20,0,17212,0.3169841269841269
20,0,17312,0.31573122529644265
20,0,17412,0.31448818897637787
20,0,17512,0.3132549019607843
20,0,17612,0.31203125000000004
20,0,17712,0.310817120622568
20,0,17812,0.3096124031007753
20,0,17912,0.30841698841698845
20,0,18012,0.30723076923076925
20,0,18112,0.30605363984674333
20,0,18212,0.3048854961832061
20,0,18312,0.30372623574144486
20,0,18412,0.3025757575757576
20,0,18512,0.3014339622641508
20,0,18612,0.30030075187969923
20,0,18689,0.3000374531835206
20,0,18777,0.29936567164179106
20,0,18868,0.29858736059479557
20,0,18915,0.29944444444444435
20,0,18978,0.29970479704797054
20,0,19044,0.2998529411764706
20,0,19112,0.2999267399267399
20,0,19148,0.3011678832116788
20,0,19189,0.3022181818181818
20,0,19253,0.3024275362318841
20,0,19324,0.30238267148014447
20,0,19398,0.30223021582733817
20,0,19473,0.3020430107526882
20,0,19543,0.3020357142857143
20,0,19610,0.302135231316726
20,0,19676,0.30226950354609927
20,0,19747,0.302226148409894
20,0,19833,0.30165492957746476
20,0,19926,0.30084210526315786
20,0,20023,0.29989510489510485
20,0,20122,0.2988850174216028
20,0,20221,0.29788194444444444
20,0,20321,0.29685121107266443
20,0,20421,0.29582758620689653
20,0,20521,0.2948109965635738
20,0,20621,0.29380136986301364
20,0,20721,0.2927986348122867
20,0,20821,0.2918027210884353
20,0,20921,0.2908135593220339
20,0,21021,0.2898310810810811
20,0,21121,0.28885521885521886
20,0,21221,0.2878859060402684
20,0,21321,0.28692307692307695
20,0,21421,0.2859666666666667
20,0,21521,0.28501661129568107
20,0,21621,0.28407284768211916
20,0,21698,0.28389438943894385
20,0,21785,0.28338815789473687
