N,L,score,idlePercent
0,0,0,1.0
0,0,73,0.2700000000000001
0,0,173,0.13500000000000004
0,0,273,0.09
0,0,373,0.06750000000000002
0,0,430,0.14000000000000004
0,0,520,0.13333333333333333
0,0,620,0.11428571428571425
0,0,720,0.1
0,0,800,0.11111111111111109
0,0,880,0.12000000000000002
0,0,980,0.10909090909090909
0,0,1080,0.1
0,0,1175,0.09615384615384617
0,0,1240,0.11428571428571425
0,0,1315,0.12333333333333334
0,0,1390,0.13124999999999998
0,0,1490,0.12352941176470592
0,0,1580,0.12222222222222223
0,0,1680,0.11578947368421053
0,0,1780,0.11000000000000001
0,0,1870,0.10952380952380954
0,0,1960,0.1090909090909091
0,0,2060,0.10434782608695652
0,0,2160,0.1
0,0,2240,0.10400000000000001
0,0,2340,0.09999999999999998
0,0,2430,0.09999999999999999
0,0,2530,0.09642857142857142
0,0,2630,0.09310344827586206
0,0,2715,0.095
0,0,2805,0.09516129032258067
0,0,2905,0.09218749999999999
0,0,3005,0.08939393939393943
0,0,3095,0.08970588235294116
0,0,3170,0.09428571428571428
0,0,3270,0.09166666666666665
0,0,3370,0.08918918918918921
0,0,3455,0.09078947368421053
0,0,3520,0.09743589743589742
0,0,3595,0.10124999999999999
0,0,3695,0.09878048780487805
0,0,3795,0.09642857142857143
0,0,3880,0.09767441860465118
0,0,3975,0.09659090909090909
0,0,4070,0.09555555555555555
0,0,4170,0.09347826086956522
0,0,4270,0.09148936170212765
0,0,4350,0.09375
0,0,4440,0.09387755102040816
0,0,4540,0.09200000000000001
0,0,4635,0.09117647058823529
0,0,4730,0.09038461538461538
0,0,4800,0.09433962264150943
0,0,4895,0.0935185185185185
0,0,4995,0.09181818181818178
0,0,5080,0.09285714285714285
0,0,5175,0.09210526315789473
0,0,5245,0.09568965517241378
0,0,5325,0.09745762711864406
0,0,5415,0.09750000000000003
0,0,5490,0.1
0,0,5575,0.10080645161290325
0,0,5660,0.1015873015873016
0,0,5740,0.103125
0,0,5840,0.10153846153846154
0,0,5930,0.10151515151515152
0,0,6015,0.10223880597014925
0,0,6085,0.10514705882352941
0,0,6135,0.1108695652173913
0,0,6210,0.11285714285714285
0,0,6310,0.11126760563380281
0,0,6405,0.11041666666666665
0,0,6505,0.1089041095890411
0,0,6600,0.10810810810810811
0,0,6675,0.10999999999999999
0,0,6750,0.1118421052631579
0,0,6840,0.11168831168831168
0,0,6930,0.11153846153846156
0,0,7025,0.11075949367088607
0,0,7110,0.11125
0,0,7180,0.11358024691358024
0,0,7280,0.11219512195121954
0,0,7365,0.11265060240963858
0,0,7465,0.11130952380952383
0,0,7555,0.1111764705882353
0,0,7655,0.10988372093023258
0,0,7750,0.10919540229885058
0,0,7850,0.10795454545454548
0,0,7950,0.10674157303370786
0,0,8005,0.11055555555555556
0,0,8090,0.110989010989011
0,0,8185,0.11032608695652173
0,0,8285,0.10913978494623658
0,0,8370,0.10957446808510637
0,0,8455,0.11000000000000001
0,0,8530,0.11145833333333333
0,0,8630,0.11030927835051547
0,0,8730,0.10918367346938777
0,0,8820,0.10909090909090913
0,0,8900,0.11000000000000001
0,0,8980,0.11089108910891095
0,0,9065,0.11127450980392158
0,0,9165,0.11019417475728155
0,0,9265,0.1091346153846154
0,0,9345,0.11000000000000001
0,0,9445,0.10896226415094341
0,0,9530,0.10934579439252337
0,0,9605,0.11064814814814812
0,0,9695,0.11055045871559635
0,0,9770,0.11181818181818179
0,0,9865,0.11126126126126128
0,0,9965,0.11026785714285717
0,0,10045,0.11106194690265488
0,0,10145,0.1100877192982456
0,0,10235,0.11000000000000001
0,0,10335,0.10905172413793103
0,0,10430,0.10854700854700856
0,0,10500,0.11016949152542373
0,0,10570,0.11176470588235295
0,0,10665,0.11125
0,0,10765,0.1103305785123967
0,0,10845,0.1110655737704918
0,0,10930,0.11138211382113823
0,0,11005,0.11249999999999998
0,0,11105,0.1116
0,0,11205,0.11071428571428572
0,0,11275,0.11220472440944884
0,0,11335,0.114453125
0,0,11425,0.11434108527131784
0,0,11525,0.11346153846153847
0,0,11625,0.11259541984732821
0,0,11720,0.11212121212121211
0,0,11795,0.1131578947368421
0,0,11880,0.11343283582089554
0,0,11975,0.11296296296296296
0,0,12055,0.1136029411764706
0,0,12115,0.1156934306569343
0,0,12205,0.11557971014492754
0,0,12305,0.11474820143884892
0,0,12400,0.11428571428571428
0,0,12475,0.11524822695035461
0,0,12565,0.11514084507042255
