N,L,score,idlePercent
0,0,0,1.0
0,1,4,0.9600000000000002
0,0,29,0.8550000000000001
1,1,74,0.7533333333333333
2,0,124,0.6900000000000001
0,1,174,0.6519999999999999
1,0,224,0.6266666666666667
0,1,274,0.6085714285714285
0,0,324,0.595
0,0,374,0.5844444444444443
0,0,424,0.5760000000000001
0,0,484,0.5599999999999998
0,0,559,0.5341666666666666
0,0,634,0.5123076923076922
0,2,709,0.4935714285714285
1,0,800,0.4666666666666666
0,0,895,0.440625
1,1,990,0.41764705882352937
0,0,1085,0.3972222222222221
1,2,1180,0.3789473684210526
0,1,1275,0.3625000000000001
1,0,1370,0.3476190476190476
4,0,1465,0.334090909090909
4,1,1560,0.32173913043478264
4,1,1655,0.3104166666666667
14,1,1754,0.2984
6,7,1854,0.2869230769230769
6,9,1954,0.27629629629629626
10,6,2054,0.26642857142857135
6,3,2154,0.25724137931034485
6,0,2254,0.24866666666666667
8,0,2354,0.24064516129032257
8,0,2454,0.23312499999999997
6,0,2554,0.22606060606060607
4,1,2654,0.21941176470588233
4,0,2754,0.21314285714285713
4,0,2854,0.20722222222222214
1,1,2954,0.20162162162162162
1,0,3054,0.19631578947368417
1,0,3154,0.19128205128205125
0,0,3249,0.18775
1,0,3324,0.1892682926829268
0,1,3399,0.19071428571428573
0,8,3465,0.1941860465116279
0,10,3515,0.2011363636363636
0,7,3565,0.20777777777777776
0,11,3630,0.2108695652173913
0,10,3705,0.21170212765957444
0,15,3790,0.21041666666666664
1,20,3890,0.20612244897959178
1,20,3990,0.20200000000000004
5,19,4090,0.19803921568627453
0,20,4190,0.19423076923076926
1,20,4270,0.19433962264150945
0,18,4345,0.1953703703703704
0,16,4440,0.19272727272727272
0,20,4524,0.19214285714285714
0,20,4598,0.19333333333333333
1,20,4672,0.19448275862068964
0,20,4747,0.19542372881355932
0,20,4822,0.19633333333333333
0,20,4896,0.19737704918032786
1,20,4970,0.19838709677419353
0,20,5044,0.19936507936507938
0,20,5116,0.200625
0,20,5190,0.20153846153846153
0,20,5265,0.20227272727272733
0,20,5339,0.2031343283582089
1,20,5414,0.20382352941176468
4,19,5488,0.2046376811594203
3,20,5561,0.2055714285714286
0,20,5633,0.20661971830985912
0,20,5704,0.20777777777777778
0,19,5778,0.20849315068493152
1,20,5851,0.2093243243243243
0,19,5926,0.2098666666666667
0,20,6000,0.21052631578947367
0,20,6073,0.21129870129870126
2,19,6148,0.2117948717948718
0,18,6221,0.21253164556962023
0,18,6269,0.21637500000000004
0,20,6313,0.22061728395061725
0,20,6360,0.22439024390243908
1,20,6406,0.2281927710843374
1,20,6455,0.23154761904761897
7,18,6508,0.23435294117647057
3,13,6560,0.2372093023255814
7,15,6614,0.2397701149425287
13,14,6673,0.24170454545454545
13,13,6734,0.2433707865168539
7,11,6771,0.24766666666666665
8,15,6797,0.2530769230769231
3,14,6824,0.2582608695652174
2,20,6852,0.26322580645161286
10,20,6881,0.2679787234042553
5,20,6906,0.2730526315789474
5,20,6933,0.2778125
14,19,6965,0.28195876288659794
19,20,6997,0.2860204081632653
20,20,7017,0.2912121212121212
20,20,7050,0.29500000000000004
20,19,7079,0.2991089108910891
19,20,7112,0.3027450980392157
17,20,7148,0.30601941747572825
15,20,7180,0.3096153846153847
20,20,7232,0.3112380952380952
20,19,7296,0.3116981132075471
20,20,7353,0.31280373831775704
20,20,7417,0.31324074074074076
20,20,7485,0.31330275229357796
20,19,7558,0.3129090909090909
20,20,7625,0.31306306306306314
20,19,7693,0.31312499999999993
19,15,7783,0.3112389380530973
19,7,7883,0.30850877192982457
19,3,7983,0.3058260869565217
15,0,8083,0.3031896551724138
6,1,8183,0.3005982905982906
7,0,8283,0.29805084745762717
8,1,8383,0.295546218487395
8,0,8483,0.2930833333333333
3,0,8583,0.2906611570247934
4,0,8683,0.28827868852459015
7,0,8783,0.2859349593495935
7,0,8883,0.28362903225806446
12,0,8983,0.28136
11,1,9083,0.2791269841269842
9,0,9183,0.2769291338582677
11,0,9283,0.274765625
10,0,9383,0.2726356589147287
19,0,9483,0.27053846153846156
20,0,9583,0.26847328244274815
20,2,9683,0.266439393939394
19,4,9783,0.2644360902255639
20,5,9860,0.26417910447761195
20,2,9951,0.2628888888888889
20,0,10046,0.26132352941176473
20,1,10145,0.25948905109489045
18,1,10240,0.2579710144927536
19,1,10332,0.25669064748201437
20,0,10429,0.2550714285714285
19,0,10500,0.25531914893617025
