N,L,score,idlePercent
0,0,0,1.0
0,0,0,1.0
0,0,0,1.0
1,0,0,1.0
0,0,0,1.0
0,0,8,0.98
0,0,28,0.9416666666666668
0,0,48,0.9142857142857141
0,1,68,0.8937499999999999
0,0,88,0.8777777777777778
0,0,108,0.8650000000000001
1,0,142,0.8386363636363635
1,1,182,0.8104166666666667
0,0,222,0.7865384615384616
1,0,265,0.7633928571428572
1,1,309,0.7424999999999999
0,0,350,0.7265624999999999
1,0,390,0.7132352941176472
1,0,432,0.7
0,0,472,0.6894736842105262
0,0,512,0.6800000000000002
0,0,552,0.6714285714285714
1,0,592,0.6636363636363636
10,0,637,0.653804347826087
10,0,701,0.6348958333333334
6,0,768,0.616
5,0,830,0.6009615384615385
11,0,905,0.5810185185185184
4,0,967,0.5683035714285715
2,0,1032,0.5551724137931033
0,0,1094,0.5441666666666667
0,1,1154,0.5346774193548388
1,8,1214,0.52578125
1,9,1274,0.5174242424242425
2,9,1332,0.5102941176470589
3,7,1391,0.5032142857142857
0,4,1451,0.4961805555555555
0,8,1509,0.4902027027027028
0,16,1568,0.4842105263157895
1,16,1630,0.4775641025641026
0,16,1690,0.471875
0,16,1748,0.4670731707317073
0,16,1807,0.462202380952381
2,16,1869,0.4566860465116278
1,16,1930,0.45170454545454547
0,16,1990,0.44722222222222213
2,16,2048,0.44347826086956516
1,16,2105,0.44015957446808507
2,15,2162,0.43697916666666664
8,16,2224,0.43265306122448977
14,16,2301,0.42474999999999996
11,15,2357,0.42230392156862745
16,16,2409,0.42091346153846154
15,15,2462,0.4193396226415095
16,14,2513,0.41828703703703707
15,10,2576,0.41454545454545455
16,11,2630,0.4129464285714286
16,6,2688,0.41052631578947363
16,0,2724,0.4129310344827586
16,0,2755,0.41631355932203384
15,0,2782,0.42041666666666666
16,0,2815,0.423155737704918
16,1,2872,0.4209677419354838
16,2,2931,0.418452380952381
16,1,2992,0.415625
16,1,3055,0.4125
16,0,3115,0.4100378787878788
16,0,3174,0.4078358208955224
16,0,3222,0.4077205882352941
16,0,3253,0.4106884057971014
16,1,3284,0.41357142857142853
16,1,3315,0.41637323943661975
16,0,3348,0.41875
16,1,3379,0.42140410958904095
16,1,3432,0.4202702702702702
16,6,3492,0.418
16,4,3550,0.4161184210526315
16,0,3611,0.4137987012987013
15,0,3671,0.411698717948718
16,0,3732,0.409493670886076
16,1,3794,0.4071875
15,0,3848,0.40617283950617283
16,0,3905,0.4047256097560976
16,1,3965,0.4028614457831325
16,0,4019,0.4019345238095238
16,0,4079,0.4001470588235294
16,1,4134,0.3991279069767441
16,0,4191,0.3978448275862069
16,1,4247,0.39673295454545454
16,0,4315,0.3939606741573034
16,0,4379,0.3918055555555555
16,1,4442,0.3898351648351649
16,1,4515,0.38654891304347827
16,0,4588,0.3833333333333334
16,0,4660,0.38031914893617025
16,0,4721,0.3788157894736842
16,0,4775,0.3782552083333334
16,1,4836,0.3768041237113403
14,0,4890,0.3762755102040816
